iter	RMSE
0	0.5547533673
1	0.5269481569
2	0.5015875255
3	0.4787679518
4	0.457712115
5	0.4380226923
6	0.4210118122
7	0.4046762411
8	0.390771302
9	0.3763623686
10	0.3644778037
11	0.3533506445
12	0.3423128477
13	0.3327684506
14	0.3226913278
15	0.3148558266
16	0.3069017716
17	0.2993020043
18	0.2927482005
19	0.2868432994
20	0.2809798011
21	0.2746613888
22	0.2696306508
23	0.2646878631
24	0.260344649
25	0.2566210938
26	0.2518026692
27	0.2482113678
28	0.2450129681
29	0.241353149
30	0.2377533612
31	0.2350494157
32	0.2324675009
33	0.2289207954
34	0.2262218671
35	0.223343135
36	0.2209550495
37	0.2186895044
38	0.2164450458
39	0.2145477434
40	0.2127494736
41	0.2108761111
42	0.2092969081
43	0.2079386934
44	0.206518347
45	0.204690866
46	0.2035126386
47	0.2021621566
48	0.2009598158
49	0.1997269549
50	0.1982444089
51	0.1972798134
52	0.1959168316
53	0.1946554889
54	0.193496948
55	0.192291891
56	0.1911009233
57	0.1904371084
58	0.1894953684
59	0.1885850821
60	0.1876035011
61	0.1867306397
62	0.18588614
63	0.185060801
64	0.184251384
65	0.1832903048
66	0.1823941758
67	0.1813084891
68	0.1803642855
69	0.1795540885
70	0.1788490068
71	0.1782972761
72	0.17767272
73	0.1771273263
74	0.1763701999
75	0.1758037246
76	0.1748965695
77	0.1744096138
78	0.17377374
79	0.1734498218
80	0.1727040242
81	0.1721495755
82	0.171327649
83	0.1708051522
84	0.1704425469
85	0.1699642119
86	0.1696199482
87	0.169011852
88	0.1685165729
89	0.1680733179
90	0.1676684214
91	0.1672658328
92	0.1667272856
93	0.1662680954
94	0.1658312937
95	0.1654688352
96	0.1650270038
97	0.164720797
98	0.1644448449
99	0.1639133806
100	0.1634995597
101	0.1631256364
102	0.1625877627
103	0.1621552381
104	0.1618358685
105	0.1615647447
106	0.1611785336
107	0.1606167327
108	0.1602106916
109	0.1596607634
110	0.159122217
111	0.1587019561
112	0.158441934
113	0.1581193727
114	0.1576086837
115	0.1572587894
116	0.156982988
117	0.1565026373
118	0.1561576303
119	0.1556782763
120	0.1553869442
121	0.1551285205
122	0.1548424863
123	0.1544255087
124	0.1541990987
125	0.1537907017
126	0.1536101379
127	0.1532485738
128	0.1530488121
129	0.1528478504
130	0.1524480789
131	0.1520274476
132	0.151731713
133	0.1513446248
134	0.1510302291
135	0.1506289732
136	0.1502661615
137	0.1499311786
138	0.1497197723
139	0.1496056618
140	0.1492331524
141	0.1488831248
142	0.1485972715
143	0.1484293889
144	0.1482258828
145	0.1478815263
