iter	Passed	Remaining
0	9	9762
1	25	12924
2	42	14283
3	59	14816
4	75	15022
5	91	15240
6	101	14406
7	117	14590
8	133	14743
9	143	14174
10	149	13481
11	168	13846
12	178	13526
13	195	13753
14	212	13980
15	222	13701
16	228	13199
17	244	13361
18	262	13552
19	271	13322
20	281	13128
21	285	12711
22	302	12851
23	320	13030
24	336	13137
25	353	13248
26	362	13075
27	379	13182
28	391	13118
29	410	13279
30	426	13345
31	436	13189
32	442	12953
33	458	13024
34	464	12806
35	468	12545
36	485	12628
37	501	12703
38	520	12825
39	542	13025
40	565	13231
41	588	13429
42	604	13446
43	633	13757
44	637	13522
45	664	13774
46	693	14060
