num_date_time,answer
1_20220825 00,2034.1584118652345
1_20220825 01,2072.60158203125
1_20220825 02,1964.7552160644532
1_20220825 03,1948.060819091797
1_20220825 04,1972.2096069335937
1_20220825 05,2045.4240020751954
1_20220825 06,2297.0303564453125
1_20220825 07,2509.756805419922
1_20220825 08,2875.5695874023436
1_20220825 09,3282.787180175781
1_20220825 10,3997.2527709960937
1_20220825 11,4269.355217285156
1_20220825 12,4353.7104296875
1_20220825 13,4320.052844238281
1_20220825 14,4281.182370605468
1_20220825 15,3803.836784667969
1_20220825 16,3738.091201171875
1_20220825 17,3391.992021484375
1_20220825 18,2729.496064453125
1_20220825 19,2524.1856103515624
1_20220825 20,2347.0200317382814
1_20220825 21,1842.99359375
1_20220825 22,1555.3103869628906
1_20220825 23,2125.2383728027344
1_20220826 00,2100.148797607422
1_20220826 01,2062.2479809570314
1_20220826 02,1935.2255908203124
1_20220826 03,1908.7584106445313
1_20220826 04,1862.939994506836
1_20220826 05,2008.5551953125
1_20220826 06,2213.071173095703
1_20220826 07,2418.511199951172
1_20220826 08,2775.1680102539062
1_20220826 09,3169.1063916015623
1_20220826 10,3922.7783837890624
1_20220826 11,4282.9872216796875
1_20220826 12,4244.088034667969
1_20220826 13,4338.336037597656
1_20220826 14,4210.418354492187
1_20220826 15,4121.133591308594
1_20220826 16,4008.2352294921875
1_20220826 17,3333.5088330078124
1_20220826 18,2629.69919921875
1_20220826 19,2551.8768530273437
1_20220826 20,2286.909581298828
1_20220826 21,1861.4447998046876
1_20220826 22,1495.8047875976563
1_20220826 23,2095.5887902832033
1_20220827 00,1891.843203125
1_20220827 01,1799.9088024902344
1_20220827 02,1708.0560064697265
1_20220827 03,1675.8072094726563
1_20220827 04,1678.4880010986328
1_20220827 05,1773.6528125
1_20220827 06,2008.5455786132814
1_20220827 07,2160.844813232422
1_20220827 08,2273.40001953125
1_20220827 09,2551.0128283691406
1_20220827 10,2911.022424316406
1_20220827 11,3019.012824707031
1_20220827 12,3009.0336083984375
1_20220827 13,3016.195208740234
1_20220827 14,3011.6640100097657
1_20220827 15,3042.345615234375
1_20220827 16,3100.608018798828
1_20220827 17,3171.7464025878908
1_20220827 18,2564.5776232910157
1_20220827 19,2390.3040161132812
1_20220827 20,2234.935207519531
1_20220827 21,1758.6240063476562
1_20220827 22,1403.2272021484375
1_20220827 23,2027.356787109375
1_20220828 00,1750.0799890136718
1_20220828 01,1697.8223809814453
1_20220828 02,1538.53681640625
1_20220828 03,1494.367202758789
1_20220828 04,1488.8447961425782
1_20220828 05,1617.4752093505858
1_20220828 06,1735.819178466797
1_20220828 07,1716.6287902832032
1_20220828 08,1870.8863891601563
1_20220828 09,2223.2160119628907
1_20220828 10,2644.9728271484373
1_20220828 11,2775.5568115234373
1_20220828 12,2965.7855810546876
1_20220828 13,3018.9935864257814
1_20220828 14,3055.6367919921877
1_20220828 15,3059.222395019531
1_20220828 16,3107.9039978027345
1_20220828 17,3200.644792480469
1_20220828 18,2702.5200207519533
1_20220828 19,2494.0272216796875
1_20220828 20,2251.8648034667967
1_20220828 21,1852.867197265625
1_20220828 22,1537.9104296875
1_20220828 23,2208.6912048339846
1_20220829 00,2136.998397216797
1_20220829 01,2165.1791833496095
1_20220829 02,2019.345615234375
1_20220829 03,2006.9544201660156
1_20220829 04,2011.329619140625
1_20220829 05,2111.4384301757814
1_20220829 06,2263.2047534179687
1_20220829 07,2352.9120092773437
