num_date_time,answer
1_20220825 00,2034.1056140136718
1_20220825 01,2112.3791821289065
1_20220825 02,1959.1920263671875
1_20220825 03,1946.4432141113282
1_20220825 04,1952.736005859375
1_20220825 05,2050.1183959960936
1_20220825 06,2292.6863525390627
1_20220825 07,2215.0439849853515
1_20220825 08,2243.1059771728515
1_20220825 09,2321.1944799804687
1_20220825 10,2334.857700805664
1_20220825 11,2401.7828973388673
1_20220825 12,2337.8355041503905
1_20220825 13,2387.7105017089843
1_20220825 14,2252.4755871582033
1_20220825 15,2158.3304809570313
1_20220825 16,2175.517177734375
1_20220825 17,1982.2943896484376
1_20220825 18,1861.9937927246094
1_20220825 19,1738.7549835205077
1_20220825 20,1643.1122918701171
1_20220825 21,1619.6804791259765
1_20220825 22,1621.9607727050782
1_20220825 23,2136.796787109375
1_20220826 00,2187.206396484375
1_20220826 01,2026.8479760742186
1_20220826 02,1942.684794921875
1_20220826 03,1934.7144018554689
1_20220826 04,1928.200791015625
1_20220826 05,2069.3039978027346
1_20220826 06,2194.9919750976565
1_20220826 07,2117.877583618164
1_20220826 08,2176.2179840087892
1_20220826 09,2260.1900872802735
1_20220826 10,2411.353181152344
1_20220826 11,2410.9967883300783
1_20220826 12,2449.876486206055
1_20220826 13,2463.5525872802737
1_20220826 14,2289.9680963134765
1_20220826 15,2240.461788330078
1_20220826 16,2280.9519091796874
1_20220826 17,2070.411608276367
1_20220826 18,1859.0423950195313
1_20220826 19,1682.5656005859375
1_20220826 20,1570.832691040039
1_20220826 21,1519.8302893066407
1_20220826 22,1518.6431884765625
1_20220826 23,2099.947209472656
1_20220827 00,2033.1408068847657
1_20220827 01,1962.7823901367187
1_20220827 02,1883.3063946533202
1_20220827 03,1836.1416033935548
1_20220827 04,1859.8823962402344
1_20220827 05,1921.6463946533204
1_20220827 06,2215.809553222656
1_20220827 07,2092.231166381836
1_20220827 08,2015.0951849365235
1_20220827 09,2114.081376953125
1_20220827 10,2079.7166833496094
1_20220827 11,2064.902387084961
1_20220827 12,2069.07598815918
1_20220827 13,2053.331389770508
1_20220827 14,1954.5701922607423
1_20220827 15,1930.3211920166016
1_20220827 16,1956.9926959228515
1_20220827 17,1891.6463958740235
1_20220827 18,1750.3466986083984
1_20220827 19,1580.282996826172
1_20220827 20,1565.7767974853516
1_20220827 21,1503.8777923583984
1_20220827 22,1481.8067919921875
1_20220827 23,1971.2675903320312
1_20220828 00,1951.315196533203
1_20220828 01,1867.497578125
1_20220828 02,1776.5279986572266
1_20220828 03,1745.613607788086
1_20220828 04,1768.5768054199218
1_20220828 05,1901.059189453125
1_20220828 06,2163.556759033203
1_20220828 07,2055.189572143555
1_20220828 08,1987.1471838378907
1_20220828 09,2073.913179321289
1_20220828 10,2026.7174896240235
1_20220828 11,2015.9855920410157
1_20220828 12,2052.160791015625
1_20220828 13,2055.4973834228517
1_20220828 14,1962.9293841552735
1_20220828 15,2005.0868920898438
1_20220828 16,2068.7033917236326
1_20220828 17,1927.4799060058594
1_20220828 18,1774.349696044922
1_20220828 19,1559.0252947998047
1_20220828 20,1487.0328009033203
1_20220828 21,1457.4179986572265
1_20220828 22,1457.5115985107423
1_20220828 23,2081.6003942871093
1_20220829 00,2216.2271984863282
1_20220829 01,2155.7087780761717
1_20220829 02,2047.358416748047
1_20220829 03,2018.076014404297
1_20220829 04,2033.452813720703
1_20220829 05,2113.3200146484373
1_20220829 06,2256.2591552734375
1_20220829 07,2141.175581665039
1_20220829 08,2085.4883892822268
1_20220829 09,2209.55189453125
1_20220829 10,2319.4893005371096
1_20220829 11,2320.3941076660158
1_20220829 12,2323.9694970703126
1_20220829 13,2302.6008068847655
1_20220829 14,2209.5474011230467
1_20220829 15,2156.527484130859
1_20220829 16,2162.4332861328126
1_20220829 17,1962.876298828125
1_20220829 18,1867.6314038085939
1_20220829 19,1707.960610961914
1_20220829 20,1617.7059118652344
1_20220829 21,1562.9132995605469
1_20220829 22,1548.748807373047
1_20220829 23,2051.4959802246094
1_20220830 00,2053.0607922363283
1_20220830 01,1990.5215600585936
1_20220830 02,1927.233614501953
1_20220830 03,1870.240805053711
1_20220830 04,1877.9231915283203
1_20220830 05,1961.4191986083983
1_20220830 06,2098.742364501953
1_20220830 07,2062.1567834472658
1_20220830 08,2057.1419921875
1_20220830 09,2156.015396118164
1_20220830 10,2309.7039056396484
1_20220830 11,2306.247905883789
1_20220830 12,2289.467406005859
1_20220830 13,2272.9698052978515
1_20220830 14,2201.511604614258
1_20220830 15,2133.41849609375
1_20220830 16,2118.996897583008
1_20220830 17,1941.9045092773438
1_20220830 18,1865.6526092529298
1_20220830 19,1738.403998413086
1_20220830 20,1679.964298095703
1_20220830 21,1612.8542919921874
1_20220830 22,1595.8175866699219
1_20220830 23,2079.5999975585937
1_20220831 00,2096.3664013671873
1_20220831 01,1998.3695776367188
1_20220831 02,1909.8528137207031
1_20220831 03,1878.8544079589844
1_20220831 04,1905.8784020996093
1_20220831 05,2034.7344067382812
1_20220831 06,2082.8591882324217
1_20220831 07,2098.168811035156
1_20220831 08,2046.874807739258
1_20220831 09,2176.965599975586
1_20220831 10,2361.3924029541017
1_20220831 11,2385.7967974853514
1_20220831 12,2338.4027984619142
1_20220831 13,2330.4888006591796
1_20220831 14,2219.177075805664
1_20220831 15,2141.1611724853515
1_20220831 16,2229.286184692383
1_20220831 17,2003.5847857666015
1_20220831 18,1823.3609869384766
1_20220831 19,1611.0659802246093
1_20220831 20,1566.210283203125
1_20220831 21,1533.9896795654297
1_20220831 22,1537.1663708496094
1_20220831 23,2075.167208251953
2_20220825 00,1290.6035815429686
2_20220825 01,1286.21517578125
2_20220825 02,1277.420408935547
2_20220825 03,1261.3428118896484
2_20220825 04,1257.9551983642577
2_20220825 05,1268.0172058105468
2_20220825 06,1298.8368011474608
2_20220825 07,1230.7500018310548
2_20220825 08,1397.5896118164062
2_20220825 09,1504.4733044433594
2_20220825 10,1523.9157116699218
2_20220825 11,1538.7915045166017
2_20220825 12,1526.9811071777344
2_20220825 13,1520.250302734375
2_20220825 14,1496.9826025390626
2_20220825 15,1429.9026080322265
2_20220825 16,1435.0272143554687
2_20220825 17,1345.975205078125
2_20220825 18,1287.7680059814454
2_20220825 19,1199.2656005859376
2_20220825 20,1151.0244110107421
2_20220825 21,1101.8493054199218
2_20220825 22,991.1520068359375
2_20220825 23,1299.9348065185548
2_20220826 00,1274.8115826416015
2_20220826 01,1268.5127825927734
2_20220826 02,1261.8977960205077
2_20220826 03,1251.7895965576172
2_20220826 04,1247.074789428711
2_20220826 05,1244.2056005859374
2_20220826 06,1255.7592041015625
2_20220826 07,1229.4827905273437
2_20220826 08,1370.710503540039
2_20220826 09,1445.2362048339844
2_20220826 10,1513.3068005371094
2_20220826 11,1532.9007037353515
2_20220826 12,1525.7198986816406
2_20220826 13,1510.2603100585939
2_20220826 14,1487.092808227539
2_20220826 15,1491.8379168701172
2_20220826 16,1484.7345111083985
2_20220826 17,1410.960003051758
2_20220826 18,1311.4821075439454
2_20220826 19,1210.3626025390624
2_20220826 20,1184.9064111328125
2_20220826 21,1156.7523022460937
2_20220826 22,1041.4188092041015
2_20220826 23,1323.8136206054687
2_20220827 00,1294.4111962890624
2_20220827 01,1283.4107922363282
2_20220827 02,1278.3132061767578
2_20220827 03,1262.0700030517578
2_20220827 04,1225.8036029052735
2_20220827 05,1174.8275866699219
2_20220827 06,997.376396484375
2_20220827 07,954.7847937011719
2_20220827 08,1168.6733996582032
2_20220827 09,1227.039592895508
2_20220827 10,1264.6112963867188
2_20220827 11,1323.144599609375
2_20220827 12,1372.1664007568359
2_20220827 13,1403.1768005371093
2_20220827 14,1412.8563043212891
2_20220827 15,1389.3966015625
2_20220827 16,1422.2724041748047
2_20220827 17,1299.3581970214843
2_20220827 18,1238.1801007080078
2_20220827 19,1134.953397216797
2_20220827 20,1064.415301513672
2_20220827 21,990.5993975830078
2_20220827 22,910.4508026123046
2_20220827 23,1279.8360125732422
2_20220828 00,1245.6503985595702
2_20220828 01,1234.7627862548827
2_20220828 02,1212.2412072753907
2_20220828 03,1149.3960028076172
2_20220828 04,1095.7848095703125
2_20220828 05,946.2005932617187
2_20220828 06,885.4019897460937
2_20220828 07,931.5173919677734
2_20220828 08,1138.6358959960937
2_20220828 09,1227.333294067383
2_20220828 10,1272.705594482422
2_20220828 11,1329.5162890625
2_20220828 12,1417.8149981689453
2_20220828 13,1437.2885955810548
2_20220828 14,1458.7577990722657
2_20220828 15,1464.4547998046876
2_20220828 16,1450.0610986328124
2_20220828 17,1374.7448956298829
2_20220828 18,1301.39939453125
2_20220828 19,1164.2081921386718
2_20220828 20,1110.946795654297
2_20220828 21,1037.9768963623046
2_20220828 22,949.8959912109375
2_20220828 23,1300.6932135009765
2_20220829 00,1278.3539721679688
2_20220829 01,1277.7047717285157
