num_date_time,answer
1_20220825 00,2029.5359985351563
1_20220825 01,2079.0335778808594
1_20220825 02,1965.2160180664061
1_20220825 03,1928.7696215820313
1_20220825 04,1930.358408203125
1_20220825 05,2063.9663940429687
1_20220825 06,2244.6863610839846
1_20220825 07,2574.019230957031
1_20220825 08,2920.094406738281
1_20220825 09,3330.1199951171875
1_20220825 10,3970.1543774414063
1_20220825 11,4156.324802246094
1_20220825 12,4279.080007324219
1_20220825 13,4316.222421875
1_20220825 14,4322.870361328125
1_20220825 15,3911.716767578125
1_20220825 16,3743.1480078125
1_20220825 17,3304.9152368164064
1_20220825 18,2748.3168627929685
1_20220825 19,2560.5312109375
1_20220825 20,2354.7105310058596
1_20220825 21,1862.5583923339843
1_20220825 22,1586.8415844726562
1_20220825 23,2026.9871911621094
1_20220826 00,2094.268787841797
1_20220826 01,2036.702381591797
1_20220826 02,1883.6783972167968
1_20220826 03,1881.016807861328
1_20220826 04,1883.2487994384765
1_20220826 05,2018.5080004882811
1_20220826 06,2116.5743798828125
1_20220826 07,2451.5616198730468
1_20220826 08,2797.3776171875
1_20220826 09,3265.7400048828126
1_20220826 10,3913.4351831054687
1_20220826 11,4177.017609863281
1_20220826 12,4253.2560131835935
1_20220826 13,4350.554411621094
1_20220826 14,4204.9775903320315
1_20220826 15,4142.999987792969
1_20220826 16,4010.0016088867187
1_20220826 17,3339.2256469726562
1_20220826 18,2632.1520141601563
1_20220826 19,2529.336027832031
1_20220826 20,2297.2151953125
1_20220826 21,1857.8304016113282
1_20220826 22,1467.182384033203
1_20220826 23,2070.633604736328
1_20220827 00,1925.956796875
1_20220827 01,1845.8688000488282
1_20220827 02,1783.9872039794923
1_20220827 03,1756.8984155273438
1_20220827 04,1758.8184075927734
1_20220827 05,1803.4752191162108
1_20220827 06,1987.6223803710936
1_20220827 07,2194.113626708984
1_20220827 08,2336.812814941406
1_20220827 09,2585.539237060547
1_20220827 10,2820.792039794922
1_20220827 11,2914.996834716797
1_20220827 12,2977.588819580078
1_20220827 13,2991.8160180664063
1_20220827 14,2985.0000146484376
1_20220827 15,3056.683206787109
1_20220827 16,3122.3712182617187
1_20220827 17,3070.315202636719
1_20220827 18,2535.0000329589843
1_20220827 19,2403.2928051757813
1_20220827 20,2218.4712036132814
1_20220827 21,1802.6856018066405
1_20220827 22,1462.8048010253906
1_20220827 23,1959.9023986816405
1_20220828 00,1794.117589111328
1_20220828 01,1759.5575756835938
1_20220828 02,1610.126412963867
1_20220828 03,1565.8752014160157
1_20220828 04,1574.1719995117187
1_20220828 05,1660.953602294922
1_20220828 06,1743.7727758789063
1_20220828 07,1771.564794921875
1_20220828 08,1885.1711877441405
1_20220828 09,2345.030428466797
1_20220828 10,2647.1424462890627
1_20220828 11,2802.362421875
1_20220828 12,2951.5055810546874
1_20220828 13,3024.3647900390624
1_20220828 14,3029.486396484375
1_20220828 15,3110.93759765625
1_20220828 16,3161.241591796875
1_20220828 17,3264.8016015625
1_20220828 18,2658.5376208496095
1_20220828 19,2498.7168127441405
1_20220828 20,2254.1796057128904
1_20220828 21,1836.8970001220703
1_20220828 22,1532.2704162597656
1_20220828 23,2143.027205810547
1_20220829 00,2159.908792724609
1_20220829 01,2133.009580078125
1_20220829 02,2012.5632116699219
1_20220829 03,2011.8672216796874
1_20220829 04,2010.6672155761719
1_20220829 05,2068.3872302246095
1_20220829 06,2229.383962402344
1_20220829 07,2414.8320166015624
1_20220829 08,2700.3408129882814
1_20220829 09,3121.9223828125
1_20220829 10,3678.8544116210937
1_20220829 11,3884.246413574219
1_20220829 12,3939.6240161132814
1_20220829 13,3962.251223144531
1_20220829 14,3905.044792480469
1_20220829 15,3793.665615234375
1_20220829 16,3656.2200146484374
1_20220829 17,3183.1824279785155
1_20220829 18,2603.779248046875
1_20220829 19,2473.7184228515625
1_20220829 20,2253.80880859375
1_20220829 21,1806.8879907226562
1_20220829 22,1519.915216064453
1_20220829 23,1931.0591796875
1_20220830 00,1988.356787109375
1_20220830 01,1984.1471643066407
1_20220830 02,1893.170415649414
1_20220830 03,1876.4400170898436
1_20220830 04,1873.6847967529297
1_20220830 05,1946.3952001953126
1_20220830 06,2038.9871691894532
1_20220830 07,2388.98640625
1_20220830 08,2644.562365722656
1_20220830 09,3060.1823828125
1_20220830 10,3625.6584350585936
1_20220830 11,3814.804836425781
1_20220830 12,3918.90720703125
1_20220830 13,3877.5936328125
1_20220830 14,3849.026423339844
1_20220830 15,3724.2767919921876
1_20220830 16,3596.7072314453126
1_20220830 17,3154.3104345703123
1_20220830 18,2589.321639404297
1_20220830 19,2508.715223388672
1_20220830 20,2308.6680212402343
1_20220830 21,1785.6863891601563
1_20220830 22,1574.4623889160157
1_20220830 23,2006.764794921875
1_20220831 00,2053.444793701172
1_20220831 01,2020.6031652832032
1_20220831 02,1916.8896173095702
1_20220831 03,1872.0744177246095
1_20220831 04,1902.6048101806641
1_20220831 05,1989.2880267333985
1_20220831 06,2038.7615979003906
1_20220831 07,2338.612823486328
1_20220831 08,2698.670419921875
1_20220831 09,3157.2623657226563
1_20220831 10,3760.0919995117188
1_20220831 11,4041.2088061523436
1_20220831 12,4135.509592285156
1_20220831 13,4200.002404785157
1_20220831 14,4170.208779296875
1_20220831 15,4036.6511865234374
1_20220831 16,4014.2544140625
1_20220831 17,3425.8032299804686
1_20220831 18,2794.747243652344
1_20220831 19,2589.388825683594
1_20220831 20,2373.043229980469
1_20220831 21,1822.0943896484375
1_20220831 22,1539.1103820800781
1_20220831 23,2020.5600024414061
2_20220825 00,1290.7367822265626
2_20220825 01,1288.0403796386718
2_20220825 02,1277.8272106933593
2_20220825 03,1268.2764086914062
2_20220825 04,1263.6071911621093
2_20220825 05,1269.7524108886719
2_20220825 06,1297.5000061035157
2_20220825 07,1249.4364031982423
2_20220825 08,1915.0290075683595
2_20220825 09,2138.8391760253908
2_20220825 10,2363.655615234375
2_20220825 11,2259.208796386719
2_20220825 12,2328.1596154785157
2_20220825 13,2288.1465100097657
2_20220825 14,2319.1857092285154
2_20220825 15,2168.4543017578126
2_20220825 16,2191.4792895507812
2_20220825 17,2172.524392089844
2_20220825 18,2083.842900390625
2_20220825 19,1916.2403826904297
2_20220825 20,1805.9610284423827
2_20220825 21,1589.6592254638672
2_20220825 22,973.0476092529296
2_20220825 23,1307.6028051757812
2_20220826 00,1283.289588623047
2_20220826 01,1283.5355859375
2_20220826 02,1268.9135998535157
2_20220826 03,1254.1715966796876
2_20220826 04,1248.6419885253906
2_20220826 05,1244.0592077636718
2_20220826 06,1200.6852044677735
2_20220826 07,1208.345990600586
2_20220826 08,1767.3858068847655
2_20220826 09,2044.4831689453124
2_20220826 10,2246.79958984375
2_20220826 11,2267.391604003906
2_20220826 12,2130.494384765625
2_20220826 13,2133.0297045898437
2_20220826 14,2160.9360034179685
2_20220826 15,2197.076416015625
2_20220826 16,2181.931219482422
2_20220826 17,2129.7779992675783
2_20220826 18,2056.114816894531
2_20220826 19,1915.2083837890625
2_20220826 20,1754.679635620117
2_20220826 21,1588.7412213134767
2_20220826 22,1020.9276092529296
2_20220826 23,1327.8267095947265
2_20220827 00,1298.8511938476563
2_20220827 01,1297.5791955566406
2_20220827 02,1288.3067950439454
2_20220827 03,1265.5440051269532
2_20220827 04,1216.739991455078
2_20220827 05,1177.8395904541017
2_20220827 06,989.6717987060547
2_20220827 07,1020.8447967529297
2_20220827 08,1425.3516021728515
2_20220827 09,1688.932783203125
2_20220827 10,1891.279790649414
2_20220827 11,1984.8392907714845
2_20220827 12,2063.6135955810546
2_20220827 13,2088.1223956298827
2_20220827 14,2143.2689990234376
2_20220827 15,2235.8618981933596
2_20220827 16,2199.681895751953
2_20220827 17,2182.424405517578
2_20220827 18,2065.7133068847656
2_20220827 19,1857.918013305664
2_20220827 20,1657.1913189697266
2_20220827 21,1385.2716064453125
2_20220827 22,946.8287963867188
2_20220827 23,1292.7150134277344
2_20220828 00,1257.3072033691406
2_20220828 01,1237.8899877929687
2_20220828 02,1234.6512036132813
2_20220828 03,1177.1286029052735
2_20220828 04,1113.6972161865235
2_20220828 05,892.1603973388671
2_20220828 06,880.2491937255859
2_20220828 07,1001.780394897461
2_20220828 08,1408.284006958008
2_20220828 09,1664.4401873779298
2_20220828 10,1908.3122985839843
2_20220828 11,2006.5908001708985
2_20220828 12,2143.7711987304688
2_20220828 13,2141.3259008789064
2_20220828 14,2177.71830078125
2_20220828 15,2174.4027014160156
2_20220828 16,2163.9783056640626
2_20220828 17,2097.144012451172
2_20220828 18,1953.692091064453
2_20220828 19,1784.4504125976562
2_20220828 20,1555.5336181640625
2_20220828 21,1243.5624114990235
2_20220828 22,912.1031921386718
2_20220828 23,1309.97521484375
2_20220829 00,1281.931171875
2_20220829 01,1280.5055749511719
2_20220829 02,1264.4027966308595
2_20220829 03,1253.743187866211
2_20220829 04,1249.948773803711
2_20220829 05,1233.6659832763671
2_20220829 06,1274.8560064697265
2_20220829 07,1179.0035998535157
2_20220829 08,1353.293095703125
2_20220829 09,1470.9770812988281
2_20220829 10,1634.0147857666016
2_20220829 11,1595.924083251953
2_20220829 12,1566.1988916015625
2_20220829 13,1626.7940942382813
2_20220829 14,1558.1627911376954
2_20220829 15,1580.3648907470704
2_20220829 16,1507.6808917236328
2_20220829 17,1458.8603967285155
2_20220829 18,1342.2249005126953
2_20220829 19,1387.6607952880859
2_20220829 20,1315.5155987548828
2_20220829 21,1165.0355895996095
2_20220829 22,871.0848071289063
2_20220829 23,1252.346407470703
2_20220830 00,1267.7987841796876
2_20220830 01,1262.0543786621095
2_20220830 02,1247.4432006835937
2_20220830 03,1225.1951794433594
2_20220830 04,1181.0303790283203
2_20220830 05,992.3915982055664
2_20220830 06,902.6412045288085
2_20220830 07,1051.3044091796876
2_20220830 08,1502.1722760009766
2_20220830 09,1892.1914794921875
2_20220830 10,2095.4411962890626
2_20220830 11,2099.9529016113283
2_20220830 12,2134.347296142578
2_20220830 13,2133.1845080566404
2_20220830 14,2141.517608642578
2_20220830 15,2155.327219238281
2_20220830 16,2130.4620190429687
2_20220830 17,2167.5852124023436
2_20220830 18,2181.1500244140625
2_20220830 19,2007.4403942871095
2_20220830 20,1809.910811767578
2_20220830 21,1606.399204711914
2_20220830 22,1119.5855834960937
