num_date_time,answer
1_20220825 00,1989.8976110839844
1_20220825 01,2032.1519836425782
1_20220825 02,1946.75521484375
1_20220825 03,1941.9792163085938
1_20220825 04,1938.2736071777344
1_20220825 05,2084.2608068847658
1_20220825 06,2273.8079541015627
1_20220825 07,2591.9160290527343
1_20220825 08,2900.9039990234373
1_20220825 09,3319.56478515625
1_20220825 10,3959.443190917969
1_20220825 11,4224.348012695313
1_20220825 12,4292.976040039062
1_20220825 13,4346.294460449219
1_20220825 14,4234.108784179687
1_20220825 15,3858.4079663085936
1_20220825 16,3813.0384130859375
1_20220825 17,3359.304034423828
1_20220825 18,2754.0720678710936
1_20220825 19,2559.0720092773436
1_20220825 20,2324.7696252441406
1_20220825 21,1856.3231921386719
1_20220825 22,1594.7903918457032
1_20220825 23,2043.6143872070313
1_20220826 00,2135.8079919433594
1_20220826 01,2055.1391778564453
1_20220826 02,1942.7783898925782
1_20220826 03,1912.2432012939453
1_20220826 04,1887.0791943359375
1_20220826 05,2074.49759765625
1_20220826 06,2191.4687817382815
1_20220826 07,2413.4160107421876
1_20220826 08,2801.587214355469
1_20220826 09,3280.718395996094
1_20220826 10,3917.5631787109373
1_20220826 11,4264.027211914063
1_20220826 12,4196.990434570313
1_20220826 13,4321.485600585937
1_20220826 14,4221.302370605469
1_20220826 15,4123.550385742187
1_20220826 16,4033.041633300781
1_20220826 17,3434.1192431640625
1_20220826 18,2635.838408203125
1_20220826 19,2566.8672290039062
1_20220826 20,2297.0591796875
1_20220826 21,1865.8079992675782
1_20220826 22,1518.441591796875
1_20220826 23,2088.03599609375
1_20220827 00,1858.6559985351562
1_20220827 01,1779.1392041015624
1_20220827 02,1695.0480108642578
1_20220827 03,1691.5296154785156
1_20220827 04,1684.3464093017578
1_20220827 05,1740.2160107421876
1_20220827 06,2050.27197265625
1_20220827 07,2199.4944189453126
1_20220827 08,2290.382421875
1_20220827 09,2658.5136328125
1_20220827 10,3037.766416015625
1_20220827 11,3145.0272216796875
1_20220827 12,3169.7760119628906
1_20220827 13,3165.2736083984373
1_20220827 14,3138.8208129882814
1_20220827 15,3156.153614501953
1_20220827 16,3261.475220947266
1_20220827 17,3200.6592126464843
1_20220827 18,2586.091237792969
1_20220827 19,2439.912008056641
1_20220827 20,2217.6527978515624
1_20220827 21,1772.1120043945311
1_20220827 22,1434.4176025390625
1_20220827 23,1876.7471948242187
1_20220828 00,1801.2671899414063
1_20220828 01,1695.0983715820312
1_20220828 02,1549.8576098632811
1_20220828 03,1545.7295977783203
1_20220828 04,1546.1807934570313
1_20220828 05,1654.0079943847657
1_20220828 06,1815.155971069336
1_20220828 07,1795.7531945800781
1_20220828 08,1903.828790283203
1_20220828 09,2259.3792126464846
1_20220828 10,2768.486429443359
1_20220828 11,2875.0656018066406
1_20220828 12,2967.8927783203126
1_20220828 13,3010.0655883789063
1_20220828 14,3005.524794921875
1_20220828 15,3094.0559912109375
1_20220828 16,3170.04478515625
1_20220828 17,3252.34078125
1_20220828 18,2689.464033203125
1_20220828 19,2466.7434240722655
1_20220828 20,2207.800202026367
1_20220828 21,1847.632801513672
1_20220828 22,1527.662421875
1_20220828 23,2057.928006591797
1_20220829 00,2115.998399658203
1_20220829 01,2082.6335717773436
1_20220829 02,2001.792010498047
1_20220829 03,2016.0528161621094
1_20220829 04,2012.7024133300781
1_20220829 05,2131.972824707031
1_20220829 06,2267.7935534667968
1_20220829 07,2378.7864111328126
1_20220829 08,2693.4624096679686
1_20220829 09,3119.4431884765627
1_20220829 10,3632.085615234375
1_20220829 11,3858.9024267578125
1_20220829 12,3825.4656103515626
1_20220829 13,3889.4640234375
1_20220829 14,3813.470402832031
1_20220829 15,3780.818395996094
1_20220829 16,3795.355207519531
1_20220829 17,3276.1104248046877
1_20220829 18,2642.6664624023438
1_20220829 19,2474.7192150878905
1_20220829 20,2260.8984118652343
1_20220829 21,1809.75359375
1_20220829 22,1500.7728137207032
1_20220829 23,1917.8687817382813
1_20220830 00,1992.7439880371094
1_20220830 01,1973.8655615234375
1_20220830 02,1905.6144091796875
1_20220830 03,1837.644005126953
1_20220830 04,1835.776793823242
1_20220830 05,1983.7151995849608
1_20220830 06,2109.4799609375
1_20220830 07,2357.990419921875
1_20220830 08,2686.763972167969
1_20220830 09,3091.665583496094
1_20220830 10,3588.1728271484376
1_20220830 11,3830.13603515625
1_20220830 12,3882.72
1_20220830 13,3840.12962890625
1_20220830 14,3755.558425292969
1_20220830 15,3656.0543896484373
1_20220830 16,3626.6544091796877
1_20220830 17,3293.88001953125
1_20220830 18,2677.2048608398436
1_20220830 19,2530.053620605469
1_20220830 20,2364.3072229003906
1_20220830 21,1794.9551940917968
1_20220830 22,1564.2671948242187
1_20220830 23,1978.6463989257813
1_20220831 00,2060.2703942871094
1_20220831 01,2018.2175695800781
1_20220831 02,1897.4976135253905
1_20220831 03,1859.227212524414
1_20220831 04,1889.947208251953
1_20220831 05,2055.8640167236326
1_20220831 06,2086.108797607422
1_20220831 07,2309.604031982422
1_20220831 08,2729.56322265625
1_20220831 09,3115.46876953125
1_20220831 10,3696.7872143554687
1_20220831 11,3999.8520263671876
1_20220831 12,4096.226418457031
1_20220831 13,4196.433630371093
1_20220831 14,4143.835190429688
1_20220831 15,4024.319990234375
1_20220831 16,4064.236794433594
1_20220831 17,3448.1664208984375
1_20220831 18,2771.0544555664064
1_20220831 19,2560.291223144531
1_20220831 20,2340.4560192871095
1_20220831 21,1833.7055920410157
1_20220831 22,1535.5727856445312
1_20220831 23,1993.6079992675782
2_20220825 00,1284.7247857666016
2_20220825 01,1287.5399792480468
2_20220825 02,1276.930810546875
2_20220825 03,1261.6656134033203
2_20220825 04,1256.927992553711
2_20220825 05,1267.3332061767578
2_20220825 06,1306.0032049560548
2_20220825 07,1228.8708087158202
2_20220825 08,1904.2272119140625
2_20220825 09,2146.95447265625
2_20220825 10,2396.059216308594
2_20220825 11,2308.6008032226564
2_20220825 12,2359.990809326172
2_20220825 13,2271.5496057128908
2_20220825 14,2287.2204077148435
2_20220825 15,2137.131002197266
2_20220825 16,2176.152287597656
2_20220825 17,2216.7347912597656
2_20220825 18,2184.2556091308593
2_20220825 19,1968.1883911132813
2_20220825 20,1802.410821533203
2_20220825 21,1590.981616821289
