num_date_time,answer
1_20220825 00,2123.524812011719
1_20220825 01,2171.793585205078
1_20220825 02,1996.64642578125
1_20220825 03,1999.6896166992187
1_20220825 04,2000.66880859375
1_20220825 05,2023.190401611328
1_20220825 06,2226.614361572266
1_20220825 07,2713.3248510742187
1_20220825 08,2863.574387207031
1_20220825 09,3183.513576660156
1_20220825 10,3803.906379394531
1_20220825 11,4089.7295971679687
1_20220825 12,4167.134426269531
1_20220825 13,4280.385632324219
1_20220825 14,4321.874418945313
1_20220825 15,3577.0943969726563
1_20220825 16,3253.752009277344
1_20220825 17,3091.3968139648437
1_20220825 18,2801.2464233398437
1_20220825 19,2505.1056018066406
1_20220825 20,2303.400029296875
1_20220825 21,1881.1968127441405
1_20220825 22,1504.2431896972657
1_20220825 23,2033.1888024902344
1_20220826 00,2202.705574951172
1_20220826 01,2126.779187011719
1_20220826 02,1981.9392150878907
1_20220826 03,1968.124814453125
1_20220826 04,1878.974403076172
1_20220826 05,2070.6816149902343
1_20220826 06,2091.340798339844
1_20220826 07,2707.3920434570314
1_20220826 08,2742.1992065429686
1_20220826 09,3130.1975952148437
1_20220826 10,3777.9743701171874
1_20220826 11,4153.3103930664065
1_20220826 12,4150.824016113282
1_20220826 13,4248.623994140625
1_20220826 14,4087.2864111328126
1_20220826 15,4044.89517578125
1_20220826 16,4002.945615234375
1_20220826 17,3430.876818847656
1_20220826 18,2623.017614746094
1_20220826 19,2432.2512219238283
1_20220826 20,2351.7216027832033
1_20220826 21,1885.219210205078
1_20220826 22,1454.536788330078
1_20220826 23,1964.4168078613282
1_20220827 00,2002.5120068359374
1_20220827 01,1921.699207763672
1_20220827 02,1932.696005859375
1_20220827 03,1810.6560107421874
1_20220827 04,1910.5152075195313
1_20220827 05,2008.344022216797
1_20220827 06,2201.102379150391
1_20220827 07,2716.824045410156
1_20220827 08,2011.7136083984376
1_20220827 09,2094.3312158203125
1_20220827 10,2239.291220703125
1_20220827 11,2262.3264282226564
1_20220827 12,2337.8448181152344
1_20220827 13,2456.5728088378905
1_20220827 14,2482.8576123046873
1_20220827 15,2500.3776135253906
1_20220827 16,2437.358427734375
1_20220827 17,2334.283220214844
1_20220827 18,2226.9792016601564
1_20220827 19,2212.3247875976563
1_20220827 20,2173.473602294922
1_20220827 21,1853.5152111816406
1_20220827 22,1400.068798828125
1_20220827 23,1944.3215979003905
1_20220828 00,1697.760020751953
1_20220828 01,1616.0303887939453
1_20220828 02,1315.9055871582032
1_20220828 03,1327.8047900390625
1_20220828 04,1328.2799896240235
1_20220828 05,1404.6719946289063
1_20220828 06,1562.4719903564453
1_20220828 07,1614.6431823730468
1_20220828 08,1764.0648107910156
1_20220828 09,1989.1152221679688
1_20220828 10,2159.3616174316408
1_20220828 11,2324.145617675781
1_20220828 12,2598.124775390625
1_20220828 13,2699.121591796875
1_20220828 14,2737.2672143554687
1_20220828 15,2749.5648022460937
1_20220828 16,2719.0703930664063
1_20220828 17,2804.4864111328125
1_20220828 18,2671.3824169921877
1_20220828 19,2447.342414550781
1_20220828 20,2307.081611328125
1_20220828 21,1848.124803466797
1_20220828 22,1454.8752099609376
1_20220828 23,2037.124793701172
1_20220829 00,2228.193581542969
1_20220829 01,2192.3327758789064
1_20220829 02,1990.852811279297
1_20220829 03,1991.587216796875
1_20220829 04,1992.9024133300782
1_20220829 05,2094.7728271484375
1_20220829 06,2206.2743823242185
1_20220829 07,2555.56802734375
1_20220829 08,2679.00720703125
1_20220829 09,2958.1271850585936
1_20220829 10,3722.78400390625
1_20220829 11,4036.440012207031
1_20220829 12,4044.837626953125
1_20220829 13,4067.5680224609373
1_20220829 14,3995.294423828125
1_20220829 15,3501.5736083984375
1_20220829 16,3114.7440185546875
1_20220829 17,2884.869606933594
1_20220829 18,2630.865623779297
1_20220829 19,2388.2976171875
1_20220829 20,2214.585623779297
1_20220829 21,1845.2880029296875
1_20220829 22,1446.1919970703125
1_20220829 23,1961.8368103027344
1_20220830 00,2143.406387939453
1_20220830 01,2115.623975830078
1_20220830 02,2001.3168212890625
1_20220830 03,1875.6000134277344
1_20220830 04,1872.7104052734376
1_20220830 05,1967.06400390625
1_20220830 06,2142.115155029297
1_20220830 07,2519.60640625
1_20220830 08,2716.144775390625
1_20220830 09,2980.569580078125
1_20220830 10,3713.3568115234375
1_20220830 11,4020.5136279296876
1_20220830 12,4069.584001464844
1_20220830 13,4049.860842285156
1_20220830 14,4018.2672412109373
1_20220830 15,3469.5072021484375
1_20220830 16,3084.5808227539064
1_20220830 17,2893.389611816406
1_20220830 18,2672.160015869141
1_20220830 19,2522.524818115234
1_20220830 20,2293.526414794922
1_20220830 21,1841.3711975097656
1_20220830 22,1472.9903942871094
1_20220830 23,1991.5871984863281
1_20220831 00,2182.339182128906
1_20220831 01,2098.06078125
