num_date_time,answer
1_20220825 00,1871.722900390625
1_20220825 01,1841.683349609375
1_20220825 02,1741.3394775390625
1_20220825 03,1722.971923828125
1_20220825 04,1754.1068115234375
1_20220825 05,1808.4569091796875
1_20220825 06,2184.085205078125
1_20220825 07,2423.0634765625
1_20220825 08,2835.89794921875
1_20220825 09,3285.18359375
1_20220825 10,3741.005615234375
1_20220825 11,3997.18310546875
1_20220825 12,4040.390869140625
1_20220825 13,4244.31591796875
1_20220825 14,4166.12353515625
1_20220825 15,3832.36181640625
1_20220825 16,3788.2509765625
1_20220825 17,3573.005859375
1_20220825 18,2793.127197265625
1_20220825 19,2542.764404296875
1_20220825 20,2407.204345703125
1_20220825 21,1946.6905517578125
1_20220825 22,1422.5927734375
1_20220825 23,1706.118408203125
1_20220826 00,1845.1800537109375
1_20220826 01,1830.653076171875
1_20220826 02,1735.30908203125
1_20220826 03,1699.4251708984375
1_20220826 04,1745.9560546875
1_20220826 05,1802.056884765625
1_20220826 06,2175.607177734375
1_20220826 07,2436.59228515625
1_20220826 08,2847.26220703125
1_20220826 09,3336.278076171875
1_20220826 10,3764.85205078125
1_20220826 11,4436.5400390625
1_20220826 12,4390.20068359375
1_20220826 13,4340.68212890625
1_20220826 14,4328.78125
1_20220826 15,4280.78857421875
1_20220826 16,4150.91650390625
1_20220826 17,3712.938720703125
1_20220826 18,2960.311279296875
1_20220826 19,2570.519775390625
1_20220826 20,2380.162353515625
1_20220826 21,2006.72607421875
1_20220826 22,1523.976318359375
1_20220826 23,1987.424072265625
1_20220827 00,1916.89404296875
1_20220827 01,1896.3394775390625
1_20220827 02,1785.03955078125
1_20220827 03,1728.3822021484375
1_20220827 04,1670.4307861328125
1_20220827 05,1707.6632080078125
1_20220827 06,2012.7420654296875
1_20220827 07,2166.39501953125
1_20220827 08,2438.06787109375
1_20220827 09,2966.759521484375
1_20220827 10,3117.849609375
1_20220827 11,3402.93212890625
1_20220827 12,3465.2607421875
1_20220827 13,3441.75341796875
1_20220827 14,3332.731201171875
1_20220827 15,3255.5537109375
1_20220827 16,3232.80029296875
1_20220827 17,3211.085693359375
1_20220827 18,2558.724853515625
1_20220827 19,2434.264892578125
1_20220827 20,2217.89306640625
1_20220827 21,1704.5205078125
1_20220827 22,1295.2694091796875
1_20220827 23,1550.407470703125
1_20220828 00,1350.20458984375
1_20220828 01,1436.75439453125
1_20220828 02,1363.21240234375
1_20220828 03,1323.9437255859375
1_20220828 04,1320.28271484375
1_20220828 05,1412.93115234375
1_20220828 06,1622.97265625
1_20220828 07,1657.18994140625
1_20220828 08,1920.7958984375
1_20220828 09,2396.573974609375
1_20220828 10,2518.989990234375
1_20220828 11,2745.982666015625
1_20220828 12,2799.176025390625
1_20220828 13,3023.755859375
1_20220828 14,2878.793212890625
1_20220828 15,2867.099609375
1_20220828 16,2779.0126953125
1_20220828 17,2785.71044921875
1_20220828 18,2846.326416015625
1_20220828 19,2166.47509765625
1_20220828 20,2103.611083984375
1_20220828 21,1774.0074462890625
1_20220828 22,1566.84912109375
1_20220828 23,1772.010009765625
1_20220829 00,1758.7138671875
1_20220829 01,1773.903076171875
1_20220829 02,1754.1903076171875
1_20220829 03,1734.87109375
1_20220829 04,1798.0242919921875
1_20220829 05,1895.444091796875
1_20220829 06,2287.200927734375
1_20220829 07,2474.460693359375
1_20220829 08,2856.19091796875
1_20220829 09,3316.601318359375
1_20220829 10,3760.71484375
1_20220829 11,4070.369384765625
1_20220829 12,3983.745361328125
1_20220829 13,4195.6796875
1_20220829 14,3923.942138671875
1_20220829 15,3844.669921875
1_20220829 16,3703.5537109375
1_20220829 17,3503.13134765625
1_20220829 18,2955.3095703125
1_20220829 19,2476.6279296875
1_20220829 20,2305.182373046875
1_20220829 21,1880.4716796875
1_20220829 22,1349.233642578125
1_20220829 23,1772.50048828125
1_20220830 00,1757.4881591796875
1_20220830 01,1791.0777587890625
1_20220830 02,1680.4564208984375
1_20220830 03,1664.236572265625
1_20220830 04,1671.6478271484375
1_20220830 05,1811.85791015625
1_20220830 06,2135.830078125
1_20220830 07,2416.751953125
1_20220830 08,2793.75048828125
1_20220830 09,3236.9130859375
1_20220830 10,3673.89306640625
1_20220830 11,4055.77197265625
1_20220830 12,4042.893798828125
1_20220830 13,4143.78369140625
1_20220830 14,4017.422607421875
1_20220830 15,3835.4482421875
1_20220830 16,3757.31689453125
1_20220830 17,3559.11083984375
1_20220830 18,3017.955078125
1_20220830 19,2506.21240234375
1_20220830 20,2342.133056640625
1_20220830 21,1835.733154296875
1_20220830 22,1316.086669921875
1_20220830 23,1747.7347412109375
1_20220831 00,1755.87744140625
1_20220831 01,1737.1700439453125
1_20220831 02,1626.1773681640625
1_20220831 03,1611.188232421875
1_20220831 04,1616.8870849609375
1_20220831 05,1732.9320068359375
1_20220831 06,2084.527587890625
1_20220831 07,2386.81494140625
1_20220831 08,2775.099609375
1_20220831 09,3263.520751953125
1_20220831 10,3702.778564453125
1_20220831 11,3993.96875
1_20220831 12,3936.60791015625
1_20220831 13,4127.38623046875
1_20220831 14,4016.27880859375
1_20220831 15,3872.511962890625
1_20220831 16,3742.331298828125
1_20220831 17,3580.64599609375
1_20220831 18,3033.55517578125
1_20220831 19,2629.7861328125
1_20220831 20,2434.775634765625
1_20220831 21,2003.1812744140625
1_20220831 22,1489.1090087890625
1_20220831 23,1709.7459716796875
2_20220825 00,1292.818115234375
2_20220825 01,1253.09326171875
2_20220825 02,1256.4027099609375
2_20220825 03,1236.5372314453125
2_20220825 04,1276.5633544921875
2_20220825 05,1220.651611328125
2_20220825 06,1308.9676513671875
2_20220825 07,1332.537109375
2_20220825 08,1649.6575927734375
2_20220825 09,1935.657958984375
2_20220825 10,2179.92822265625
2_20220825 11,2296.5673828125
2_20220825 12,2356.030517578125
2_20220825 13,2439.792236328125
2_20220825 14,2454.3134765625
2_20220825 15,2167.531005859375
2_20220825 16,2272.357666015625
2_20220825 17,2385.43701171875
2_20220825 18,2187.70361328125
2_20220825 19,2083.61572265625
2_20220825 20,1923.0546875
2_20220825 21,1571.76904296875
2_20220825 22,1109.499755859375
2_20220825 23,1077.3060302734375
2_20220826 00,1245.322998046875
2_20220826 01,1208.5572509765625
2_20220826 02,1141.8382568359375
2_20220826 03,1126.6956787109375
2_20220826 04,1168.3084716796875
2_20220826 05,1127.9569091796875
2_20220826 06,1257.7176513671875
2_20220826 07,1310.5826416015625
2_20220826 08,1616.0780029296875
2_20220826 09,1967.17822265625
2_20220826 10,2143.1728515625
2_20220826 11,2269.66552734375
