num_date_time,answer
1_20220825 00,20178.5815222168
1_20220825 01,19193.76736572266
1_20220825 02,18381.175289916995
1_20220825 03,17688.220281677248
1_20220825 04,20065.700074157714
1_20220825 05,24515.402527160644
1_20220825 06,28215.693233947764
1_20220825 07,33796.722836914065
1_20220825 08,41558.61265075684
1_20220825 09,50861.4601953125
1_20220825 10,63081.1227331543
1_20220825 11,62505.35908752442
1_20220825 12,60025.98066223144
1_20220825 13,60869.3690197754
1_20220825 14,60238.605810546884
1_20220825 15,58308.94262268067
1_20220825 16,62843.840985107425
1_20220825 17,65158.67520751954
1_20220825 18,55794.70267211915
1_20220825 19,49101.59162597657
1_20220825 20,43119.52030639649
1_20220825 21,35197.12930236817
1_20220825 22,26432.703038940428
1_20220825 23,23905.248645019532
1_20220826 00,19759.04197937012
1_20220826 01,19102.22917541504
1_20220826 02,18338.350593872074
1_20220826 03,18339.45219848633
1_20220826 04,21919.174375610353
1_20220826 05,27414.538387146
1_20220826 06,28966.74946044922
1_20220826 07,32978.24207824707
1_20220826 08,40387.40118286133
1_20220826 09,49520.45661376953
1_20220826 10,63187.50831970215
1_20220826 11,62433.10681396486
1_20220826 12,64748.928916015626
1_20220826 13,67312.27137573242
1_20220826 14,67353.3219885254
1_20220826 15,66486.24955200194
1_20220826 16,68608.0278088379
1_20220826 17,64106.452808837894
1_20220826 18,59178.34763244629
1_20220826 19,49238.39263671875
1_20220826 20,46424.78484680176
1_20220826 21,37544.20443176269
1_20220826 22,26548.583565063484
1_20220826 23,23749.23968200684
1_20220827 00,19730.246596374513
1_20220827 01,18800.9822454834
1_20220827 02,17599.622510681154
1_20220827 03,16829.23149749756
1_20220827 04,17081.57892089844
1_20220827 05,18001.05863922119
1_20220827 06,18588.583945617676
1_20220827 07,21286.872377319338
1_20220827 08,24622.079520568852
1_20220827 09,31036.27516143799
1_20220827 10,36431.328775939946
1_20220827 11,38484.646261901864
1_20220827 12,40313.80457000733
1_20220827 13,41022.63551727295
1_20220827 14,41209.583375549315
1_20220827 15,42081.85591583252
1_20220827 16,42012.633462829595
1_20220827 17,41992.31870666504
1_20220827 18,40769.76970672608
1_20220827 19,39299.1015008545
1_20220827 20,37144.12880065918
1_20220827 21,33022.3627709961
1_20220827 22,24917.113871459962
1_20220827 23,22411.91358154297
1_20220828 00,19146.657828674317
1_20220828 01,18624.93946868897
1_20220828 02,17461.342234802247
1_20220828 03,16288.815876464847
1_20220828 04,16568.28202636719
1_20220828 05,18030.251037902835
1_20220828 06,18269.24960296631
1_20220828 07,21262.377960510257
1_20220828 08,24789.366108703616
1_20220828 09,31266.590550231933
1_20220828 10,38101.45163757325
1_20220828 11,39761.15785339355
1_20220828 12,42330.42900817871
1_20220828 13,43253.95892425538
1_20220828 14,43549.997683715825
1_20220828 15,45435.06237243652
1_20220828 16,45165.57514831543
1_20220828 17,44729.940859985356
1_20220828 18,43634.88598693848
1_20220828 19,41881.17102478028
1_20220828 20,39504.760322875976
1_20220828 21,36285.399107055666
1_20220828 22,24146.836220703124
1_20220828 23,22040.301774291995
1_20220829 00,20248.144392089845
1_20220829 01,19453.169808044433
1_20220829 02,18881.92546539307
1_20220829 03,18531.40616394043
1_20220829 04,20618.427919311525
1_20220829 05,24915.477606201173
1_20220829 06,27711.09569030762
1_20220829 07,35813.59852966308
1_20220829 08,39789.05168457032
1_20220829 09,46888.83399841309
1_20220829 10,55311.221941528325
1_20220829 11,57134.18371337891
1_20220829 12,58240.80570678711
1_20220829 13,57799.67155273437
1_20220829 14,60674.90392578125
1_20220829 15,62789.44158813477
1_20220829 16,62046.19084838867
1_20220829 17,59226.15404602051
1_20220829 18,51828.828831787105
1_20220829 19,48426.83194641114
1_20220829 20,42501.55797119141
1_20220829 21,35443.10200500489
1_20220829 22,25613.89486572266
1_20220829 23,23107.865591430666
1_20220830 00,19537.514955444338
1_20220830 01,18765.447261047364
1_20220830 02,18458.935281677248
1_20220830 03,17835.31627838135
1_20220830 04,20714.355941467285
1_20220830 05,24445.51017456055
1_20220830 06,28719.86947937011
1_20220830 07,29988.977568359376
1_20220830 08,39219.47030395508
1_20220830 09,46041.314561767584
1_20220830 10,52987.63176940918
1_20220830 11,54834.99907592773
1_20220830 12,53497.98834350586
1_20220830 13,54428.16830322266
1_20220830 14,54848.21816650391
1_20220830 15,58704.78992919922
1_20220830 16,57524.60384521485
1_20220830 17,57517.459458007805
1_20220830 18,50395.105018920905
1_20220830 19,49151.90905273438
1_20220830 20,42904.35731628418
1_20220830 21,35620.90798034668
1_20220830 22,26613.537351684572
1_20220830 23,23641.023916015627
1_20220831 00,20100.8538961792
1_20220831 01,19070.09643981934
1_20220831 02,18690.85447937012
1_20220831 03,18160.968710021974
1_20220831 04,21992.414627685546
1_20220831 05,25979.801439819337
1_20220831 06,31117.323635864257
1_20220831 07,33019.93277099609
1_20220831 08,39088.61756591797
1_20220831 09,49475.07466308595
1_20220831 10,58748.975501708985
1_20220831 11,60684.057756347655
1_20220831 12,64927.420174560546
1_20220831 13,63216.53821411134
1_20220831 14,67162.54520263673
1_20220831 15,67103.55010375977
1_20220831 16,63883.42735412598
1_20220831 17,64007.713871459964
1_20220831 18,55183.54120910645
1_20220831 19,52192.50286315918
1_20220831 20,43263.176555175785
1_20220831 21,35441.12283447266
1_20220831 22,27379.52280334473
1_20220831 23,24537.89087890625
2_20220825 00,21519.763543701174
2_20220825 01,20809.91171661377
2_20220825 02,20714.81769683838
2_20220825 03,21067.183904418947
2_20220825 04,23215.5632421875
2_20220825 05,27305.88491760254
2_20220825 06,30627.208871459963
2_20220825 07,42000.48403137207
2_20220825 08,58299.28718933106
2_20220825 09,66339.13452148438
2_20220825 10,75456.65915161134
2_20220825 11,75151.2729852295
2_20220825 12,72493.45237731932
2_20220825 13,72808.18561279298
2_20220825 14,71332.47902465821
2_20220825 15,65221.482705078124
2_20220825 16,69153.32006591797
2_20220825 17,68087.4895288086
2_20220825 18,55977.422172851584
2_20220825 19,46208.725438232424
2_20220825 20,41103.557149047854
2_20220825 21,33791.436248779304
2_20220825 22,27075.170758056647
2_20220825 23,25487.680791625982
2_20220826 00,21417.889613647465
2_20220826 01,20816.837116088867
2_20220826 02,20522.807182006836
2_20220826 03,20603.9853994751
2_20220826 04,23509.933403625488
2_20220826 05,28191.733230590824
2_20220826 06,32283.27824462891
2_20220826 07,40307.49492675781
2_20220826 08,54880.71450561523
2_20220826 09,66030.23290039063
2_20220826 10,75853.00839050293
2_20220826 11,77004.40709228517
2_20220826 12,78185.98615478516
2_20220826 13,79067.65493896486
2_20220826 14,78294.97983520509
2_20220826 15,77713.65938720704
2_20220826 16,76200.2552685547
2_20220826 17,69753.7403442383
2_20220826 18,61679.85463745118
2_20220826 19,47653.37648925782
2_20220826 20,40824.73643493653
2_20220826 21,36649.3729498291
2_20220826 22,27127.84712524414
2_20220826 23,24713.787853393555
2_20220827 00,20837.12772155762
2_20220827 01,20161.085574951172
2_20220827 02,19596.920640869143
2_20220827 03,19171.071141662596
2_20220827 04,19056.79633605957
2_20220827 05,20884.496604614258
2_20220827 06,21246.436985168457
2_20220827 07,23177.979238891603
2_20220827 08,25883.20089782715
2_20220827 09,29960.757220764164
2_20220827 10,33480.51508239746
2_20220827 11,35206.02559143067
2_20220827 12,36594.59239868164
2_20220827 13,36806.37498352051
2_20220827 14,36628.38549255371
2_20220827 15,37595.62249908448
2_20220827 16,38416.314591369635
2_20220827 17,37456.140785827636
2_20220827 18,35345.864118652345
2_20220827 19,35549.238907775885
2_20220827 20,33938.95883361817
2_20220827 21,30043.23141845703
2_20220827 22,24055.030980224612
2_20220827 23,23313.702754516606
2_20220828 00,20680.97604614258
2_20220828 01,19807.99310791016
2_20220828 02,19222.73580810547
2_20220828 03,18918.561939086914
2_20220828 04,18612.300901184084
2_20220828 05,20602.37366394043
2_20220828 06,21214.39342834473
2_20220828 07,22846.94840362549
2_20220828 08,26139.5875189209
2_20220828 09,30379.332738037105
2_20220828 10,35093.11164581298
2_20220828 11,35830.324967041015
