num_date_time,answer
1_20220825 00,831.5058001708984
1_20220825 01,809.6246981811523
1_20220825 02,764.7383966064453
1_20220825 03,739.2551947021484
1_20220825 04,861.948600769043
1_20220825 05,1342.2611981201171
1_20220825 06,1336.1909997558594
1_20220825 07,1749.8483111572266
1_20220825 08,2470.5047302246094
1_20220825 09,2864.957429199219
1_20220825 10,2592.989903564453
1_20220825 11,2589.6207104492187
1_20220825 12,2540.0142065429686
1_20220825 13,2901.2610217285155
1_20220825 14,2947.5630090332033
1_20220825 15,2841.0212072753907
1_20220825 16,2788.6928198242185
1_20220825 17,2645.9220141601563
1_20220825 18,2331.7092712402346
1_20220825 19,1901.833782348633
1_20220825 20,1497.3908917236329
1_20220825 21,1155.5712005615235
1_20220825 22,1044.2699969482421
1_20220825 23,995.7551977539063
1_20220826 00,826.4123959350586
1_20220826 01,840.3791931152343
1_20220826 02,818.8541925048828
1_20220826 03,845.0789978027344
1_20220826 04,919.551597290039
1_20220826 05,1376.9160040283202
1_20220826 06,1663.9787939453124
1_20220826 07,2099.5410278320314
1_20220826 08,2892.898831176758
1_20220826 09,2742.3696154785157
1_20220826 10,2526.465909423828
1_20220826 11,2342.2752075195312
1_20220826 12,2220.0722998046876
1_20220826 13,2327.259599609375
1_20220826 14,2354.2664880371094
1_20220826 15,2263.0121923828124
1_20220826 16,2356.336806640625
1_20220826 17,2154.8165771484373
1_20220826 18,2247.5273791503905
1_20220826 19,2007.6317767333985
1_20220826 20,1586.4191955566407
1_20220826 21,1306.7751013183595
1_20220826 22,995.8920013427735
1_20220826 23,984.2045947265625
1_20220827 00,837.1866061401367
1_20220827 01,834.4416027832032
1_20220827 02,767.5434014892578
1_20220827 03,773.3772033691406
1_20220827 04,760.3901986694336
1_20220827 05,800.7612033081055
1_20220827 06,970.2965997314453
1_20220827 07,1038.3749972534179
1_20220827 08,1028.2619973754884
1_20220827 09,1121.2008041381837
1_20220827 10,1362.4668005371093
1_20220827 11,1407.244796447754
1_20220827 12,1502.554193725586
1_20220827 13,1546.6938006591797
1_20220827 14,1607.883002319336
1_20220827 15,1643.62380859375
1_20220827 16,1637.0658044433594
1_20220827 17,1671.5382012939453
1_20220827 18,1635.5754071044921
1_20220827 19,1549.7765936279297
1_20220827 20,1298.7779989624023
1_20220827 21,1076.3754010009766
1_20220827 22,886.322995300293
1_20220827 23,828.5339923095703
1_20220828 00,826.1430041503907
1_20220828 01,815.796600036621
1_20220828 02,753.6978024291992
1_20220828 03,740.5884014892578
1_20220828 04,765.4986013793946
1_20220828 05,827.9754040527343
1_20220828 06,969.2741998291016
1_20220828 07,1047.3143981933595
1_20220828 08,1004.7761962890625
1_20220828 09,1178.887201538086
1_20220828 10,1376.7576083374024
1_20220828 11,1482.0048043823242
1_20220828 12,1613.3004064941406
1_20220828 13,1641.1860028076171
1_20220828 14,1652.4137973022462
1_20220828 15,1591.0962060546874
1_20220828 16,1573.0782025146484
1_20220828 17,1579.7945993041992
1_20220828 18,1619.8733990478515
1_20220828 19,1615.3493942260743
1_20220828 20,1427.5146057128907
1_20220828 21,1220.147395324707
1_20220828 22,981.9215960693359
1_20220828 23,868.4441952514649
