num_date_time,answer
1_20220825 00,1843.5980224609375
1_20220825 01,1744.0987548828125
1_20220825 02,1694.7073974609375
1_20220825 03,1656.171630859375
1_20220825 04,1643.868896484375
1_20220825 05,1657.610107421875
1_20220825 06,1911.356201171875
1_20220825 07,2181.34423828125
1_20220825 08,2634.807373046875
1_20220825 09,3073.059326171875
1_20220825 10,3663.643310546875
1_20220825 11,3745.20361328125
1_20220825 12,3783.9365234375
1_20220825 13,3790.980224609375
1_20220825 14,3796.242431640625
1_20220825 15,3551.306396484375
1_20220825 16,3574.981201171875
1_20220825 17,3195.4443359375
1_20220825 18,2678.44580078125
1_20220825 19,2443.890380859375
1_20220825 20,2250.974365234375
1_20220825 21,1817.2041015625
1_20220825 22,1570.34619140625
1_20220825 23,1536.5831298828125
1_20220826 00,1682.8402099609375
1_20220826 01,1685.1009521484375
1_20220826 02,1646.6810302734375
1_20220826 03,1627.37451171875
1_20220826 04,1642.0992431640625
1_20220826 05,1640.46435546875
1_20220826 06,1875.4862060546875
1_20220826 07,2160.524658203125
1_20220826 08,2584.9091796875
1_20220826 09,3139.146728515625
1_20220826 10,3672.991943359375
1_20220826 11,3974.9912109375
1_20220826 12,4109.80224609375
1_20220826 13,4111.638671875
1_20220826 14,4115.45068359375
1_20220826 15,4198.5615234375
1_20220826 16,4148.017578125
1_20220826 17,3639.545654296875
1_20220826 18,3023.265380859375
1_20220826 19,2592.404541015625
1_20220826 20,2384.84228515625
1_20220826 21,1972.0086669921875
1_20220826 22,1697.5035400390625
1_20220826 23,1661.3189697265625
1_20220827 00,1731.92333984375
1_20220827 01,1710.87060546875
1_20220827 02,1534.787109375
1_20220827 03,1526.7183837890625
1_20220827 04,1530.205322265625
1_20220827 05,1536.830810546875
1_20220827 06,1688.158935546875
1_20220827 07,1846.3905029296875
1_20220827 08,2182.323486328125
1_20220827 09,2646.28271484375
1_20220827 10,3017.427734375
1_20220827 11,3082.43115234375
1_20220827 12,3081.31689453125
1_20220827 13,3096.281982421875
1_20220827 14,3192.324951171875
1_20220827 15,3279.82470703125
1_20220827 16,3258.80419921875
1_20220827 17,3032.1396484375
1_20220827 18,2700.707275390625
1_20220827 19,2380.017578125
1_20220827 20,2228.319091796875
1_20220827 21,1810.3258056640625
1_20220827 22,1584.388916015625
1_20220827 23,1583.8358154296875
1_20220828 00,1578.18896484375
1_20220828 01,1556.7425537109375
1_20220828 02,1525.0057373046875
1_20220828 03,1517.2685546875
1_20220828 04,1511.4449462890625
1_20220828 05,1538.8079833984375
1_20220828 06,1656.78271484375
1_20220828 07,1833.6300048828125
1_20220828 08,2212.443115234375
1_20220828 09,2621.1171875
1_20220828 10,3010.997802734375
1_20220828 11,3087.07568359375
1_20220828 12,3319.84228515625
1_20220828 13,3440.5732421875
1_20220828 14,3444.28173828125
