num_date_time,answer
1_20220825 00,1352.886962890625
1_20220825 01,1201.115234375
1_20220825 02,1164.3427734375
1_20220825 03,1168.09765625
1_20220825 04,1178.011474609375
1_20220825 05,1303.753173828125
1_20220825 06,1424.2938232421875
1_20220825 07,1882.2784423828125
1_20220825 08,2380.1279296875
1_20220825 09,2935.456787109375
1_20220825 10,3451.4208984375
1_20220825 11,3792.494384765625
1_20220825 12,3802.3486328125
1_20220825 13,3765.578125
1_20220825 14,3681.4755859375
1_20220825 15,3086.265380859375
1_20220825 16,3082.256591796875
1_20220825 17,2918.44287109375
1_20220825 18,2311.59716796875
1_20220825 19,2217.05810546875
1_20220825 20,2152.563232421875
1_20220825 21,1807.083984375
1_20220825 22,1436.1680908203125
1_20220825 23,1415.6923828125
1_20220826 00,1226.4703369140625
1_20220826 01,1237.532958984375
1_20220826 02,1205.95556640625
1_20220826 03,1209.1068115234375
1_20220826 04,1209.1068115234375
1_20220826 05,1336.1800537109375
1_20220826 06,1430.7581787109375
1_20220826 07,1846.092529296875
1_20220826 08,2340.03662109375
1_20220826 09,2982.0576171875
1_20220826 10,3588.143798828125
1_20220826 11,3927.958740234375
1_20220826 12,3933.18408203125
1_20220826 13,3966.338134765625
1_20220826 14,3870.94384765625
1_20220826 15,3843.44970703125
1_20220826 16,3894.935546875
1_20220826 17,3300.662841796875
1_20220826 18,2796.8359375
1_20220826 19,2441.316162109375
1_20220826 20,2353.364013671875
1_20220826 21,1883.670654296875
1_20220826 22,1576.3726806640625
1_20220826 23,1587.7122802734375
1_20220827 00,1451.4658203125
1_20220827 01,1445.3631591796875
1_20220827 02,1204.530029296875
1_20220827 03,1220.7142333984375
1_20220827 04,1210.138916015625
1_20220827 05,1295.5745849609375
1_20220827 06,1291.6700439453125
1_20220827 07,1711.94482421875
1_20220827 08,1992.953369140625
1_20220827 09,2381.190185546875
1_20220827 10,2477.216796875
1_20220827 11,2518.632568359375
1_20220827 12,2650.57861328125
1_20220827 13,2640.108154296875
1_20220827 14,2749.225341796875
1_20220827 15,2787.5712890625
1_20220827 16,2793.569580078125
1_20220827 17,2782.73193359375
1_20220827 18,2312.317138671875
1_20220827 19,2142.570556640625
1_20220827 20,2090.290771484375
1_20220827 21,1745.190673828125
1_20220827 22,1386.5037841796875
1_20220827 23,1310.892822265625
1_20220828 00,1104.847900390625
1_20220828 01,1103.3878173828125
1_20220828 02,1088.5682373046875
1_20220828 03,1069.9385986328125
1_20220828 04,1073.1053466796875
1_20220828 05,1114.785888671875
1_20220828 06,1179.1046142578125
1_20220828 07,1618.4295654296875
1_20220828 08,1837.6619873046875
1_20220828 09,2229.785888671875
1_20220828 10,2494.18505859375
1_20220828 11,2659.27490234375
1_20220828 12,2866.73681640625
1_20220828 13,3056.0908203125
1_20220828 14,3042.771484375
1_20220828 15,3046.780517578125
1_20220828 16,3080.05322265625
1_20220828 17,2881.47314453125
1_20220828 18,2509.09228515625
1_20220828 19,2414.119140625
1_20220828 20,2161.25927734375
1_20220828 21,1696.099853515625
1_20220828 22,1468.3668212890625
1_20220828 23,1391.0909423828125
1_20220829 00,1267.2486572265625
1_20220829 01,1267.2486572265625
1_20220829 02,1271.9544677734375
1_20220829 03,1256.973876953125
1_20220829 04,1236.4981689453125
1_20220829 05,1381.9112548828125
1_20220829 06,1481.7119140625
1_20220829 07,1878.248291015625
1_20220829 08,2440.609130859375
1_20220829 09,2874.2529296875
1_20220829 10,3179.7509765625
1_20220829 11,3260.523681640625
1_20220829 12,3278.302001953125
1_20220829 13,3346.545166015625
1_20220829 14,3313.59619140625
1_20220829 15,3343.643310546875
1_20220829 16,3254.866455078125
1_20220829 17,2693.750732421875
1_20220829 18,2197.799560546875
1_20220829 19,2103.03955078125
1_20220829 20,2025.23291015625
1_20220829 21,1657.7200927734375
1_20220829 22,1382.93359375
1_20220829 23,1348.02392578125
1_20220830 00,1237.53857421875
1_20220830 01,1247.1915283203125
1_20220830 02,1238.99462890625
1_20220830 03,1235.002685546875
1_20220830 04,1236.9017333984375
1_20220830 05,1427.0115966796875
1_20220830 06,1490.3035888671875
1_20220830 07,1958.9146728515625
1_20220830 08,2606.034423828125
1_20220830 09,3119.65087890625
1_20220830 10,3426.215576171875
1_20220830 11,3594.617919921875
1_20220830 12,3596.034912109375
1_20220830 13,3618.625
1_20220830 14,3594.55029296875
1_20220830 15,3484.218505859375
1_20220830 16,3352.343994140625
1_20220830 17,2972.218994140625
1_20220830 18,2515.854248046875
1_20220830 19,2390.349365234375
1_20220830 20,2166.078125
1_20220830 21,1816.8057861328125
1_20220830 22,1469.0174560546875
1_20220830 23,1394.2965087890625
1_20220831 00,1250.93017578125
1_20220831 01,1240.5986328125
1_20220831 02,1236.7791748046875
1_20220831 03,1227.072998046875
1_20220831 04,1219.3692626953125
1_20220831 05,1411.7578125
1_20220831 06,1529.7711181640625
1_20220831 07,1974.4718017578125
1_20220831 08,2629.04150390625
1_20220831 09,3185.24560546875
1_20220831 10,3569.32080078125
1_20220831 11,4114.92236328125
1_20220831 12,4190.1689453125
1_20220831 13,4309.56640625
1_20220831 14,4214.646484375
1_20220831 15,4141.49169921875
1_20220831 16,4183.943359375
1_20220831 17,3431.677490234375
1_20220831 18,2899.008056640625
1_20220831 19,2680.57373046875
1_20220831 20,2299.71533203125
1_20220831 21,1939.3270263671875
1_20220831 22,1436.3121337890625
1_20220831 23,1368.474853515625
2_20220825 00,1087.164306640625
2_20220825 01,967.5009155273438
2_20220825 02,1026.580322265625
2_20220825 03,1045.36767578125
2_20220825 04,1056.9815673828125
2_20220825 05,1069.47900390625
2_20220825 06,1087.3538818359375
2_20220825 07,1230.8843994140625
2_20220825 08,1532.2254638671875
2_20220825 09,1838.4912109375
2_20220825 10,2055.141845703125
2_20220825 11,2067.392333984375
2_20220825 12,2082.002685546875
2_20220825 13,2156.490234375
2_20220825 14,2081.458984375
2_20220825 15,1876.120361328125
2_20220825 16,1964.778564453125
2_20220825 17,2028.6666259765625
2_20220825 18,1939.6455078125
2_20220825 19,1890.8887939453125
2_20220825 20,1851.49560546875
2_20220825 21,1586.378173828125
2_20220825 22,1167.284912109375
2_20220825 23,1296.877685546875
2_20220826 00,1050.510498046875
2_20220826 01,1051.8682861328125
2_20220826 02,1041.6494140625
2_20220826 03,1050.581787109375
2_20220826 04,1052.2818603515625
2_20220826 05,1037.79296875
2_20220826 06,1054.310302734375
2_20220826 07,1153.2325439453125
2_20220826 08,1523.4141845703125
2_20220826 09,1876.1275634765625
2_20220826 10,2040.7099609375
2_20220826 11,2221.5693359375
2_20220826 12,2260.713134765625
2_20220826 13,2345.345703125
2_20220826 14,2285.192138671875
2_20220826 15,2373.548583984375
2_20220826 16,2436.508056640625
2_20220826 17,2357.841064453125
2_20220826 18,2225.31689453125
2_20220826 19,2066.950927734375
2_20220826 20,1993.40380859375
2_20220826 21,1709.3819580078125
2_20220826 22,1401.9847412109375
2_20220826 23,1405.9366455078125
2_20220827 00,1195.543212890625
2_20220827 01,1189.4405517578125
2_20220827 02,1023.2388305664062
2_20220827 03,1054.45556640625
2_20220827 04,1036.8526611328125
2_20220827 05,1020.4566040039062
2_20220827 06,996.870361328125
2_20220827 07,1105.076904296875
2_20220827 08,1274.5172119140625
2_20220827 09,1524.283203125
2_20220827 10,1593.5810546875
2_20220827 11,1719.36181640625
2_20220827 12,1769.261962890625
2_20220827 13,1794.1668701171875
2_20220827 14,1876.8994140625
2_20220827 15,1908.6104736328125
2_20220827 16,1945.0599365234375
2_20220827 17,1930.4027099609375
2_20220827 18,1853.39111328125
2_20220827 19,1811.3863525390625
2_20220827 20,1756.342529296875
2_20220827 21,1476.4393310546875
2_20220827 22,1038.190673828125
2_20220827 23,1081.5863037109375
2_20220828 00,885.0185546875
2_20220828 01,894.9967041015625
2_20220828 02,897.8875122070312
2_20220828 03,913.7991943359375
2_20220828 04,929.2367553710938
2_20220828 05,916.0429077148438
2_20220828 06,949.1018676757812
2_20220828 07,1069.427978515625
2_20220828 08,1237.736083984375
2_20220828 09,1585.6290283203125
2_20220828 10,1750.545166015625
2_20220828 11,1926.2430419921875
2_20220828 12,2085.234619140625
2_20220828 13,2108.346435546875
2_20220828 14,2073.954345703125
2_20220828 15,2200.230712890625
2_20220828 16,2242.625244140625
2_20220828 17,2241.250732421875
2_20220828 18,2142.867431640625
2_20220828 19,2064.808837890625
2_20220828 20,1836.0091552734375
2_20220828 21,1405.68505859375
2_20220828 22,1148.1556396484375
2_20220828 23,1194.033203125
2_20220829 00,867.7893676757812
2_20220829 01,867.7893676757812
2_20220829 02,906.6866455078125
2_20220829 03,885.7652587890625
2_20220829 04,866.98974609375
2_20220829 05,861.7752685546875
2_20220829 06,828.3445434570312
2_20220829 07,929.9845581054688
2_20220829 08,1129.8228759765625
2_20220829 09,1314.072509765625
2_20220829 10,1420.872314453125
2_20220829 11,1428.0875244140625
2_20220829 12,1436.6630859375
2_20220829 13,1491.3109130859375
2_20220829 14,1422.2445068359375
2_20220829 15,1485.2830810546875
2_20220829 16,1535.4959716796875
2_20220829 17,1370.018798828125
2_20220829 18,1244.2320556640625
2_20220829 19,1225.6075439453125
2_20220829 20,1201.42236328125
2_20220829 21,896.406982421875
2_20220829 22,634.620361328125
2_20220829 23,670.8859252929688
2_20220830 00,889.1535034179688
2_20220830 01,941.4937744140625
2_20220830 02,959.3631591796875
2_20220830 03,970.4033813476562
2_20220830 04,974.0025024414062
2_20220830 05,974.0025024414062
2_20220830 06,961.1282958984375
2_20220830 07,1036.651611328125
2_20220830 08,1332.279541015625
2_20220830 09,1650.7674560546875
2_20220830 10,1779.7137451171875
2_20220830 11,1819.825439453125
2_20220830 12,1812.4898681640625
2_20220830 13,1936.788330078125
2_20220830 14,1935.0609130859375
2_20220830 15,1962.2525634765625
2_20220830 16,1969.3675537109375
2_20220830 17,1976.8294677734375
2_20220830 18,1845.2491455078125
2_20220830 19,1737.8763427734375
2_20220830 20,1672.940185546875
2_20220830 21,1404.7777099609375
2_20220830 22,1008.460205078125
2_20220830 23,1065.0645751953125
2_20220831 00,956.1449584960938
2_20220831 01,956.1449584960938
2_20220831 02,975.39599609375
2_20220831 03,957.6162109375
2_20220831 04,974.7183837890625
2_20220831 05,974.7183837890625
2_20220831 06,1014.6705932617188
2_20220831 07,1112.4793701171875
2_20220831 08,1498.1893310546875
2_20220831 09,1859.2647705078125
2_20220831 10,2041.060302734375
2_20220831 11,2133.250244140625
2_20220831 12,2188.82861328125
2_20220831 13,2213.45751953125
2_20220831 14,2201.8779296875
2_20220831 15,2224.825927734375
2_20220831 16,2255.060302734375
2_20220831 17,2243.01513671875
2_20220831 18,2052.399169921875
2_20220831 19,1981.127197265625
2_20220831 20,1846.90771484375
2_20220831 21,1567.6280517578125
2_20220831 22,1084.9564208984375
2_20220831 23,1121.458984375
3_20220825 00,1142.364013671875
3_20220825 01,1091.9241943359375
3_20220825 02,1048.8692626953125
3_20220825 03,1014.1325073242188
3_20220825 04,1006.9246215820312
3_20220825 05,972.9762573242188
3_20220825 06,990.8508911132812
3_20220825 07,1091.9693603515625
3_20220825 08,1179.7772216796875
3_20220825 09,1388.840576171875
3_20220825 10,1600.2633056640625
3_20220825 11,1708.2398681640625
3_20220825 12,1653.081298828125
3_20220825 13,1787.7353515625
3_20220825 14,1726.6395263671875
3_20220825 15,1698.313232421875
3_20220825 16,1786.9715576171875
3_20220825 17,1824.1044921875
3_20220825 18,1761.43603515625
3_20220825 19,1744.9189453125
3_20220825 20,1735.3897705078125
3_20220825 21,1528.994140625
3_20220825 22,1277.483154296875
3_20220825 23,1167.115966796875
3_20220826 00,1060.74462890625
3_20220826 01,1062.1024169921875
3_20220826 02,988.2807006835938
3_20220826 03,944.651123046875
3_20220826 04,949.584228515625
3_20220826 05,938.6511840820312
3_20220826 06,955.1686401367188
3_20220826 07,1008.1222534179688
3_20220826 08,1164.7706298828125
3_20220826 09,1393.81494140625
3_20220826 10,1558.5516357421875
3_20220826 11,1865.35205078125
3_20220826 12,1901.7540283203125
3_20220826 13,2037.568359375
3_20220826 14,1990.9305419921875
3_20220826 15,2108.705322265625
3_20220826 16,2195.899658203125
3_20220826 17,2122.010986328125
3_20220826 18,2034.8858642578125
3_20220826 19,1913.98095703125
3_20220826 20,1860.84619140625
3_20220826 21,1635.5458984375
3_20220826 22,1392.334716796875
3_20220826 23,1210.2825927734375
3_20220827 00,1167.056396484375
3_20220827 01,1167.7342529296875
3_20220827 02,996.4432983398438
3_20220827 03,972.1337890625
3_20220827 04,934.1546020507812
3_20220827 05,925.2163696289062
3_20220827 06,898.0739135742188
3_20220827 07,959.9664916992188
3_20220827 08,957.6200561523438
3_20220827 09,1113.0411376953125
3_20220827 10,1176.8529052734375
3_20220827 11,1321.94287109375
3_20220827 12,1393.5819091796875
3_20220827 13,1506.318603515625
3_20220827 14,1578.1246337890625
3_20220827 15,1621.7552490234375
3_20220827 16,1658.204833984375
3_20220827 17,1705.6859130859375
3_20220827 18,1685.5023193359375
3_20220827 19,1692.510009765625
3_20220827 20,1595.871826171875
3_20220827 21,1387.917236328125
3_20220827 22,1143.0654296875
3_20220827 23,968.0755004882812
3_20220828 00,935.6680908203125
3_20220828 01,942.11865234375
3_20220828 02,900.936767578125
3_20220828 03,880.1007690429688
3_20220828 04,868.1550903320312
3_20220828 05,853.5577392578125
3_20220828 06,865.8990478515625
3_20220828 07,960.6324462890625
3_20220828 08,953.809814453125
