num_date_time,answer
1_20220825 00,1837.989013671875
1_20220825 01,1783.8643798828125
1_20220825 02,1665.2330322265625
1_20220825 03,1657.2791748046875
1_20220825 04,1652.7454833984375
1_20220825 05,1720.479736328125
1_20220825 06,1750.288330078125
1_20220825 07,2223.388427734375
1_20220825 08,2676.810302734375
1_20220825 09,3256.106689453125
1_20220825 10,3918.607421875
1_20220825 11,4108.71630859375
1_20220825 12,4115.62255859375
1_20220825 13,4154.4755859375
1_20220825 14,4141.5556640625
1_20220825 15,3733.0615234375
1_20220825 16,3576.4599609375
1_20220825 17,3340.92578125
1_20220825 18,2944.55078125
1_20220825 19,2654.972900390625
1_20220825 20,2469.528076171875
1_20220825 21,2226.135498046875
1_20220825 22,1657.95361328125
1_20220825 23,1923.131591796875
1_20220826 00,1699.0003662109375
1_20220826 01,1698.329345703125
1_20220826 02,1667.8905029296875
1_20220826 03,1659.9366455078125
1_20220826 04,1655.4029541015625
1_20220826 05,1670.70751953125
1_20220826 06,1745.6982421875
1_20220826 07,2213.89697265625
1_20220826 08,2661.302001953125
1_20220826 09,3253.796630859375
1_20220826 10,3840.165771484375
1_20220826 11,4200.8623046875
1_20220826 12,4191.78564453125
1_20220826 13,4365.916015625
1_20220826 14,4333.6767578125
1_20220826 15,4287.5263671875
1_20220826 16,4098.8779296875
1_20220826 17,3486.21728515625
1_20220826 18,3038.77734375
1_20220826 19,2754.882080078125
1_20220826 20,2558.83251953125
1_20220826 21,2184.271728515625
1_20220826 22,1637.513427734375
1_20220826 23,1899.038818359375
1_20220827 00,1690.706787109375
1_20220827 01,1683.3677978515625
1_20220827 02,1572.580322265625
1_20220827 03,1572.7291259765625
1_20220827 04,1548.459716796875
1_20220827 05,1538.2930908203125
1_20220827 06,1607.830322265625
1_20220827 07,2062.45849609375
1_20220827 08,2362.561767578125
1_20220827 09,2868.313232421875
1_20220827 10,3303.59814453125
1_20220827 11,3329.08251953125
1_20220827 12,3355.7734375
1_20220827 13,3363.41650390625
1_20220827 14,3358.39501953125
1_20220827 15,3266.444580078125
1_20220827 16,3198.5390625
1_20220827 17,3093.06982421875
1_20220827 18,2812.442138671875
1_20220827 19,2519.524658203125
1_20220827 20,2331.9287109375
1_20220827 21,2108.017822265625
1_20220827 22,1582.0308837890625
1_20220827 23,1846.88623046875
1_20220828 00,1450.6590576171875
1_20220828 01,1428.12841796875
1_20220828 02,1416.0640869140625
1_20220828 03,1437.2545166015625
1_20220828 04,1427.9324951171875
1_20220828 05,1399.22900390625
1_20220828 06,1425.9444580078125
1_20220828 07,1861.8714599609375
1_20220828 08,2116.104248046875
1_20220828 09,2557.103515625
1_20220828 10,2813.381103515625
1_20220828 11,2915.09326171875
1_20220828 12,2935.904296875
1_20220828 13,3021.90234375
1_20220828 14,3021.90234375
1_20220828 15,3217.882568359375
1_20220828 16,3124.912109375
1_20220828 17,3087.431640625
1_20220828 18,2678.99951171875
1_20220828 19,2372.174072265625
1_20220828 20,2226.8408203125
1_20220828 21,1922.724609375
1_20220828 22,1543.524169921875
1_20220828 23,1812.7674560546875
1_20220829 00,1751.460205078125
1_20220829 01,1730.65625
1_20220829 02,1757.091552734375
1_20220829 03,1739.5352783203125
1_20220829 04,1715.1746826171875
1_20220829 05,1738.947509765625
1_20220829 06,1834.8592529296875
1_20220829 07,2336.884521484375
1_20220829 08,2741.8798828125
1_20220829 09,3262.67724609375
1_20220829 10,3712.81884765625
1_20220829 11,3863.339599609375
1_20220829 12,3878.927001953125
