num_date_time,answer
1_20220825 00,1746.40625
1_20220825 01,1716.1783447265625
1_20220825 02,1708.3692626953125
1_20220825 03,1688.3587646484375
1_20220825 04,1676.0562744140625
1_20220825 05,1673.322509765625
1_20220825 06,1801.250732421875
1_20220825 07,2070.7626953125
1_20220825 08,2555.86376953125
1_20220825 09,2987.169189453125
1_20220825 10,3629.87451171875
1_20220825 11,3758.365234375
1_20220825 12,3751.34765625
1_20220825 13,3844.06689453125
1_20220825 14,3760.118408203125
1_20220825 15,3460.323974609375
1_20220825 16,3563.33642578125
1_20220825 17,3319.58251953125
1_20220825 18,2764.208984375
1_20220825 19,2529.274169921875
1_20220825 20,2296.1904296875
1_20220825 21,1921.0704345703125
1_20220825 22,1582.6131591796875
1_20220825 23,1583.4884033203125
1_20220826 00,1704.4906005859375
1_20220826 01,1746.1468505859375
1_20220826 02,1736.803466796875
1_20220826 03,1691.1441650390625
1_20220826 04,1726.9105224609375
1_20220826 05,1676.6204833984375
1_20220826 06,1751.23828125
1_20220826 07,2061.108154296875
1_20220826 08,2512.069091796875
1_20220826 09,2957.00732421875
1_20220826 10,3651.584716796875
1_20220826 11,3846.244384765625
1_20220826 12,3957.627197265625
1_20220826 13,4020.8876953125
1_20220826 14,4030.472900390625
1_20220826 15,4030.472900390625
1_20220826 16,4000.752197265625
1_20220826 17,3501.019287109375
1_20220826 18,2935.387451171875
1_20220826 19,2572.20703125
1_20220826 20,2370.83447265625
1_20220826 21,1964.847900390625
1_20220826 22,1689.418701171875
1_20220826 23,1702.6131591796875
1_20220827 00,1703.9412841796875
1_20220827 01,1692.5030517578125
1_20220827 02,1672.655029296875
1_20220827 03,1679.736328125
1_20220827 04,1674.1138916015625
1_20220827 05,1614.238525390625
1_20220827 06,1746.6434326171875
1_20220827 07,1982.605712890625
1_20220827 08,2305.26416015625
1_20220827 09,2725.275146484375
1_20220827 10,3078.680419921875
1_20220827 11,3111.52880859375
1_20220827 12,3226.50244140625
1_20220827 13,3250.12646484375
1_20220827 14,3281.78955078125
1_20220827 15,3323.26220703125
1_20220827 16,3285.10205078125
1_20220827 17,3087.51416015625
1_20220827 18,2708.89208984375
1_20220827 19,2431.349609375
1_20220827 20,2197.330322265625
1_20220827 21,1847.013427734375
1_20220827 22,1568.286376953125
1_20220827 23,1575.786865234375
1_20220828 00,1635.54638671875
1_20220828 01,1623.2242431640625
1_20220828 02,1627.5194091796875
1_20220828 03,1624.5111083984375
1_20220828 04,1661.811767578125
1_20220828 05,1657.003173828125
1_20220828 06,1699.814697265625
1_20220828 07,1948.3253173828125
1_20220828 08,2306.326904296875
1_20220828 09,2725.14697265625
1_20220828 10,3061.5498046875
1_20220828 11,3152.745361328125
1_20220828 12,3270.50634765625
1_20220828 13,3429.296142578125
1_20220828 14,3479.839599609375
1_20220828 15,3518.528564453125
1_20220828 16,3466.803955078125
1_20220828 17,3163.468505859375
1_20220828 18,2772.54541015625
1_20220828 19,2420.83251953125
1_20220828 20,2303.13427734375
1_20220828 21,1824.886474609375
1_20220828 22,1545.22119140625
1_20220828 23,1550.8446044921875
1_20220829 00,1685.41259765625
1_20220829 01,1682.447509765625
1_20220829 02,1737.2388916015625
1_20220829 03,1690.887939453125
1_20220829 04,1684.38720703125
1_20220829 05,1676.3642578125
1_20220829 06,1805.74609375
1_20220829 07,2119.853759765625
1_20220829 08,2520.7080078125
1_20220829 09,2929.45068359375
1_20220829 10,3530.168701171875
1_20220829 11,3610.851806640625
1_20220829 12,3610.851806640625
1_20220829 13,3548.340576171875
1_20220829 14,3620.867919921875
1_20220829 15,3511.725830078125
1_20220829 16,3556.975830078125
1_20220829 17,3252.635986328125
1_20220829 18,2732.204833984375
1_20220829 19,2451.689453125
1_20220829 20,2305.10302734375
1_20220829 21,1957.7042236328125
1_20220829 22,1664.030517578125
1_20220829 23,1644.9022216796875
1_20220830 00,1743.6495361328125
1_20220830 01,1739.045166015625
1_20220830 02,1714.6357421875
1_20220830 03,1687.245361328125
1_20220830 04,1741.0653076171875
1_20220830 05,1730.9671630859375
1_20220830 06,1814.52978515625
1_20220830 07,2093.1796875
1_20220830 08,2521.033935546875
1_20220830 09,2922.971923828125
1_20220830 10,3429.574462890625
1_20220830 11,3495.060302734375
1_20220830 12,3508.116943359375
1_20220830 13,3520.576416015625
1_20220830 14,3635.257080078125
1_20220830 15,3635.257080078125
1_20220830 16,3608.697998046875
1_20220830 17,3298.933349609375
1_20220830 18,2702.38525390625
1_20220830 19,2525.3125
1_20220830 20,2325.2509765625
1_20220830 21,1933.96142578125
1_20220830 22,1682.643310546875
1_20220830 23,1618.45458984375
1_20220831 00,1666.23779296875
1_20220831 01,1705.3914794921875
1_20220831 02,1647.1695556640625
1_20220831 03,1638.3936767578125
1_20220831 04,1646.8619384765625
1_20220831 05,1638.8389892578125
1_20220831 06,1724.5035400390625
1_20220831 07,2050.322021484375
1_20220831 08,2443.7919921875
1_20220831 09,2849.05712890625
1_20220831 10,3413.6552734375
1_20220831 11,3636.219482421875
1_20220831 12,3649.231201171875
1_20220831 13,3726.487060546875
1_20220831 14,3810.435546875
1_20220831 15,3810.435546875
1_20220831 16,3705.744140625
1_20220831 17,3329.615478515625
1_20220831 18,2780.7822265625
1_20220831 19,2550.37451171875
1_20220831 20,2293.553955078125
1_20220831 21,1843.9140625
1_20220831 22,1549.619140625
1_20220831 23,1568.6072998046875
2_20220825 00,1140.9747314453125
2_20220825 01,1122.2891845703125
2_20220825 02,1114.4801025390625
2_20220825 03,1104.2772216796875
2_20220825 04,1091.9747314453125
2_20220825 05,1096.3843994140625
2_20220825 06,1118.229736328125
2_20220825 07,1154.4697265625
2_20220825 08,1601.07958984375
2_20220825 09,1949.8343505859375
2_20220825 10,2330.404052734375
2_20220825 11,2363.146484375
2_20220825 12,2379.01318359375
2_20220825 13,2426.837158203125
2_20220825 14,2379.65380859375
2_20220825 15,2063.664794921875
2_20220825 16,2146.757080078125
2_20220825 17,2205.955322265625
2_20220825 18,1827.7786865234375
2_20220825 19,1757.373291015625
2_20220825 20,1698.9691162109375
2_20220825 21,1383.1285400390625
2_20220825 22,1103.078369140625
2_20220825 23,1150.9603271484375
2_20220826 00,1133.9556884765625
2_20220826 01,1140.054443359375
2_20220826 02,1130.7110595703125
2_20220826 03,1123.5438232421875
2_20220826 04,1120.818115234375
2_20220826 05,1109.0201416015625
2_20220826 06,1113.112548828125
2_20220826 07,1144.815185546875
2_20220826 08,1557.28515625
2_20220826 09,1978.1138916015625
2_20220826 10,2241.79296875
2_20220826 11,2288.798828125
2_20220826 12,2314.349609375
2_20220826 13,2377.610107421875
2_20220826 14,2402.955322265625
2_20220826 15,2413.935546875
2_20220826 16,2384.21484375
2_20220826 17,2205.656982421875
2_20220826 18,1818.339599609375
2_20220826 19,1681.4334716796875
2_20220826 20,1784.622314453125
2_20220826 21,1484.591064453125
2_20220826 22,1162.8896484375
2_20220826 23,1210.512939453125
2_20220827 00,1165.5128173828125
2_20220827 01,1151.1400146484375
2_20220827 02,1100.8736572265625
2_20220827 03,1098.7354736328125
2_20220827 04,1099.5162353515625
2_20220827 05,1078.1329345703125
2_20220827 06,1090.693603515625
2_20220827 07,1080.815185546875
2_20220827 08,1230.6053466796875
2_20220827 09,1448.8643798828125
2_20220827 10,1606.380126953125
2_20220827 11,1709.1014404296875
2_20220827 12,1799.71142578125
2_20220827 13,1816.1036376953125
2_20220827 14,1852.5670166015625
2_20220827 15,1905.498046875
2_20220827 16,1860.934814453125
2_20220827 17,1887.548095703125
2_20220827 18,1643.638427734375
2_20220827 19,1548.8170166015625
2_20220827 20,1489.4776611328125
2_20220827 21,1204.8431396484375
2_20220827 22,970.1602172851562
2_20220827 23,1001.9938354492188
2_20220828 00,1027.8931884765625
2_20220828 01,1015.5711669921875
2_20220828 02,1081.6800537109375
2_20220828 03,1070.9569091796875
2_20220828 04,1069.7655029296875
2_20220828 05,1027.9805908203125
2_20220828 06,1023.2093505859375
2_20220828 07,1034.126220703125
2_20220828 08,1160.31591796875
2_20220828 09,1448.7359619140625
2_20220828 10,1624.5430908203125
2_20220828 11,1746.255126953125
2_20220828 12,1825.52392578125
2_20220828 13,1864.325439453125
2_20220828 14,1930.6290283203125
2_20220828 15,2026.4998779296875
2_20220828 16,1980.7001953125
2_20220828 17,1994.8226318359375
2_20220828 18,1729.003662109375
2_20220828 19,1567.4161376953125
2_20220828 20,1573.327880859375
2_20220828 21,1250.5748291015625
2_20220828 22,985.5872802734375
2_20220828 23,1015.5435180664062
2_20220829 00,1046.2646484375
2_20220829 01,1043.299560546875
2_20220829 02,1069.8028564453125
2_20220829 03,1051.739990234375
2_20220829 04,1045.2392578125
2_20220829 05,1037.21630859375
2_20220829 06,1102.839599609375
2_20220829 07,1162.13427734375
2_20220829 08,1565.9241943359375
2_20220829 09,1914.9996337890625
2_20220829 10,2245.452392578125
2_20220829 11,2289.591796875
2_20220829 12,2289.591796875
2_20220829 13,2265.572509765625
2_20220829 14,2283.126708984375
2_20220829 15,2175.097412109375
2_20220829 16,2181.85546875
2_20220829 17,2040.3594970703125
2_20220829 18,1655.13818359375
2_20220829 19,1618.516357421875
2_20220829 20,1608.1175537109375
2_20220829 21,1300.9281005859375
2_20220829 22,1074.892578125
2_20220829 23,1081.201171875
2_20220830 00,1111.268310546875
2_20220830 01,1106.6639404296875
2_20220830 02,1105.6087646484375
2_20220830 03,1109.6873779296875
2_20220830 04,1116.5469970703125
2_20220830 05,1082.2115478515625
2_20220830 06,1094.55078125
2_20220830 07,1021.8093872070312
2_20220830 08,1370.1929931640625
2_20220830 09,1732.863525390625
2_20220830 10,2057.439453125
2_20220830 11,2100.962646484375
2_20220830 12,2186.479248046875
2_20220830 13,2198.938720703125
2_20220830 14,2295.571044921875
2_20220830 15,2295.571044921875
2_20220830 16,2269.011962890625
2_20220830 17,2176.217529296875
2_20220830 18,1795.35791015625
2_20220830 19,1741.3880615234375
2_20220830 20,1716.006103515625
2_20220830 21,1422.489013671875
2_20220830 22,1146.19091796875
2_20220830 23,1167.5006103515625
2_20220831 00,1080.2115478515625
2_20220831 01,1080.8731689453125
2_20220831 02,1061.143310546875
2_20220831 03,1060.835693359375
2_20220831 04,1060.835693359375
2_20220831 05,1052.812744140625
2_20220831 06,1067.951904296875
2_20220831 07,1115.6033935546875
2_20220831 08,1517.5423583984375
2_20220831 09,1873.09814453125
2_20220831 10,2167.430908203125
2_20220831 11,2298.478271484375
2_20220831 12,2239.6611328125
2_20220831 13,2329.541259765625
2_20220831 14,2376.724609375
2_20220831 15,2376.724609375
2_20220831 16,2324.072021484375
2_20220831 17,2189.6181640625
2_20220831 18,1725.479248046875
2_20220831 19,1719.34033203125
2_20220831 20,1708.310302734375
2_20220831 21,1344.46435546875
2_20220831 22,1070.0843505859375
2_20220831 23,1136.0792236328125
3_20220825 00,944.8464965820312
3_20220825 01,940.017578125
3_20220825 02,926.50390625
3_20220825 03,887.7114868164062
3_20220825 04,868.5027465820312
3_20220825 05,874.2893676757812
3_20220825 06,880.3475952148438
3_20220825 07,993.3193969726562
3_20220825 08,1175.11865234375
3_20220825 09,1478.7716064453125
3_20220825 10,1677.568359375
3_20220825 11,1646.7115478515625
3_20220825 12,1657.757080078125
3_20220825 13,1726.7440185546875
3_20220825 14,1728.1143798828125
3_20220825 15,1677.1424560546875
3_20220825 16,1823.9036865234375
3_20220825 17,1900.7650146484375
3_20220825 18,1889.1258544921875
3_20220825 19,1831.033935546875
3_20220825 20,1763.0443115234375
3_20220825 21,1550.7099609375
3_20220825 22,1201.45849609375
3_20220825 23,1096.810302734375
3_20220826 00,907.958984375
3_20220826 01,900.4260864257812
3_20220826 02,886.9124145507812
3_20220826 03,889.555419921875
3_20220826 04,879.6988525390625
3_20220826 05,877.3873901367188
3_20220826 06,898.1188354492188
3_20220826 07,984.5226440429688
3_20220826 08,1141.7674560546875
3_20220826 09,1477.7940673828125
3_20220826 10,1659.7635498046875
3_20220826 11,1728.9500732421875
3_20220826 12,1713.448486328125
3_20220826 13,1789.58642578125
3_20220826 14,1838.14013671875
3_20220826 15,1851.9202880859375
3_20220826 16,1941.8770751953125
3_20220826 17,2034.9427490234375
3_20220826 18,1964.8614501953125
3_20220826 19,1863.08837890625
3_20220826 20,1824.5029296875
3_20220826 21,1614.4312744140625
3_20220826 22,1245.9715576171875
3_20220826 23,1108.8272705078125
3_20220827 00,905.6632080078125
3_20220827 01,894.458740234375
3_20220827 02,859.3401489257812
3_20220827 03,845.6625366210938
3_20220827 04,853.97265625
3_20220827 05,846.7433471679688
3_20220827 06,828.1160888671875
3_20220827 07,866.951171875
3_20220827 08,880.357666015625
3_20220827 09,1208.383056640625
