num_date_time,answer
1_20220825 00,1842.5926513671875
1_20220825 01,1743.0933837890625
1_20220825 02,1694.7073974609375
1_20220825 03,1656.171630859375
1_20220825 04,1643.868896484375
1_20220825 05,1657.610107421875
1_20220825 06,1911.356201171875
1_20220825 07,2181.34423828125
1_20220825 08,2634.807373046875
1_20220825 09,3073.059326171875
1_20220825 10,3662.637939453125
1_20220825 11,3744.1982421875
1_20220825 12,3782.93115234375
1_20220825 13,3789.974853515625
1_20220825 14,3796.242431640625
1_20220825 15,3543.474853515625
1_20220825 16,3574.981201171875
1_20220825 17,3195.4443359375
1_20220825 18,2678.44580078125
1_20220825 19,2443.890380859375
1_20220825 20,2250.974365234375
1_20220825 21,1817.2041015625
1_20220825 22,1570.34619140625
1_20220825 23,1536.5831298828125
1_20220826 00,1682.8402099609375
1_20220826 01,1685.1009521484375
1_20220826 02,1646.6810302734375
1_20220826 03,1627.37451171875
1_20220826 04,1642.0992431640625
1_20220826 05,1640.46435546875
1_20220826 06,1875.4862060546875
1_20220826 07,2160.524658203125
1_20220826 08,2584.9091796875
1_20220826 09,3139.146728515625
1_20220826 10,3671.986572265625
1_20220826 11,3852.51171875
1_20220826 12,3899.6162109375
1_20220826 13,3966.5849609375
1_20220826 14,3970.39697265625
1_20220826 15,4053.63671875
1_20220826 16,4001.48974609375
1_20220826 17,3429.359130859375
1_20220826 18,2863.4423828125
1_20220826 19,2532.27587890625
1_20220826 20,2383.8369140625
1_20220826 21,1971.0032958984375
1_20220826 22,1696.4981689453125
1_20220826 23,1660.3135986328125
1_20220827 00,1730.91796875
1_20220827 01,1709.865234375
1_20220827 02,1534.787109375
1_20220827 03,1526.7183837890625
1_20220827 04,1532.5166015625
1_20220827 05,1536.830810546875
1_20220827 06,1688.158935546875
1_20220827 07,1846.3905029296875
1_20220827 08,2182.323486328125
1_20220827 09,2646.28271484375
1_20220827 10,3017.427734375
1_20220827 11,3082.43115234375
1_20220827 12,3080.3115234375
1_20220827 13,3095.276611328125
1_20220827 14,3132.196533203125
1_20220827 15,3150.17578125
1_20220827 16,3129.1552734375
1_20220827 17,2972.01123046875
1_20220827 18,2640.57861328125
1_20220827 19,2379.01220703125
1_20220827 20,2220.487548828125
1_20220827 21,1810.3258056640625
1_20220827 22,1584.388916015625
1_20220827 23,1583.8358154296875
1_20220828 00,1578.18896484375
1_20220828 01,1556.7425537109375
1_20220828 02,1525.0057373046875
1_20220828 03,1517.2685546875
1_20220828 04,1511.4449462890625
1_20220828 05,1538.8079833984375
1_20220828 06,1656.78271484375
1_20220828 07,1833.6300048828125
1_20220828 08,2198.359375
1_20220828 09,2621.1171875
1_20220828 10,3010.997802734375
1_20220828 11,3095.882568359375
1_20220828 12,3190.317626953125
1_20220828 13,3188.578369140625
1_20220828 14,3252.518798828125
1_20220828 15,3339.97265625
1_20220828 16,3313.881591796875
1_20220828 17,3161.683837890625
1_20220828 18,2760.901123046875
1_20220828 19,2458.8759765625
1_20220828 20,2314.170654296875
1_20220828 21,1778.59619140625
1_20220828 22,1515.0638427734375
1_20220828 23,1520.23974609375
1_20220829 00,1683.2972412109375
1_20220829 01,1669.487060546875
1_20220829 02,1663.938720703125
1_20220829 03,1630.160400390625
1_20220829 04,1610.088134765625
1_20220829 05,1623.503662109375
1_20220829 06,1879.0048828125
1_20220829 07,2175.291748046875
1_20220829 08,2571.78125
1_20220829 09,3010.64306640625
1_20220829 10,3555.13134765625
1_20220829 11,3666.99169921875
1_20220829 12,3660.72412109375
1_20220829 13,3671.34716796875
1_20220829 14,3648.84033203125
1_20220829 15,3620.966064453125
1_20220829 16,3597.2255859375
1_20220829 17,3129.332763671875
1_20220829 18,2622.959228515625
1_20220829 19,2375.02783203125
1_20220829 20,2233.341064453125
1_20220829 21,1777.1640625
1_20220829 22,1551.2203369140625
1_20220829 23,1511.37890625
1_20220830 00,1700.5123291015625
1_20220830 01,1682.840576171875
1_20220830 02,1636.8876953125
1_20220830 03,1617.7935791015625
1_20220830 04,1625.1170654296875
1_20220830 05,1638.5325927734375
1_20220830 06,1865.3575439453125
1_20220830 07,2161.20361328125
1_20220830 08,2524.73974609375
1_20220830 09,2976.13671875
1_20220830 10,3566.968505859375
1_20220830 11,3686.889892578125
1_20220830 12,3685.096435546875
1_20220830 13,3685.150634765625
1_20220830 14,3677.089599609375
1_20220830 15,3691.878662109375
1_20220830 16,3645.40185546875
1_20220830 17,3186.932373046875
1_20220830 18,2654.88330078125
1_20220830 19,2408.3681640625
1_20220830 20,2246.33251953125
1_20220830 21,1782.9029541015625
1_20220830 22,1566.4298095703125
1_20220830 23,1513.9769287109375
1_20220831 00,1677.9644775390625
1_20220831 01,1668.75
1_20220831 02,1621.547119140625
1_20220831 03,1620.636474609375
1_20220831 04,1616.96533203125
1_20220831 05,1630.380859375
1_20220831 06,1865.7283935546875
1_20220831 07,2158.7421875
1_20220831 08,2557.05615234375
1_20220831 09,3002.185791015625
1_20220831 10,3560.900390625
1_20220831 11,3791.503173828125
1_20220831 12,3775.913330078125
1_20220831 13,3781.702880859375
1_20220831 14,3781.702880859375
1_20220831 15,3781.702880859375
1_20220831 16,3713.004150390625
1_20220831 17,3298.090087890625
1_20220831 18,2774.467529296875
1_20220831 19,2547.954833984375
1_20220831 20,2309.44482421875
1_20220831 21,1772.2373046875
1_20220831 22,1550.1986083984375
1_20220831 23,1512.470458984375
2_20220825 00,1178.485107421875
2_20220825 01,1136.0169677734375
2_20220825 02,1126.240234375
2_20220825 03,1143.5516357421875
2_20220825 04,1131.2491455078125
2_20220825 05,1141.1201171875
2_20220825 06,1193.944580078125
2_20220825 07,1223.0755615234375
2_20220825 08,1634.0224609375
2_20220825 09,1979.0927734375
2_20220825 10,2309.96533203125
2_20220825 11,2354.595458984375
2_20220825 12,2392.372802734375
2_20220825 13,2399.41650390625
2_20220825 14,2405.68408203125
2_20220825 15,2090.711669921875
2_20220825 16,2164.38720703125
2_20220825 17,2218.875244140625
2_20220825 18,1898.765869140625
