num_date_time,answer
1_20220825 00,1698.6248779296875
1_20220825 01,1671.960205078125
1_20220825 02,1671.960205078125
1_20220825 03,1659.8746337890625
1_20220825 04,1692.43896484375
1_20220825 05,1692.43896484375
1_20220825 06,1716.3551025390625
1_20220825 07,1716.3551025390625
1_20220825 08,1716.3551025390625
1_20220825 09,1734.790283203125
1_20220825 10,1744.8240966796875
1_20220825 11,1744.8240966796875
1_20220825 12,1773.54052734375
1_20220825 13,1775.59228515625
1_20220825 14,1775.59228515625
1_20220825 15,1768.687744140625
1_20220825 16,1757.1571044921875
1_20220825 17,1757.1571044921875
1_20220825 18,1767.0009765625
1_20220825 19,1733.240966796875
1_20220825 20,1733.240966796875
1_20220825 21,1700.6766357421875
1_20220825 22,1700.6766357421875
1_20220825 23,1700.6766357421875
1_20220826 00,1700.6766357421875
1_20220826 01,1627.0537109375
1_20220826 02,1627.0537109375
1_20220826 03,1614.9681396484375
1_20220826 04,1647.532470703125
1_20220826 05,1647.532470703125
1_20220826 06,1671.4486083984375
1_20220826 07,1671.4486083984375
1_20220826 08,1716.3551025390625
1_20220826 09,1734.790283203125
1_20220826 10,1744.8240966796875
1_20220826 11,1744.8240966796875
1_20220826 12,1766.635986328125
1_20220826 13,1766.635986328125
1_20220826 14,1766.635986328125
1_20220826 15,1766.635986328125
1_20220826 16,1748.2008056640625
1_20220826 17,1748.2008056640625
1_20220826 18,1758.044677734375
1_20220826 19,1724.28466796875
1_20220826 20,1731.189208984375
1_20220826 21,1698.6248779296875
1_20220826 22,1698.6248779296875
1_20220826 23,1700.6766357421875
1_20220827 00,1642.8052978515625
1_20220827 01,1609.455078125
1_20220827 02,1609.455078125
1_20220827 03,1552.4630126953125
1_20220827 04,1555.5457763671875
1_20220827 05,1551.7872314453125
1_20220827 06,1564.3349609375
1_20220827 07,1564.3349609375
1_20220827 08,1564.3349609375
1_20220827 09,1589.547607421875
1_20220827 10,1643.518310546875
1_20220827 11,1630.7451171875
1_20220827 12,1669.9664306640625
1_20220827 13,1662.0435791015625
1_20220827 14,1662.0435791015625
1_20220827 15,1662.0435791015625
1_20220827 16,1643.6446533203125
1_20220827 17,1648.2431640625
1_20220827 18,1655.487548828125
1_20220827 19,1638.9835205078125
1_20220827 20,1638.9835205078125
1_20220827 21,1642.8028564453125
1_20220827 22,1597.8963623046875
1_20220827 23,1597.8963623046875
1_20220828 00,1599.95068359375
1_20220828 01,1562.8419189453125
1_20220828 02,1560.7900390625
1_20220828 03,1548.7044677734375
1_20220828 04,1536.7637939453125
1_20220828 05,1536.7637939453125
1_20220828 06,1549.3115234375
1_20220828 07,1549.3115234375
1_20220828 08,1568.093505859375
1_20220828 09,1632.3997802734375
1_20220828 10,1636.6162109375
1_20220828 11,1634.564453125
1_20220828 12,1662.0435791015625
1_20220828 13,1657.445068359375
1_20220828 14,1657.445068359375
1_20220828 15,1657.445068359375
1_20220828 16,1643.6446533203125
1_20220828 17,1643.6446533203125
1_20220828 18,1649.6527099609375
1_20220828 19,1635.6954345703125
1_20220828 20,1636.9317626953125
1_20220828 21,1633.8489990234375
1_20220828 22,1635.9007568359375
1_20220828 23,1635.9007568359375
1_20220829 00,1716.1563720703125
1_20220829 01,1687.43994140625
1_20220829 02,1687.43994140625
1_20220829 03,1676.3214111328125
1_20220829 04,1708.8857421875
1_20220829 05,1710.8704833984375
1_20220829 06,1688.91552734375
1_20220829 07,1688.91552734375
1_20220829 08,1688.91552734375
1_20220829 09,1707.3507080078125
1_20220829 10,1719.436279296875
1_20220829 11,1719.436279296875
1_20220829 12,1748.1527099609375
1_20220829 13,1793.0592041015625
1_20220829 14,1793.0592041015625
1_20220829 15,1793.0592041015625
1_20220829 16,1774.6240234375
1_20220829 17,1774.62158203125
1_20220829 18,1791.0203857421875
1_20220829 19,1750.7078857421875
1_20220829 20,1750.7078857421875
1_20220829 21,1673.234619140625
1_20220829 22,1673.237060546875
1_20220829 23,1673.237060546875
1_20220830 00,1671.830322265625
1_20220830 01,1643.1138916015625
1_20220830 02,1643.1138916015625
1_20220830 03,1631.0283203125
1_20220830 04,1659.8341064453125
1_20220830 05,1659.8341064453125
1_20220830 06,1683.750244140625
1_20220830 07,1683.750244140625
1_20220830 08,1683.750244140625
1_20220830 09,1702.1854248046875
1_20220830 10,1714.27099609375
1_20220830 11,1714.27099609375
1_20220830 12,1746.7459716796875
1_20220830 13,1746.7459716796875
1_20220830 14,1746.7459716796875
1_20220830 15,1746.7459716796875
1_20220830 16,1728.310791015625
1_20220830 17,1728.310791015625
1_20220830 18,1744.7095947265625
1_20220830 19,1704.3946533203125
1_20220830 20,1704.3946533203125
1_20220830 21,1671.830322265625
1_20220830 22,1671.830322265625
1_20220830 23,1671.830322265625
1_20220831 00,1652.44921875
1_20220831 01,1623.7327880859375
1_20220831 02,1623.7327880859375
1_20220831 03,1611.647216796875
1_20220831 04,1644.2115478515625
1_20220831 05,1644.2115478515625
1_20220831 06,1668.127685546875
1_20220831 07,1668.127685546875
1_20220831 08,1668.127685546875
1_20220831 09,1686.5628662109375
1_20220831 10,1743.554931640625
1_20220831 11,1743.554931640625
1_20220831 12,1770.2196044921875
1_20220831 13,1772.2713623046875
1_20220831 14,1770.2196044921875
1_20220831 15,1770.2196044921875
1_20220831 16,1751.784423828125
1_20220831 17,1751.784423828125
1_20220831 18,1754.3604736328125
1_20220831 19,1731.3408203125
1_20220831 20,1729.9200439453125
1_20220831 21,1697.355712890625
1_20220831 22,1697.355712890625
1_20220831 23,1652.44921875
2_20220825 00,1778.330078125
2_20220825 01,1764.8612060546875
2_20220825 02,1764.8612060546875
2_20220825 03,1752.775634765625
2_20220825 04,1785.3399658203125
2_20220825 05,1785.3399658203125
2_20220825 06,1809.256103515625
2_20220825 07,1809.256103515625
2_20220825 08,1809.256103515625
2_20220825 09,1827.6912841796875
2_20220825 10,1837.72509765625
2_20220825 11,1837.72509765625
2_20220825 12,1853.2457275390625
2_20220825 13,1855.2974853515625
2_20220825 14,1855.2974853515625
2_20220825 15,1848.3929443359375
2_20220825 16,1836.8623046875
2_20220825 17,1836.8623046875
2_20220825 18,1846.7061767578125
2_20220825 19,1812.9461669921875
2_20220825 20,1812.9461669921875
2_20220825 21,1780.3818359375
2_20220825 22,1780.3818359375
2_20220825 23,1780.3818359375
2_20220826 00,1780.3818359375
2_20220826 01,1719.9547119140625
2_20220826 02,1719.9547119140625
2_20220826 03,1707.869140625
2_20220826 04,1740.4334716796875
2_20220826 05,1740.4334716796875
2_20220826 06,1764.349609375
2_20220826 07,1764.349609375
2_20220826 08,1809.256103515625
2_20220826 09,1827.6912841796875
2_20220826 10,1837.72509765625
2_20220826 11,1837.72509765625
2_20220826 12,1846.3411865234375
2_20220826 13,1846.3411865234375
2_20220826 14,1846.3411865234375
2_20220826 15,1846.3411865234375
2_20220826 16,1827.906005859375
2_20220826 17,1827.906005859375
2_20220826 18,1837.7498779296875
2_20220826 19,1803.9898681640625
2_20220826 20,1810.8944091796875
2_20220826 21,1778.330078125
2_20220826 22,1778.330078125
2_20220826 23,1780.3818359375
2_20220827 00,1722.510498046875
2_20220827 01,1702.3560791015625
2_20220827 02,1702.3560791015625
2_20220827 03,1645.364013671875
2_20220827 04,1648.44677734375
2_20220827 05,1644.688232421875
2_20220827 06,1657.2359619140625
2_20220827 07,1657.2359619140625
2_20220827 08,1657.2359619140625
2_20220827 09,1682.4486083984375
2_20220827 10,1736.4193115234375
2_20220827 11,1720.402587890625
2_20220827 12,1749.671630859375
2_20220827 13,1738.5052490234375
2_20220827 14,1738.5052490234375
2_20220827 15,1738.5052490234375
2_20220827 16,1720.1063232421875
2_20220827 17,1724.704833984375
2_20220827 18,1735.1927490234375
2_20220827 19,1718.688720703125
2_20220827 20,1718.688720703125
2_20220827 21,1722.508056640625
2_20220827 22,1677.6015625
2_20220827 23,1677.6015625
2_20220828 00,1679.6558837890625
2_20220828 01,1655.742919921875
2_20220828 02,1653.6910400390625
2_20220828 03,1641.60546875
2_20220828 04,1568.8720703125
2_20220828 05,1568.8720703125
2_20220828 06,1581.4197998046875
2_20220828 07,1581.4197998046875
