num_date_time,answer
1_20220825 00,1681.2415771484375
1_20220825 01,1608.2698974609375
1_20220825 02,1611.2039794921875
1_20220825 03,1612.1617431640625
1_20220825 04,1588.8782958984375
1_20220825 05,1586.0458984375
1_20220825 06,1903.3973388671875
1_20220825 07,2095.472412109375
1_20220825 08,2597.120849609375
1_20220825 09,3148.383056640625
1_20220825 10,3643.458984375
1_20220825 11,3741.987060546875
1_20220825 12,3767.65869140625
1_20220825 13,3765.552490234375
1_20220825 14,3734.73681640625
1_20220825 15,3400.30029296875
1_20220825 16,3618.91015625
1_20220825 17,3356.734130859375
1_20220825 18,2751.774658203125
1_20220825 19,2605.364013671875
1_20220825 20,2491.24560546875
1_20220825 21,2091.722900390625
1_20220825 22,1783.9901123046875
1_20220825 23,1847.6417236328125
1_20220826 00,1575.887451171875
1_20220826 01,1571.9727783203125
1_20220826 02,1571.964111328125
1_20220826 03,1575.2926025390625
1_20220826 04,1571.964111328125
1_20220826 05,1585.4849853515625
1_20220826 06,1882.28173828125
1_20220826 07,2060.835693359375
1_20220826 08,2566.058349609375
1_20220826 09,3183.14794921875
1_20220826 10,3642.694580078125
1_20220826 11,3841.933837890625
1_20220826 12,3906.947998046875
1_20220826 13,3981.2802734375
1_20220826 14,3991.400146484375
1_20220826 15,4068.77099609375
1_20220826 16,4042.764892578125
1_20220826 17,3609.430419921875
1_20220826 18,2960.33203125
1_20220826 19,2683.753662109375
1_20220826 20,2512.724365234375
1_20220826 21,2121.6796875
1_20220826 22,1841.9869384765625
1_20220826 23,1887.4913330078125
1_20220827 00,1619.440185546875
1_20220827 01,1628.3204345703125
1_20220827 02,1474.4383544921875
1_20220827 03,1457.3629150390625
1_20220827 04,1462.31640625
1_20220827 05,1435.63232421875
1_20220827 06,1608.2728271484375
1_20220827 07,1708.6251220703125
1_20220827 08,2144.06103515625
1_20220827 09,2635.47607421875
1_20220827 10,2831.776123046875
1_20220827 11,2849.617431640625
1_20220827 12,2860.3583984375
1_20220827 13,2919.406494140625
1_20220827 14,2942.68994140625
1_20220827 15,3007.892333984375
1_20220827 16,3005.828125
1_20220827 17,2844.43310546875
1_20220827 18,2532.943359375
1_20220827 19,2340.30224609375
1_20220827 20,2297.74365234375
1_20220827 21,1928.63037109375
1_20220827 22,1647.3060302734375
1_20220827 23,1717.2623291015625
1_20220828 00,1420.4598388671875
1_20220828 01,1415.503173828125
1_20220828 02,1417.885986328125
1_20220828 03,1417.885986328125
1_20220828 04,1428.4561767578125
1_20220828 05,1431.530517578125
1_20220828 06,1586.5980224609375
1_20220828 07,1705.571044921875
1_20220828 08,2153.2001953125
1_20220828 09,2646.822265625
1_20220828 10,2818.6591796875
1_20220828 11,2832.41455078125
1_20220828 12,3062.586669921875
1_20220828 13,3160.954833984375
1_20220828 14,3267.467041015625
1_20220828 15,3278.9833984375
1_20220828 16,3307.840087890625
1_20220828 17,3221.129638671875
1_20220828 18,2787.7783203125
1_20220828 19,2539.667724609375
1_20220828 20,2318.19921875
1_20220828 21,1940.747802734375
1_20220828 22,1673.8211669921875
1_20220828 23,1747.5172119140625
1_20220829 00,1580.6414794921875
1_20220829 01,1576.09765625
1_20220829 02,1569.14697265625
1_20220829 03,1572.2843017578125
1_20220829 04,1565.34814453125
1_20220829 05,1565.34814453125
1_20220829 06,1868.6044921875
1_20220829 07,2048.1162109375
1_20220829 08,2540.015380859375
1_20220829 09,3093.548828125
1_20220829 10,3518.03271484375
1_20220829 11,3545.798583984375
1_20220829 12,3558.91552734375
1_20220829 13,3612.025146484375
1_20220829 14,3623.1416015625
1_20220829 15,3576.960205078125
1_20220829 16,3617.375732421875
1_20220829 17,3265.89599609375
1_20220829 18,2698.2509765625
1_20220829 19,2549.351806640625
1_20220829 20,2468.676513671875
1_20220829 21,2064.2529296875
1_20220829 22,1791.2364501953125
