num_date_time,answer
1_20220825 00,1859.2210693359375
1_20220825 01,1701.5947265625
1_20220825 02,1677.2470703125
1_20220825 03,1624.873291015625
1_20220825 04,1621.7064208984375
1_20220825 05,1659.273193359375
1_20220825 06,1712.27197265625
1_20220825 07,2288.88671875
1_20220825 08,2960.588623046875
1_20220825 09,3532.647216796875
1_20220825 10,4162.93505859375
1_20220825 11,4309.21826171875
1_20220825 12,4332.8955078125
1_20220825 13,4276.29833984375
1_20220825 14,4326.861328125
1_20220825 15,4026.51171875
1_20220825 16,3874.17041015625
1_20220825 17,3429.8623046875
1_20220825 18,2978.57763671875
1_20220825 19,2643.543701171875
1_20220825 20,2616.90673828125
1_20220825 21,2273.11083984375
1_20220825 22,1652.162353515625
1_20220825 23,1823.5318603515625
1_20220826 00,1724.240234375
1_20220826 01,1684.7611083984375
1_20220826 02,1648.4854736328125
1_20220826 03,1640.5316162109375
1_20220826 04,1639.56005859375
1_20220826 05,1619.1678466796875
1_20220826 06,1698.79345703125
1_20220826 07,2181.989501953125
1_20220826 08,2935.91796875
1_20220826 09,3583.138916015625
1_20220826 10,4274.1982421875
1_20220826 11,4481.5478515625
1_20220826 12,4507.3076171875
1_20220826 13,4537.36083984375
1_20220826 14,4530.41845703125
1_20220826 15,4515.625
1_20220826 16,4363.9765625
1_20220826 17,3873.9853515625
1_20220826 18,3506.7099609375
1_20220826 19,3061.17626953125
1_20220826 20,2923.5986328125
1_20220826 21,2441.82470703125
1_20220826 22,1840.845947265625
1_20220826 23,1842.21240234375
1_20220827 00,1782.793701171875
1_20220827 01,1889.3604736328125
1_20220827 02,1654.0018310546875
1_20220827 03,1653.3206787109375
1_20220827 04,1618.224853515625
1_20220827 05,1544.04248046875
1_20220827 06,1572.45458984375
1_20220827 07,2023.920654296875
1_20220827 08,2314.130615234375
1_20220827 09,2815.094482421875
1_20220827 10,3247.07861328125
1_20220827 11,3276.909912109375
1_20220827 12,3625.398193359375
1_20220827 13,3708.389892578125
1_20220827 14,3946.968017578125
1_20220827 15,3891.63232421875
1_20220827 16,3826.081298828125
1_20220827 17,3515.073486328125
1_20220827 18,3090.900634765625
1_20220827 19,2643.97412109375
1_20220827 20,2509.0546875
1_20220827 21,2197.373779296875
1_20220827 22,1674.8201904296875
1_20220827 23,1793.6263427734375
1_20220828 00,1464.7816162109375
1_20220828 01,1429.30029296875
1_20220828 02,1357.6246337890625
1_20220828 03,1369.4976806640625
1_20220828 04,1359.392822265625
1_20220828 05,1318.3521728515625
1_20220828 06,1352.482666015625
1_20220828 07,1811.31787109375
1_20220828 08,2044.79248046875
1_20220828 09,2557.92626953125
1_20220828 10,3004.914306640625
1_20220828 11,3231.46044921875
1_20220828 12,3371.767822265625
1_20220828 13,3439.7744140625
1_20220828 14,3439.7744140625
1_20220828 15,3479.48828125
1_20220828 16,3489.294921875
1_20220828 17,3410.247314453125
1_20220828 18,3061.91015625
1_20220828 19,2647.208740234375
1_20220828 20,2492.802001953125
1_20220828 21,2195.29150390625
1_20220828 22,1649.2640380859375
1_20220828 23,1777.821533203125
1_20220829 00,1846.0277099609375
1_20220829 01,1822.1673583984375
1_20220829 02,1829.3465576171875
1_20220829 03,1759.5245361328125
1_20220829 04,1735.1639404296875
1_20220829 05,1719.9132080078125
1_20220829 06,1775.944091796875
1_20220829 07,2228.01611328125
1_20220829 08,2799.627197265625
1_20220829 09,3389.438720703125
1_20220829 10,3828.9794921875
1_20220829 11,3982.857666015625
1_20220829 12,3949.691650390625
1_20220829 13,4091.56689453125
1_20220829 14,4061.646484375
1_20220829 15,4127.55615234375
1_20220829 16,3911.8466796875
1_20220829 17,3226.01220703125
1_20220829 18,2793.79443359375
1_20220829 19,2505.896484375
1_20220829 20,2468.92138671875
1_20220829 21,2136.30029296875
1_20220829 22,1634.408203125
1_20220829 23,1749.7066650390625
1_20220830 00,1795.23583984375
1_20220830 01,1791.2308349609375
1_20220830 02,1744.3109130859375
1_20220830 03,1645.947021484375
1_20220830 04,1642.7801513671875
1_20220830 05,1634.1451416015625
1_20220830 06,1710.4862060546875
1_20220830 07,2178.684326171875
1_20220830 08,2613.28662109375
1_20220830 09,3171.319091796875
1_20220830 10,3664.414794921875
1_20220830 11,3775.41064453125
1_20220830 12,3814.476318359375
1_20220830 13,3818.481201171875
1_20220830 14,3843.752685546875
1_20220830 15,3817.37158203125
1_20220830 16,3714.624755859375
1_20220830 17,3297.72705078125
1_20220830 18,2897.1005859375
1_20220830 19,2608.455810546875
1_20220830 20,2527.164794921875
1_20220830 21,2187.367431640625
1_20220830 22,1677.771484375
1_20220830 23,1804.422119140625
1_20220831 00,1687.8701171875
1_20220831 01,1683.8651123046875
1_20220831 02,1656.158447265625
1_20220831 03,1715.08447265625
1_20220831 04,1628.4849853515625
1_20220831 05,1662.0916748046875
1_20220831 06,1758.453369140625
1_20220831 07,2285.4287109375
1_20220831 08,2789.567138671875
1_20220831 09,3386.617431640625
1_20220831 10,4128.048828125
1_20220831 11,4386.2255859375
1_20220831 12,4508.91845703125
1_20220831 13,4525.5908203125
1_20220831 14,4516.126953125
1_20220831 15,4394.73388671875
1_20220831 16,4157.2607421875
1_20220831 17,3767.916015625
1_20220831 18,3211.98583984375
1_20220831 19,2910.880126953125
1_20220831 20,2614.142578125
1_20220831 21,2259.3837890625
1_20220831 22,1661.6669921875
1_20220831 23,1807.41162109375
2_20220825 00,1319.2076416015625
2_20220825 01,1261.2747802734375
2_20220825 02,1197.011962890625
2_20220825 03,1180.7869873046875
2_20220825 04,1177.6201171875
2_20220825 05,1209.384765625
2_20220825 06,1247.7698974609375
2_20220825 07,1451.146484375
2_20220825 08,1808.8699951171875
2_20220825 09,2221.551025390625
2_20220825 10,2344.002685546875
2_20220825 11,2399.851318359375
2_20220825 12,2450.80712890625
2_20220825 13,2469.099853515625
2_20220825 14,2445.6455078125
2_20220825 15,2265.30615234375
2_20220825 16,2329.284912109375
2_20220825 17,2410.050048828125
2_20220825 18,2292.62451171875
2_20220825 19,2065.5185546875
2_20220825 20,2019.62890625
2_20220825 21,1798.5177001953125
2_20220825 22,1290.041748046875
2_20220825 23,1371.05712890625
2_20220826 00,1237.7325439453125
2_20220826 01,1192.7513427734375
2_20220826 02,1172.186279296875
2_20220826 03,1164.91357421875
2_20220826 04,1166.089599609375
2_20220826 05,1173.3646240234375
2_20220826 06,1220.141845703125
2_20220826 07,1399.1571044921875
2_20220826 08,1804.4102783203125
2_20220826 09,2223.58837890625
2_20220826 10,2371.193603515625
2_20220826 11,2480.609130859375
2_20220826 12,2606.02587890625
2_20220826 13,2646.892822265625
2_20220826 14,2639.95068359375
2_20220826 15,2647.695068359375
2_20220826 16,2695.712646484375
2_20220826 17,2737.141845703125
2_20220826 18,2665.892822265625
2_20220826 19,2367.69921875
2_20220826 20,2259.52490234375
2_20220826 21,1920.6473388671875
2_20220826 22,1375.3409423828125
2_20220826 23,1409.7049560546875
2_20220827 00,1320.0028076171875
2_20220827 01,1341.394775390625
2_20220827 02,1202.741455078125
