num_date_time,answer
1_20220825 00,2147.808014526367
1_20220825 01,2174.399981689453
1_20220825 02,2022.4416149902345
1_20220825 03,1986.705614013672
1_20220825 04,1975.9776110839844
1_20220825 05,2009.6400146484375
1_20220825 06,2222.6831506347658
1_20220825 07,2553.350457763672
1_20220825 08,2930.6562060546876
1_20220825 09,3293.8296166992186
1_20220825 10,3926.0375927734376
1_20220825 11,4158.751220703125
1_20220825 12,4211.534387207032
1_20220825 13,4187.815229492187
1_20220825 14,4210.751970214844
1_20220825 15,3789.2160009765626
1_20220825 16,3757.3199865722654
1_20220825 17,3503.0832312011717
1_20220825 18,2789.841647949219
1_20220825 19,2553.772821044922
1_20220825 20,2296.946405029297
1_20220825 21,1921.4720971679687
1_20220825 22,1569.3551892089845
1_20220825 23,2022.8831860351563
1_20220826 00,2204.3712048339844
1_20220826 01,2057.55837890625
1_20220826 02,1915.0080072021485
1_20220826 03,1911.0288153076172
1_20220826 04,1855.1471948242188
1_20220826 05,2058.4992108154297
1_20220826 06,2129.363994140625
1_20220826 07,2342.0652197265626
1_20220826 08,2824.4969934082033
1_20220826 09,3305.4120166015623
1_20220826 10,3923.9351513671877
1_20220826 11,4217.90880859375
1_20220826 12,4220.448022460938
1_20220826 13,4364.448002929687
1_20220826 14,4307.001564941406
1_20220826 15,4292.505588378906
1_20220826 16,4178.421604003906
1_20220826 17,3574.627233886719
1_20220826 18,2789.7839990234374
1_20220826 19,2610.511213378906
1_20220826 20,2355.489600830078
1_20220826 21,1978.5359912109375
1_20220826 22,1441.4352087402344
1_20220826 23,2058.3407971191405
1_20220827 00,1819.7519830322265
1_20220827 01,1743.009585571289
1_20220827 02,1867.9463946533203
1_20220827 03,1706.8031939697266
1_20220827 04,1773.907183227539
1_20220827 05,1709.4144158935546
1_20220827 06,1856.2895825195312
1_20220827 07,1846.583992919922
1_20220827 08,2114.4821832275393
1_20220827 09,2652.747015991211
1_20220827 10,2893.7952319335936
1_20220827 11,3074.265622558594
1_20220827 12,3142.3008081054686
1_20220827 13,3261.4080053710936
1_20220827 14,3355.113604736328
1_20220827 15,3381.071990966797
1_20220827 16,3368.807989501953
1_20220827 17,3318.4223815917967
1_20220827 18,2821.689599609375
1_20220827 19,2556.1055993652344
1_20220827 20,2292.4343994140627
1_20220827 21,1845.6575964355468
1_20220827 22,1419.9696069335937
1_20220827 23,1924.9871960449218
1_20220828 00,1866.4535961914062
1_20220828 01,1840.3799829101563
1_20220828 02,1737.4752087402344
1_20220828 03,1685.2872045898437
1_20220828 04,1666.6055975341797
1_20220828 05,1717.6991967773438
1_20220828 06,1843.0319873046874
1_20220828 07,1824.2783923339844
1_20220828 08,2182.8797747802732
1_20220828 09,2607.5310150146483
1_20220828 10,2968.958427734375
1_20220828 11,3316.480836181641
1_20220828 12,3440.632790527344
1_20220828 13,3494.090382080078
1_20220828 14,3485.579998779297
1_20220828 15,3434.733594970703
1_20220828 16,3491.241600341797
1_20220828 17,3423.926387939453
1_20220828 18,3005.4479992675783
1_20220828 19,2671.7687805175783
1_20220828 20,2424.3504162597656
1_20220828 21,1919.8080017089844
1_20220828 22,1464.2448071289064
1_20220828 23,2117.1984118652344
1_20220829 00,2242.0752209472657
1_20220829 01,2106.2399713134764
1_20220829 02,1937.4192095947265
1_20220829 03,1977.0144116210938
1_20220829 04,1989.9552099609375
1_20220829 05,2108.5440045166015
1_20220829 06,2290.799953613281
1_20220829 07,2465.2632092285157
1_20220829 08,2716.848004150391
1_20220829 09,3156.190791015625
1_20220829 10,3597.182413330078
1_20220829 11,3881.976005859375
1_20220829 12,3878.7405102539065
1_20220829 13,4046.5968298339844
1_20220829 14,3984.019188232422
1_20220829 15,3900.7151904296875
1_20220829 16,3762.5255920410154
1_20220829 17,3294.4512133789062
1_20220829 18,2698.8816357421874
1_20220829 19,2543.6088330078123
1_20220829 20,2292.972001953125
1_20220829 21,1861.089288330078
1_20220829 22,1467.696005859375
1_20220829 23,1955.4335900878907
1_20220830 00,2108.0208056640627
1_20220830 01,2070.345573730469
1_20220830 02,1924.0488067626952
1_20220830 03,1829.51041015625
1_20220830 04,1814.7503955078125
1_20220830 05,1919.8367993164063
1_20220830 06,2086.432760009766
1_20220830 07,2403.589210205078
1_20220830 08,2755.2359912109373
1_20220830 09,3132.9992822265626
1_20220830 10,3597.972021484375
1_20220830 11,3785.798449707031
1_20220830 12,3815.2944140625
1_20220830 13,3770.5557409667967
1_20220830 14,3744.3717138671873
1_20220830 15,3641.7329956054687
1_20220830 16,3519.2802001953123
1_20220830 17,3283.060207519531
1_20220830 18,2685.520822753906
1_20220830 19,2609.4672265625
1_20220830 20,2334.174921875
1_20220830 21,1839.329384765625
1_20220830 22,1492.0223901367187
1_20220830 23,1879.017589111328
1_20220831 00,2142.367216796875
1_20220831 01,2025.6455871582032
1_20220831 02,1900.6752142333985
1_20220831 03,1867.3032104492188
1_20220831 04,1866.1872119140626
1_20220831 05,1979.9952136230468
1_20220831 06,2052.2303967285156
1_20220831 07,2324.9892126464842
1_20220831 08,2682.787203979492
1_20220831 09,3170.798409423828
1_20220831 10,3846.83759765625
1_20220831 11,3986.326837158203
1_20220831 12,4110.338391113281
1_20220831 13,4130.856015625
1_20220831 14,4141.531201171875
1_20220831 15,4050.263986816406
1_20220831 16,3991.8047900390625
1_20220831 17,3514.4832202148436
1_20220831 18,2678.3760314941405
1_20220831 19,2607.362434082031
1_20220831 20,2341.440017089844
1_20220831 21,1885.5245922851564
1_20220831 22,1563.9647912597657
1_20220831 23,2071.603200683594
2_20220825 00,1293.2279821777345
2_20220825 01,1292.3027783203124
2_20220825 02,1284.4512048339843
2_20220825 03,1267.272000732422
2_20220825 04,1253.6279895019532
2_20220825 05,1259.5608013916017
2_20220825 06,1283.5716070556641
2_20220825 07,1205.096400756836
2_20220825 08,1799.5449011230469
2_20220825 09,2017.0775744628907
2_20220825 10,2185.9392077636717
2_20220825 11,2180.4756066894533
2_20220825 12,2212.497626953125
2_20220825 13,2266.483214111328
2_20220825 14,2257.594805908203
2_20220825 15,2053.6332043457032
2_20220825 16,2114.7899920654295
2_20220825 17,2172.136798706055
2_20220825 18,2192.9459985351564
2_20220825 19,2028.6128881835937
2_20220825 20,1718.2893200683593
2_20220825 21,1523.8197137451173
2_20220825 22,1027.9239031982422
2_20220825 23,1318.0247979736328
2_20220826 00,1288.472373046875
2_20220826 01,1286.417978515625
2_20220826 02,1272.4751965332032
2_20220826 03,1255.3283947753907
2_20220826 04,1257.1319812011718
2_20220826 05,1240.186801147461
2_20220826 06,1167.2748065185547
2_20220826 07,1200.4686102294922
2_20220826 08,1808.223603515625
2_20220826 09,2035.208084716797
2_20220826 10,2172.8939965820314
2_20220826 11,2126.597409667969
2_20220826 12,2087.971199951172
2_20220826 13,2129.144401855469
2_20220826 14,2132.463582763672
2_20220826 15,2153.1011962890625
2_20220826 16,2152.3511987304687
2_20220826 17,2003.062801513672
2_20220826 18,1940.780712890625
2_20220826 19,1758.4631829833984
2_20220826 20,1728.2052136230468
2_20220826 21,1521.1140087890626
2_20220826 22,995.572802734375
2_20220826 23,1308.8628100585938
2_20220827 00,1311.0119934082031
2_20220827 01,1318.2515930175782
2_20220827 02,1275.6935919189452
2_20220827 03,1274.8211993408204
2_20220827 04,1177.190385131836
2_20220827 05,1169.580584716797
2_20220827 06,1025.9249975585938
2_20220827 07,1043.275188598633
2_20220827 08,1506.4698040771484
2_20220827 09,1726.4009979248046
2_20220827 10,1899.0218963623047
2_20220827 11,1898.5275036621094
2_20220827 12,2054.159998779297
2_20220827 13,2045.9232000732422
2_20220827 14,2100.3251940917967
2_20220827 15,2199.217194824219
2_20220827 16,2162.471996459961
2_20220827 17,2070.4260009765626
2_20220827 18,1828.196396484375
2_20220827 19,1696.2075079345702
2_20220827 20,1655.3292175292968
2_20220827 21,1375.6917138671874
2_20220827 22,999.2447943115235
2_20220827 23,1228.3704125976562
2_20220828 00,1270.0523974609375
2_20220828 01,1257.4199896240234
2_20220828 02,1258.594208984375
2_20220828 03,1206.7325903320314
2_20220828 04,1165.1184033203126
2_20220828 05,1121.9855966186524
2_20220828 06,1061.8829959106445
2_20220828 07,1055.951986694336
2_20220828 08,1507.9662060546875
2_20220828 09,1801.7345977783202
2_20220828 10,2125.657801513672
2_20220828 11,2205.562803955078
2_20220828 12,2247.405900268555
2_20220828 13,2239.3602032470703
2_20220828 14,2234.7984088134767
2_20220828 15,2263.2834051513673
2_20220828 16,2278.3818072509766
2_20220828 17,2203.1994061279297
2_20220828 18,2005.718388671875
2_20220828 19,1882.5120001220703
2_20220828 20,1542.8793157958985
2_20220828 21,1419.0216168212892
2_20220828 22,932.625601196289
2_20220828 23,1337.6160205078124
2_20220829 00,1289.145576171875
2_20220829 01,1286.827177734375
2_20220829 02,1275.112801513672
2_20220829 03,1259.334002685547
2_20220829 04,1240.822777709961
2_20220829 05,1245.4319812011718
2_20220829 06,1270.0344036865235
2_20220829 07,1225.8696044921876
2_20220829 08,1647.0956951904298
2_20220829 09,1977.1400744628907
2_20220829 10,2099.139300537109
2_20220829 11,2132.8395056152344
2_20220829 12,2115.519317626953
2_20220829 13,2207.0508166503905
2_20220829 14,2192.628002319336
2_20220829 15,2209.7004162597655
2_20220829 16,2187.2531921386717
2_20220829 17,2099.9867919921876
2_20220829 18,2033.330399169922
2_20220829 19,1979.2679858398437
2_20220829 20,1692.0993139648438
2_20220829 21,1456.3989221191407
2_20220829 22,939.2436114501953
2_20220829 23,1260.8532165527345
2_20220830 00,1275.0779870605468
2_20220830 01,1274.5307788085938
2_20220830 02,1259.6303979492188
2_20220830 03,1244.5403820800782
2_20220830 04,1222.0667779541016
2_20220830 05,1135.775399169922
2_20220830 06,1076.8500006103516
2_20220830 07,1113.1617059326172
2_20220830 08,1632.6200915527343
2_20220830 09,1983.9593762207032
2_20220830 10,2032.634697265625
2_20220830 11,2071.7624993896484
2_20220830 12,2090.5658978271485
2_20220830 13,2138.976905517578
2_20220830 14,2165.692504272461
2_20220830 15,2202.230695800781
2_20220830 16,2187.0962915039063
2_20220830 17,2122.2062915039064
2_20220830 18,2213.0856213378906
2_20220830 19,2024.6156787109376
2_20220830 20,1783.6425134277345
2_20220830 21,1567.3482122802734
2_20220830 22,1095.5663916015626
2_20220830 23,1316.555986328125
2_20220831 00,1269.5135821533204
2_20220831 01,1270.0967797851563
2_20220831 02,1260.322798461914
2_20220831 03,1239.3347845458984
2_20220831 04,1251.1499932861327
2_20220831 05,1225.3668115234375
2_20220831 06,1222.5072137451173
2_20220831 07,1206.201607055664
2_20220831 08,1657.2614923095703
2_20220831 09,1998.8750744628906
2_20220831 10,2110.2111096191406
2_20220831 11,2164.6655883789062
2_20220831 12,2180.9747985839845
2_20220831 13,2186.956806640625
