num_date_time,answer
1_20220825 00,2198.6352355957033
1_20220825 01,2238.3023583984377
1_20220825 02,2079.571220703125
1_20220825 03,1968.7776184082031
1_20220825 04,1973.7119934082032
1_20220825 05,2156.2703564453127
1_20220825 06,2449.0847021484374
1_20220825 07,2810.9760546875
1_20220825 08,2873.039989013672
1_20220825 09,3318.518359375
1_20220825 10,3985.363212890625
1_20220825 11,4234.857631835937
1_20220825 12,4288.963208007813
1_20220825 13,4270.742485351562
1_20220825 14,4197.551916503906
1_20220825 15,3919.19517578125
1_20220825 16,3700.1280102539063
1_20220825 17,2970.105642089844
1_20220825 18,2684.4576611328125
1_20220825 19,2485.315261230469
1_20220825 20,2318.7120166015625
1_20220825 21,1808.4767846679688
1_20220825 22,1520.135968017578
1_20220825 23,2210.9136059570315
1_20220826 00,2261.8751953125
1_20220826 01,2168.3951007080077
1_20220826 02,2030.3568267822266
1_20220826 03,1932.8928015136719
1_20220826 04,1958.0159875488282
1_20220826 05,2128.49755859375
1_20220826 06,2380.8431103515627
1_20220826 07,2681.9616320800783
1_20220826 08,2819.563210449219
1_20220826 09,3292.564765625
1_20220826 10,3989.659208984375
1_20220826 11,4205.332858886719
1_20220826 12,4249.593645019531
1_20220826 13,4371.412939453125
1_20220826 14,4253.457573242187
1_20220826 15,4394.980825195313
1_20220826 16,4218.290393066406
1_20220826 17,3194.5320336914065
1_20220826 18,2623.1328247070314
1_20220826 19,2529.652868652344
1_20220826 20,2230.2863757324217
1_20220826 21,1799.7071899414063
1_20220826 22,1447.4759606933594
1_20220826 23,1938.8544287109376
1_20220827 00,1965.633612060547
1_20220827 01,1901.25119140625
1_20220827 02,1776.6719873046875
1_20220827 03,1771.6944165039063
1_20220827 04,1707.0624163818359
1_20220827 05,1797.4415826416016
1_20220827 06,1791.3023474121094
1_20220827 07,1882.46880859375
1_20220827 08,2351.8031762695314
1_20220827 09,2462.011174316406
1_20220827 10,2985.9600390625
1_20220827 11,3212.0784765625
1_20220827 12,3180.2352124023437
1_20220827 13,3179.4720288085937
1_20220827 14,3164.6783923339844
1_20220827 15,3251.3328295898436
1_20220827 16,3322.1472485351565
1_20220827 17,3229.0992126464844
1_20220827 18,2455.291220703125
1_20220827 19,2193.4080310058594
1_20220827 20,2000.6544067382813
1_20220827 21,1766.4624072265624
1_20220827 22,1417.0235906982423
1_20220827 23,2031.2928125
1_20220828 00,1905.993594970703
1_20220828 01,1840.4207666015625
1_20220828 02,1697.2127844238282
1_20220828 03,1666.5816137695313
1_20220828 04,1687.6800164794922
1_20220828 05,1799.6447790527343
1_20220828 06,1800.6431512451172
1_20220828 07,1879.5792114257813
1_20220828 08,2333.6591650390624
1_20220828 09,2463.4415893554688
1_20220828 10,3051.2352197265627
1_20220828 11,3293.745653076172
1_20220828 12,3294.230390625
1_20220828 13,3321.5184130859375
1_20220828 14,3375.979191894531
1_20220828 15,3513.2016333007814
1_20220828 16,3579.8928466796874
1_20220828 17,3500.625617675781
1_20220828 18,2733.902447509766
1_20220828 19,2357.361630859375
1_20220828 20,2182.0703930664063
1_20220828 21,1815.2928051757813
1_20220828 22,1413.9263977050782
1_20220828 23,2073.4224169921877
1_20220829 00,2257.007996826172
1_20220829 01,2191.823898925781
1_20220829 02,2066.7216284179685
1_20220829 03,1996.5696032714843
1_20220829 04,2000.1983874511718
1_20220829 05,2119.0319592285155
1_20220829 06,2390.5919091796877
1_20220829 07,2671.8192309570313
1_20220829 08,2765.0352221679686
1_20220829 09,3169.041533203125
1_20220829 10,3769.0512377929685
1_20220829 11,4001.3616259765627
1_20220829 12,4051.0223828125
1_20220829 13,4073.356845703125
1_20220829 14,4020.820729980469
1_20220829 15,3896.433576660156
1_20220829 16,3661.670412597656
1_20220829 17,2979.6384326171874
1_20220829 18,2465.6496337890626
1_20220829 19,2323.267244873047
1_20220829 20,2135.462380371094
1_20220829 21,1772.3327807617188
1_20220829 22,1510.1279650878905
1_20220829 23,2162.2896032714843
1_20220830 00,2170.742395019531
1_20220830 01,2110.0271057128907
1_20220830 02,1953.9888232421874
1_20220830 03,1885.867201538086
1_20220830 04,1880.6399890136718
1_20220830 05,2008.819158935547
1_20220830 06,2282.956716308594
1_20220830 07,2582.8272265625
1_20220830 08,2717.745588378906
1_20220830 09,3139.8815454101564
1_20220830 10,3764.212834472656
1_20220830 11,4008.9024291992187
1_20220830 12,4042.540791015625
1_20220830 13,4042.656044921875
1_20220830 14,3958.9247509765623
1_20220830 15,3806.231982421875
1_20220830 16,3556.550400390625
1_20220830 17,2951.688056640625
1_20220830 18,2430.19681640625
1_20220830 19,2281.248049316406
1_20220830 20,2077.7183862304687
1_20220830 21,1753.1855798339843
1_20220830 22,1504.9151635742187
1_20220830 23,2162.2896032714843
1_20220831 00,2178.9599938964843
1_20220831 01,2110.0271057128907
1_20220831 02,1964.5296240234375
1_20220831 03,1902.1824017333984
1_20220831 04,1936.7615881347656
1_20220831 05,2090.255960693359
1_20220831 06,2371.0943115234377
1_20220831 07,2658.528028564453
1_20220831 08,2775.6768188476562
1_20220831 09,3182.12154296875
1_20220831 10,3799.831228027344
1_20220831 11,4088.904033203125
1_20220831 12,4221.935993652343
1_20220831 13,4256.284851074219
1_20220831 14,4227.513513183594
1_20220831 15,4115.2031640625
1_20220831 16,3982.2431884765624
1_20220831 17,3171.777666015625
1_20220831 18,2607.08166015625
1_20220831 19,2387.6448608398437
1_20220831 20,2180.3040087890627
1_20220831 21,1809.763194580078
1_20220831 22,1519.1087670898437
1_20220831 23,2210.9136059570315
2_20220825 00,1309.1327734375
2_20220825 01,1308.67556640625
2_20220825 02,1308.7007666015625
2_20220825 03,1258.1676232910156
2_20220825 04,1244.3399475097656
2_20220825 05,1252.1519445800782
2_20220825 06,1309.993211669922
2_20220825 07,1242.1152282714843
2_20220825 08,2013.2052319335937
2_20220825 09,2285.1755297851564
2_20220825 10,2554.0283666992186
2_20220825 11,2334.6467602539065
2_20220825 12,2465.298017578125
2_20220825 13,2472.5376184082033
2_20220825 14,2263.3407006835937
2_20220825 15,2164.469432373047
2_20220825 16,2087.4941833496096
2_20220825 17,2020.9976953125
2_20220825 18,1976.4012255859375
2_20220825 19,1833.4511694335938
2_20220825 20,1693.8558355712892
2_20220825 21,1501.236036376953
2_20220825 22,874.3032147216796
2_20220825 23,1264.0248376464845
2_20220826 00,1276.7783825683593
2_20220826 01,1272.9839782714844
2_20220826 02,1256.806798095703
2_20220826 03,1236.140391845703
2_20220826 04,1237.1759497070314
2_20220826 05,1247.0723474121094
2_20220826 06,1302.9120104980468
2_20220826 07,1236.7368200683593
2_20220826 08,1874.2536291503907
2_20220826 09,2269.3103259277345
2_20220826 10,2568.4211633300783
2_20220826 11,2227.0139697265627
2_20220826 12,2426.2128356933595
2_20220826 13,2587.7556567382812
2_20220826 14,2298.301213378906
2_20220826 15,1997.7984094238282
2_20220826 16,2051.521192626953
2_20220826 17,2211.6888037109375
2_20220826 18,2059.128037109375
2_20220826 19,1859.1443676757813
2_20220826 20,1693.800048828125
2_20220826 21,1559.2968420410157
2_20220826 22,898.2060186767578
2_20220826 23,1348.9200439453125
2_20220827 00,1330.6332250976564
2_20220827 01,1322.66158203125
2_20220827 02,1291.0656433105469
2_20220827 03,1260.1559729003907
2_20220827 04,1238.8355749511718
2_20220827 05,1242.2567810058595
2_20220827 06,1063.7747998046875
2_20220827 07,1032.994790649414
2_20220827 08,1416.841216430664
2_20220827 09,1823.9327532958985
2_20220827 10,1987.356001586914
2_20220827 11,2080.817990112305
2_20220827 12,2350.7424517822265
2_20220827 13,2468.293260498047
2_20220827 14,2455.8597540283204
2_20220827 15,2500.543865966797
2_20220827 16,2501.789451904297
2_20220827 17,2498.543999633789
2_20220827 18,2298.003284301758
2_20220827 19,2135.086744995117
2_20220827 20,1901.75734375
2_20220827 21,1636.0248211669923
2_20220827 22,902.5427984619141
2_20220827 23,1316.7372314453125
2_20220828 00,1285.1556176757813
2_20220828 01,1267.2551867675782
2_20220828 02,1246.724422607422
2_20220828 03,1209.6515881347657
2_20220828 04,1119.831596069336
2_20220828 05,1149.6755743408203
2_20220828 06,1165.1363903808594
2_20220828 07,1119.3659936523438
2_20220828 08,1439.8704248046874
2_20220828 09,1859.0327520751953
2_20220828 10,2048.6568005371096
2_20220828 11,2179.6127850341795
2_20220828 12,2582.413260498047
2_20220828 13,2844.5472717285156
2_20220828 14,2816.235966796875
