num_date_time,answer
1_20220825 00,2042.7600170898438
1_20220825 01,2043.148779296875
1_20220825 02,1952.649620361328
1_20220825 03,1913.7312158203124
1_20220825 04,1930.5071948242187
1_20220825 05,2104.8671997070314
1_20220825 06,2295.791953125
1_20220825 07,2670.8784375
1_20220825 08,2897.2944091796876
1_20220825 09,3336.6335791015626
1_20220825 10,3930.225576171875
1_20220825 11,4189.900808105469
1_20220825 12,4297.514418945312
1_20220825 13,4325.044836425781
1_20220825 14,4286.0207421875
1_20220825 15,3783.695966796875
1_20220825 16,3700.1376025390623
1_20220825 17,3250.0608349609374
1_20220825 18,2768.6688635253904
1_20220825 19,2607.547225341797
1_20220825 20,2352.9792224121093
1_20220825 21,1839.633592529297
1_20220825 22,1596.6815893554688
1_20220825 23,2108.851184082031
1_20220826 00,2115.5039916992187
1_20220826 01,2097.763173828125
1_20220826 02,1937.73599609375
1_20220826 03,1915.0128009033203
1_20220826 04,1896.6455926513672
1_20220826 05,2080.161599121094
1_20220826 06,2224.7807580566405
1_20220826 07,2526.6360205078126
1_20220826 08,2793.4320361328123
1_20220826 09,3265.463977050781
1_20220826 10,3906.8399853515625
1_20220826 11,4203.849614257812
1_20220826 12,4207.147260742187
1_20220826 13,4334.793635253906
1_20220826 14,4261.466384277343
1_20220826 15,4161.811201171875
1_20220826 16,4002.7248120117188
1_20220826 17,3295.2720556640625
1_20220826 18,2626.6992114257814
1_20220826 19,2538.8928491210936
1_20220826 20,2290.987178955078
1_20220826 21,1826.1407983398437
1_20220826 22,1476.2591821289063
1_20220826 23,2104.4687951660158
1_20220827 00,1887.8064025878907
1_20220827 01,1815.4031921386718
1_20220827 02,1719.8736096191406
1_20220827 03,1693.526410522461
1_20220827 04,1699.2192083740235
1_20220827 05,1799.5968109130858
1_20220827 06,2025.753564453125
1_20220827 07,2137.3008227539062
1_20220827 08,2261.875222167969
1_20220827 09,2549.275245361328
1_20220827 10,2918.4384252929685
1_20220827 11,2993.515234375
1_20220827 12,3019.6608154296873
1_20220827 13,3033.3312170410154
1_20220827 14,3007.094412841797
1_20220827 15,3045.8688134765625
1_20220827 16,3131.4144189453127
1_20220827 17,3052.8432080078123
1_20220827 18,2606.4480358886717
1_20220827 19,2465.1888037109375
1_20220827 20,2287.2192065429685
1_20220827 21,1798.8144006347657
1_20220827 22,1482.2352014160156
1_20220827 23,1991.5727856445312
1_20220828 00,1794.2879895019532
1_20220828 01,1748.1167700195313
1_20220828 02,1594.5048126220704
1_20220828 03,1547.2176025390625
1_20220828 04,1541.8271948242189
1_20220828 05,1675.6536102294922
1_20220828 06,1807.9775701904298
1_20220828 07,1811.1791967773438
1_20220828 08,1790.4311877441405
1_20220828 09,2161.562420654297
1_20220828 10,2642.596824951172
1_20220828 11,2754.192004394531
1_20220828 12,2915.6447790527345
1_20220828 13,2960.8559985351562
1_20220828 14,2968.963193359375
1_20220828 15,2996.232001953125
1_20220828 16,3105.009599609375
1_20220828 17,3162.830397949219
1_20220828 18,2631.868820800781
1_20220828 19,2500.790417480469
1_20220828 20,2262.6431982421873
1_20220828 21,1856.4143969726563
1_20220828 22,1528.948817138672
1_20220828 23,2063.6640051269533
1_20220829 00,2111.596798095703
1_20220829 01,2126.8799792480468
1_20220829 02,2020.3776245117188
1_20220829 03,1978.5888146972657
1_20220829 04,1990.3488061523437
1_20220829 05,2144.92322265625
1_20220829 06,2315.5775427246094
1_20220829 07,2366.7360205078126
1_20220829 08,2652.9024291992187
1_20220829 09,3081.1655615234376
1_20220829 10,3736.7184252929687
1_20220829 11,3902.527216796875
1_20220829 12,3935.599211425781
1_20220829 13,3951.7632250976562
1_20220829 14,3903.3815966796874
1_20220829 15,3718.550388183594
1_20220829 16,3555.9264111328125
1_20220829 17,3086.016042480469
1_20220829 18,2633.8464404296874
1_20220829 19,2513.6784460449217
1_20220829 20,2326.4832189941408
1_20220829 21,1808.3807934570314
1_20220829 22,1551.6720068359375
1_20220829 23,2042.716785888672
1_20220830 00,1994.6591931152343
1_20220830 01,2009.9375720214844
1_20220830 02,1904.4576196289063
1_20220830 03,1828.5816107177734
1_20220830 04,1826.6640032958985
1_20220830 05,1992.4032165527344
1_20220830 06,2059.843182373047
1_20220830 07,2306.9304235839845
1_20220830 08,2612.335166015625
1_20220830 09,3016.163974609375
1_20220830 10,3710.3736352539063
1_20220830 11,3883.8672216796876
1_20220830 12,3912.9768139648436
1_20220830 13,3921.6552294921876
1_20220830 14,3856.3800219726563
1_20220830 15,3610.2479833984376
1_20220830 16,3454.9824145507814
1_20220830 17,3146.179235839844
1_20220830 18,2628.292841796875
1_20220830 19,2526.2064379882813
1_20220830 20,2385.3936279296877
1_20220830 21,1790.4815881347656
1_20220830 22,1590.3215893554689
1_20220830 23,2110.3439953613283
1_20220831 00,2049.7247924804688
1_20220831 01,2054.4911645507814
1_20220831 02,1920.8712170410156
1_20220831 03,1888.8144134521485
1_20220831 04,1883.9544018554689
1_20220831 05,2052.062420654297
1_20220831 06,2139.211184082031
1_20220831 07,2366.5344274902345
1_20220831 08,2676.062429199219
1_20220831 09,3100.031943359375
1_20220831 10,3765.2256127929686
1_20220831 11,3983.7864233398436
1_20220831 12,4080.297626953125
1_20220831 13,4191.967231445313
1_20220831 14,4167.419982910156
1_20220831 15,4030.427978515625
1_20220831 16,3968.023203125
1_20220831 17,3348.0576416015624
1_20220831 18,2712.806435546875
1_20220831 19,2603.3328271484374
1_20220831 20,2355.32642578125
1_20220831 21,1835.3855969238282
1_20220831 22,1557.9167834472655
1_20220831 23,2027.7552014160156
2_20220825 00,1288.7291796875
2_20220825 01,1289.3723803710936
2_20220825 02,1277.650810546875
2_20220825 03,1264.389619140625
2_20220825 04,1253.0699780273437
2_20220825 05,1265.4791931152345
2_20220825 06,1300.0128082275392
2_20220825 07,1243.260009765625
2_20220825 08,1948.467615966797
2_20220825 09,2140.549162597656
2_20220825 10,2333.2679943847656
2_20220825 11,2312.1071984863283
2_20220825 12,2327.0940209960936
2_20220825 13,2309.882410888672
2_20220825 14,2315.851195068359
2_20220825 15,2134.6560009765626
2_20220825 16,2144.595596923828
