num_date_time,answer
1_20220825 00,2039.3669836425781
1_20220825 01,2053.324033203125
1_20220825 02,1998.1685961914063
1_20220825 03,1971.8753857421875
1_20220825 04,1985.8097985839843
1_20220825 05,2043.66705078125
1_20220825 06,2085.8097094726563
1_20220825 07,2615.9163012695312
1_20220825 08,2832.9863818359377
1_20220825 09,3286.1238989257813
1_20220825 10,3853.2431713867186
1_20220825 11,4265.015275878906
1_20220825 12,4262.088579101563
1_20220825 13,4332.418190917969
1_20220825 14,4213.014575195312
1_20220825 15,3740.384104003906
1_20220825 16,3677.7322045898436
1_20220825 17,3235.476994628906
1_20220825 18,2738.3532104492188
1_20220825 19,2669.9376025390625
1_20220825 20,2455.5587866210935
1_20220825 21,1973.7498095703124
1_20220825 22,1658.683823852539
1_20220825 23,2011.3061840820312
1_20220826 00,2133.4625695800783
1_20220826 01,2070.1809033203126
1_20220826 02,1996.042208251953
1_20220826 03,1977.468896484375
1_20220826 04,2005.075791015625
1_20220826 05,2016.1137194824219
1_20220826 06,2065.8995947265626
1_20220826 07,2403.786011962891
1_20220826 08,2687.9604028320314
1_20220826 09,3212.221809082031
1_20220826 10,3822.2987548828123
1_20220826 11,4181.644167480469
1_20220826 12,4150.846799316406
1_20220826 13,4301.788283691406
1_20220826 14,4110.9241015625
1_20220826 15,4173.50041015625
1_20220826 16,4111.345788574219
1_20220826 17,3274.7411987304686
1_20220826 18,2669.8415844726565
1_20220826 19,2655.1691796875
1_20220826 20,2397.0744079589845
1_20220826 21,1985.2437060546874
1_20220826 22,1544.340906982422
1_20220826 23,1807.3026013183594
1_20220827 00,2021.262442626953
1_20220827 01,1959.033289794922
1_20220827 02,1919.7887951660157
1_20220827 03,1708.9660595703126
1_20220827 04,1759.4940008544922
1_20220827 05,1904.4138049316407
1_20220827 06,2044.4379052734375
1_20220827 07,2087.6183947753907
1_20220827 08,2208.585555419922
1_20220827 09,2577.7332177734374
1_20220827 10,2895.7821069335937
1_20220827 11,3151.7777124023437
1_20220827 12,3151.094404296875
1_20220827 13,3312.611911621094
1_20220827 14,3289.9943896484374
1_20220827 15,3237.5866943359374
1_20220827 16,3474.8839721679688
1_20220827 17,3125.574592285156
1_20220827 18,2617.534794921875
1_20220827 19,2569.8012036132814
1_20220827 20,2267.61041015625
1_20220827 21,1962.9384033203125
1_20220827 22,1364.3079064941405
1_20220827 23,1794.7698059082031
1_20220828 00,1658.948399658203
1_20220828 01,1708.2357067871094
1_20220828 02,1535.3385034179687
1_20220828 03,1514.951708984375
1_20220828 04,1507.7529077148438
1_20220828 05,1600.5963018798827
1_20220828 06,1768.2227972412109
1_20220828 07,1888.0301989746094
1_20220828 08,1860.7295910644532
1_20220828 09,2226.0897326660156
1_20220828 10,2482.352412109375
1_20220828 11,2750.0112097167967
1_20220828 12,2922.278410644531
1_20220828 13,3226.0282177734375
1_20220828 14,3226.1803955078126
1_20220828 15,3211.769606933594
1_20220828 16,3334.2507861328127
1_20220828 17,3262.2550854492188
1_20220828 18,2745.7968017578123
1_20220828 19,2480.397614746094
1_20220828 20,2270.8103039550783
1_20220828 21,1989.961492919922
1_20220828 22,1542.6312109375
1_20220828 23,2035.4924560546874
1_20220829 00,2190.4010961914064
1_20220829 01,2155.7648937988283
1_20220829 02,2018.3790087890625
1_20220829 03,1983.3125964355468
1_20220829 04,1972.4121032714843
1_20220829 05,2031.3963110351563
1_20220829 06,2104.7378955078125
1_20220829 07,2485.1436169433596
1_20220829 08,2570.0567919921873
1_20220829 09,3061.6811865234376
1_20220829 10,3567.0210083007814
1_20220829 11,3767.411677246094
1_20220829 12,3774.1146826171876
1_20220829 13,3817.285383300781
1_20220829 14,3768.170771484375
1_20220829 15,3665.52470703125
1_20220829 16,3458.6803955078126
1_20220829 17,3044.40390625
1_20220829 18,2606.227204589844
1_20220829 19,2540.7851977539062
1_20220829 20,2396.3616040039065
1_20220829 21,1898.381993408203
1_20220829 22,1470.134994506836
1_20220829 23,2044.0727990722655
1_20220830 00,2073.742784423828
1_20220830 01,2040.7614038085937
1_20220830 02,1843.999208984375
1_20220830 03,1764.5106005859375
1_20220830 04,1725.8117944335938
1_20220830 05,1859.0982104492186
1_20220830 06,1961.7423022460937
1_20220830 07,2345.230792236328
1_20220830 08,2597.203195800781
1_20220830 09,2992.605373535156
1_20220830 10,3632.8967016601564
1_20220830 11,3686.2406884765624
1_20220830 12,3740.9428857421876
1_20220830 13,3774.349982910156
1_20220830 14,3709.5759814453127
1_20220830 15,3662.7544921875
1_20220830 16,3481.4589794921876
1_20220830 17,3158.7606176757813
1_20220830 18,2602.8108056640626
1_20220830 19,2471.449793701172
1_20220830 20,2383.9380139160157
1_20220830 21,1861.4697009277343
1_20220830 22,1633.170014038086
1_20220830 23,1964.2477368164064
1_20220831 00,2152.0319958496093
1_20220831 01,2023.2138146972657
1_20220831 02,2012.2917041015626
1_20220831 03,1968.0559399414062
1_20220831 04,1991.8843395996093
1_20220831 05,2074.190877685547
1_20220831 06,2068.6532995605467
1_20220831 07,2476.8012048339842
1_20220831 08,2609.6964025878906
1_20220831 09,3098.540393066406
1_20220831 10,3705.3941040039062
1_20220831 11,3970.1993774414063
1_20220831 12,4112.617292480469
1_20220831 13,4251.6237890625
1_20220831 14,4283.701799316406
1_20220831 15,3860.027102050781
1_20220831 16,3797.4190771484373
1_20220831 17,3290.766015625
1_20220831 18,2866.2636108398438
1_20220831 19,2659.7808056640624
1_20220831 20,2464.187985839844
1_20220831 21,1996.805118408203
1_20220831 22,1700.6424249267577
1_20220831 23,2013.7196899414062
2_20220825 00,1290.0881860351562
2_20220825 01,1288.418984375
2_20220825 02,1274.0784045410155
2_20220825 03,1274.566220703125
2_20220825 04,1245.3119763183595
2_20220825 05,1253.8169836425782
2_20220825 06,1258.7519860839843
2_20220825 07,1265.9442077636718
2_20220825 08,1892.3066955566405
2_20220825 09,2172.2915979003906
2_20220825 10,2279.031614990234
2_20220825 11,2146.58939453125
2_20220825 12,2247.700826416016
2_20220825 13,2182.4754150390627
2_20220825 14,2226.879020996094
2_20220825 15,2135.682313232422
2_20220825 16,2130.8868127441406
2_20220825 17,2154.665399169922
2_20220825 18,2020.940401611328
2_20220825 19,1952.754610595703
2_20220825 20,1793.2997839355469
2_20220825 21,1617.3825073242188
2_20220825 22,930.8855999755859
2_20220825 23,1287.7563006591797
2_20220826 00,1273.101007080078
2_20220826 01,1245.7361877441406
2_20220826 02,1229.7269958496095
2_20220826 03,1237.5588061523438
2_20220826 04,1221.1500061035156
2_20220826 05,1225.0176013183593
2_20220826 06,1255.060205078125
2_20220826 07,1190.3903997802734
2_20220826 08,1725.6857958984374
2_20220826 09,2084.488264160156
2_20220826 10,2178.4943786621093
2_20220826 11,2193.613093261719
2_20220826 12,2133.616181640625
2_20220826 13,2177.7084143066404
2_20220826 14,2228.660411376953
2_20220826 15,2237.421296386719
2_20220826 16,2247.1272106933593
2_20220826 17,2181.4707135009767
2_20220826 18,2138.9618957519533
2_20220826 19,1923.4449157714844
2_20220826 20,1744.5277514648437
2_20220826 21,1649.9339978027344
2_20220826 22,1009.654799194336
2_20220826 23,1311.280805053711
2_20220827 00,1324.9619958496094
2_20220827 01,1294.1465985107423
2_20220827 02,1262.318392944336
2_20220827 03,1253.3502038574218
2_20220827 04,1227.3381091308593
2_20220827 05,1219.393487548828
2_20220827 06,1039.3823944091796
2_20220827 07,1005.0726016235352
2_20220827 08,1464.3110961914062
2_20220827 09,1854.057598876953
2_20220827 10,1904.488505859375
2_20220827 11,1895.208603515625
2_20220827 12,1895.852696533203
2_20220827 13,2014.1598229980468
2_20220827 14,2285.701682128906
2_20220827 15,2280.119974365234
2_20220827 16,2332.928977050781
2_20220827 17,2175.7703924560547
2_20220827 18,2081.9562939453126
2_20220827 19,1935.6796459960938
2_20220827 20,1744.2563989257812
2_20220827 21,1418.3748052978515
2_20220827 22,843.9893920898437
2_20220827 23,1238.9969903564454
2_20220828 00,1249.7496044921875
2_20220828 01,1227.3152941894532
2_20220828 02,1170.0492120361328
2_20220828 03,1127.8836016845703
2_20220828 04,1098.835498046875
2_20220828 05,970.8719995117187
2_20220828 06,873.1583999633789
2_20220828 07,924.051597290039
2_20220828 08,1406.1502392578125
2_20220828 09,1732.4090979003906
2_20220828 10,1803.3429016113282
2_20220828 11,1855.0603479003905
2_20220828 12,2115.898249511719
2_20220828 13,2192.773798828125
2_20220828 14,2183.8151867675783
2_20220828 15,2236.3331860351564
2_20220828 16,2253.613175048828
2_20220828 17,2104.345506591797
2_20220828 18,1899.4237390136718
2_20220828 19,1589.6942956542969
2_20220828 20,1511.8166986083984
2_20220828 21,1303.2678973388672
2_20220828 22,839.6243930053711
2_20220828 23,1237.771195678711
2_20220829 00,1265.8650073242188
2_20220829 01,1259.328602294922
2_20220829 02,1251.257391357422
2_20220829 03,1250.6492993164063
2_20220829 04,1240.832098388672
2_20220829 05,1232.5613989257813
2_20220829 06,1247.8145950317382
2_20220829 07,1252.471202392578
2_20220829 08,1324.3169927978515
2_20220829 09,1386.1892944335937
2_20220829 10,1443.9518981933593
2_20220829 11,1417.7316931152343
2_20220829 12,1430.0830004882812
2_20220829 13,1481.7417028808593
2_20220829 14,1505.4729064941407
2_20220829 15,1580.7390020751952
2_20220829 16,1477.6823950195312
2_20220829 17,1427.0078918457032
2_20220829 18,1397.8888018798827
2_20220829 19,1379.176801147461
2_20220829 20,1354.7021020507811
2_20220829 21,1271.2926000976563
2_20220829 22,917.7635946655273
2_20220829 23,1244.4089935302734
2_20220830 00,1246.9919934082031
2_20220830 01,1248.2681896972656
2_20220830 02,1222.3229919433593
2_20220830 03,1219.381205444336
2_20220830 04,1186.8942132568359
2_20220830 05,981.0977984619141
2_20220830 06,828.440400390625
2_20220830 07,1031.6831887817382
2_20220830 08,1473.1173010253906
2_20220830 09,1919.6956506347656
2_20220830 10,2004.4830041503906
2_20220830 11,2030.7945080566406
2_20220830 12,2022.9229638671875
2_20220830 13,1995.0723046875
2_20220830 14,2023.6290051269532
2_20220830 15,2025.4284045410157
2_20220830 16,2054.6247595214845
2_20220830 17,2003.343018798828
2_20220830 18,1911.9073547363282
2_20220830 19,1755.4829943847656
