num_date_time,answer
1_20220825 00,2070.319489746094
1_20220825 01,2141.870714111328
1_20220825 02,1961.7468090820312
1_20220825 03,2020.1723986816405
1_20220825 04,2005.572001953125
1_20220825 05,2066.294705810547
1_20220825 06,2093.3615930175783
1_20220825 07,2577.073205566406
1_20220825 08,2985.7583935546877
1_20220825 09,3221.3188134765624
1_20220825 10,4097.447062988282
1_20220825 11,4231.623603515625
1_20220825 12,4316.806291503906
1_20220825 13,4261.155004882812
1_20220825 14,4260.863427734375
1_20220825 15,3883.4435986328126
1_20220825 16,3784.1431103515624
1_20220825 17,3284.497912597656
1_20220825 18,2833.76640625
1_20220825 19,2635.8527880859374
1_20220825 20,2501.522705078125
1_20220825 21,1944.1196887207032
1_20220825 22,1592.9180987548827
1_20220825 23,2088.1857080078125
1_20220826 00,2161.533607177734
1_20220826 01,2143.395
1_20220826 02,1940.832606201172
1_20220826 03,1947.116688232422
1_20220826 04,1976.7089904785157
1_20220826 05,1986.821102294922
1_20220826 06,2093.732392578125
1_20220826 07,2530.9464282226563
1_20220826 08,2908.809499511719
1_20220826 09,3182.8926196289062
1_20220826 10,4059.8690625
1_20220826 11,4272.636716308593
1_20220826 12,4255.810695800781
1_20220826 13,4319.481003417969
1_20220826 14,4196.2860180664065
1_20220826 15,4163.85603515625
1_20220826 16,4161.890056152344
1_20220826 17,3811.898171386719
1_20220826 18,2792.1540234375
1_20220826 19,2535.767995605469
1_20220826 20,2446.597216796875
1_20220826 21,1973.7896911621094
1_20220826 22,1588.7060900878905
1_20220826 23,2024.3624877929688
1_20220827 00,2088.369188232422
1_20220827 01,1988.1473999023438
1_20220827 02,2007.0699035644532
1_20220827 03,1874.6552905273438
1_20220827 04,1803.1739904785156
1_20220827 05,1883.7236926269532
1_20220827 06,2047.7969995117187
1_20220827 07,2154.849248046875
1_20220827 08,2383.0605810546876
1_20220827 09,2597.078388671875
1_20220827 10,3012.2862841796873
1_20220827 11,3158.1829028320312
1_20220827 12,3153.9805029296876
1_20220827 13,3181.156101074219
1_20220827 14,3135.4957080078125
1_20220827 15,3199.509108886719
1_20220827 16,3262.8825048828126
1_20220827 17,3083.7708032226565
1_20220827 18,2657.8632080078123
1_20220827 19,2445.4532373046877
1_20220827 20,2180.375998535156
1_20220827 21,1754.2061987304687
1_20220827 22,1522.2294018554687
1_20220827 23,1912.6847937011719
1_20220828 00,1741.0864501953124
1_20220828 01,1677.6536938476563
1_20220828 02,1563.2691174316406
1_20220828 03,1526.1401965332032
1_20220828 04,1560.9829504394531
1_20220828 05,1628.4209997558594
