num_date_time,answer
1_20220825 00,2128.7105883789063
1_20220825 01,2071.604099121094
1_20220825 02,2018.2275061035157
1_20220825 03,1887.6758959960937
1_20220825 04,1818.3857922363281
1_20220825 05,2134.388123779297
1_20220825 06,2393.7946057128906
1_20220825 07,2618.6556298828127
1_20220825 08,3030.9180029296876
1_20220825 09,3281.040302734375
1_20220825 10,4230.142065429687
1_20220825 11,4256.289799804687
1_20220825 12,4308.9756372070315
1_20220825 13,4321.313552246093
1_20220825 14,4275.100009765625
1_20220825 15,3980.0502807617186
1_20220825 16,3861.0236962890626
1_20220825 17,3207.215104980469
1_20220825 18,2754.128427734375
1_20220825 19,2627.19
1_20220825 20,2464.0128002929687
1_20220825 21,1867.6122009277344
1_20220825 22,1566.9999011230468
1_20220825 23,2151.4997875976565
1_20220826 00,2199.755982666016
1_20220826 01,2178.5076037597655
1_20220826 02,2045.8234521484376
1_20220826 03,1972.237801513672
1_20220826 04,1972.2503967285156
1_20220826 05,2188.5297204589842
1_20220826 06,2278.5083972167968
1_20220826 07,2668.688698730469
1_20220826 08,2867.708408203125
1_20220826 09,3242.2235888671876
1_20220826 10,4181.823681640625
1_20220826 11,4214.161755371094
1_20220826 12,4273.4549877929685
1_20220826 13,4310.024387207031
1_20220826 14,4253.208569335938
1_20220826 15,4233.913894042968
1_20220826 16,4117.251005859375
1_20220826 17,3499.65123046875
1_20220826 18,2673.7415991210937
1_20220826 19,2523.2208154296877
1_20220826 20,2262.3593933105467
1_20220826 21,1878.6213061523438
1_20220826 22,1482.9428784179688
1_20220826 23,2164.9332055664063
1_20220827 00,2170.259400634766
1_20220827 01,1863.8578503417968
1_20220827 02,1766.44048828125
1_20220827 03,1815.9048010253907
1_20220827 04,1803.0447021484374
1_20220827 05,1911.0317907714843
1_20220827 06,2238.895802001953
1_20220827 07,2322.0480041503906
1_20220827 08,2291.469611816406
1_20220827 09,2722.919267578125
1_20220827 10,2946.653916015625
1_20220827 11,3136.392014160156
1_20220827 12,3227.4747143554687
1_20220827 13,3247.2740087890625
1_20220827 14,3244.8012060546876
1_20220827 15,3198.0392993164064
1_20220827 16,3275.0603100585936
1_20220827 17,3206.1671118164063
1_20220827 18,2594.592021484375
1_20220827 19,2457.9487060546876
1_20220827 20,2285.046013183594
1_20220827 21,1814.2965051269532
1_20220827 22,1393.8420001220702
1_20220827 23,2067.949207763672
1_20220828 00,1778.0676037597657
1_20220828 01,1726.5565551757813
1_20220828 02,1568.5908068847657
1_20220828 03,1528.3115942382813
1_20220828 04,1544.0138952636719
1_20220828 05,1693.2244555664063
1_20220828 06,1810.137900390625
1_20220828 07,1832.5319982910157
1_20220828 08,1865.9703930664064
1_20220828 09,2113.235401611328
1_20220828 10,2639.465908203125
1_20220828 11,2740.47849609375
1_20220828 12,3022.0201977539064
1_20220828 13,3101.602145996094
1_20220828 14,3236.6344091796873
1_20220828 15,3299.12291015625
1_20220828 16,3300.2917944335936
1_20220828 17,3014.1419262695313
1_20220828 18,2723.9987939453126
1_20220828 19,2491.245594482422
1_20220828 20,2304.7380297851564
1_20220828 21,1884.8357971191406
1_20220828 22,1410.8259899902343
1_20220828 23,2154.1089001464843
1_20220829 00,2189.6285998535154
1_20220829 01,2165.2502966308593
1_20220829 02,2121.8352185058593
1_20220829 03,2021.3325158691407
1_20220829 04,2045.869815673828
1_20220829 05,2101.7364099121096
1_20220829 06,2310.0872998046875
1_20220829 07,2437.0548046875
1_20220829 08,2707.8395947265626
1_20220829 09,3027.0372216796877
1_20220829 10,3779.9534106445312
1_20220829 11,3917.849421386719
1_20220829 12,3885.227421875
1_20220829 13,3868.4682177734376
1_20220829 14,3844.1629077148436
1_20220829 15,3738.1404150390626
1_20220829 16,3730.983176269531
1_20220829 17,2968.0851245117187
1_20220829 18,2703.9516333007814
1_20220829 19,2502.0023828125
1_20220829 20,2351.6856079101562
1_20220829 21,1815.8364086914062
1_20220829 22,1412.6861059570313
1_20220829 23,2118.443996582031
1_20220830 00,2218.2035778808595
1_20220830 01,2009.6547021484375
1_20220830 02,1791.4126403808593
1_20220830 03,1811.1263928222656
1_20220830 04,1820.2019958496094
1_20220830 05,2118.352224121094
1_20220830 06,2266.5911975097656
1_20220830 07,2460.3912048339844
1_20220830 08,2704.8924145507813
1_20220830 09,3036.356611328125
1_20220830 10,3817.308994140625
1_20220830 11,3893.24951171875
1_20220830 12,3925.9561059570315
1_20220830 13,3944.4475048828126
1_20220830 14,3915.6947998046876
1_20220830 15,3733.152683105469
1_20220830 16,3621.279599609375
1_20220830 17,3032.9916162109375
