num_date_time,answer
1_20220825 00,1503.8495
1_20220825 01,1455.1979
1_20220825 02,1453.6313
1_20220825 03,1403.6263
1_20220825 04,1397.5823
1_20220825 05,1431.3916
1_20220825 06,1575.1985
1_20220825 07,1865.7712
1_20220825 08,2263.493
1_20220825 09,2807.8574
1_20220825 10,3042.1228
1_20220825 11,3068.2024
1_20220825 12,3066.296
1_20220825 13,3067.246
1_20220825 14,3067.246
1_20220825 15,2945.5383
1_20220825 16,3009.6995
1_20220825 17,2911.0469
1_20220825 18,2401.7415
1_20220825 19,2308.8782
1_20220825 20,2176.3782
1_20220825 21,1873.5249
1_20220825 22,1600.2025
1_20220825 23,1538.1078
1_20220826 00,1404.7305
1_20220826 01,1434.058
1_20220826 02,1434.058
1_20220826 03,1420.2838
1_20220826 04,1434.058
1_20220826 05,1412.0674
1_20220826 06,1526.5469
1_20220826 07,1803.0721
1_20220826 08,2151.8955
1_20220826 09,2738.6133
1_20220826 10,3106.2463
1_20220826 11,3348.2944
1_20220826 12,3529.467
1_20220826 13,3515.6929
1_20220826 14,3529.467
1_20220826 15,3529.467
1_20220826 16,3529.467
1_20220826 17,3409.319
1_20220826 18,2749.506
1_20220826 19,2514.6785
1_20220826 20,2293.5706
1_20220826 21,2003.8018
1_20220826 22,1776.7307
1_20220826 23,1665.8944
1_20220827 00,1521.8574
1_20220827 01,1534.0334
1_20220827 02,1452.3616
1_20220827 03,1452.3616
1_20220827 04,1452.3616
1_20220827 05,1423.423
1_20220827 06,1482.365
1_20220827 07,1728.6537
1_20220827 08,2036.2018
1_20220827 09,2414.0647
1_20220827 10,2708.7097
1_20220827 11,2708.7097
1_20220827 12,2708.7097
1_20220827 13,2708.7097
1_20220827 14,2913.1128
1_20220827 15,2913.1128
1_20220827 16,2913.1128
1_20220827 17,2757.5164
1_20220827 18,2605.6204
1_20220827 19,2322.1287
1_20220827 20,2210.9788
1_20220827 21,1992.4152
1_20220827 22,1775.264
1_20220827 23,1600.3799
1_20220828 00,1571.3248
1_20220828 01,1536.4474
1_20220828 02,1418.5588
1_20220828 03,1453.4363
1_20220828 04,1451.8698
1_20220828 05,1484.2509
1_20220828 06,1453.0374
1_20220828 07,1693.7762
1_20220828 08,2038.8746
1_20220828 09,2414.0647
1_20220828 10,2708.7097
1_20220828 11,2708.9614
1_20220828 12,2913.1128
1_20220828 13,2971.6077
1_20220828 14,3002.997
1_20220828 15,2977.3474
1_20220828 16,3078.8035
1_20220828 17,2870.0723
1_20220828 18,2695.505
1_20220828 19,2565.0393
1_20220828 20,2429.1562
1_20220828 21,2013.7533
1_20220828 22,1821.3965
1_20220828 23,1574.401
1_20220829 00,1518.1437
1_20220829 01,1518.1437
1_20220829 02,1448.9069
1_20220829 03,1525.2919
1_20220829 04,1518.1437
1_20220829 05,1544.8048
1_20220829 06,1590.0474
1_20220829 07,1863.8998
1_20220829 08,2151.8955
1_20220829 09,2684.0835
1_20220829 10,2955.6487
1_20220829 11,2955.6487
1_20220829 12,2955.6487
1_20220829 13,2941.8745
1_20220829 14,2958.1758
1_20220829 15,2995.9253
1_20220829 16,2953.056
1_20220829 17,2788.2742
1_20220829 18,2429.3772
1_20220829 19,2208.4849
1_20220829 20,2152.1187
1_20220829 21,1874.8337
1_20220829 22,1649.669
1_20220829 23,1581.8856
1_20220830 00,1448.9069
1_20220830 01,1448.9069
1_20220830 02,1446.234
1_20220830 03,1420.2838
1_20220830 04,1434.058
1_20220830 05,1460.719
1_20220830 06,1575.1985
1_20220830 07,1851.7238
1_20220830 08,2151.8955
1_20220830 09,2684.0835
1_20220830 10,2955.6487
1_20220830 11,2955.6487
1_20220830 12,2955.6487
1_20220830 13,2955.6487
1_20220830 14,2955.6487
1_20220830 15,2955.6487
1_20220830 16,2955.6487
1_20220830 17,2796.9224
1_20220830 18,2289.0737
1_20220830 19,2258.1423
1_20220830 20,2160.7668
1_20220830 21,1858.2911
1_20220830 22,1646.9005
1_20220830 23,1538.1078
1_20220831 00,1392.5544
1_20220831 01,1434.058
1_20220831 02,1385.4062
1_20220831 03,1385.4062
1_20220831 04,1385.4062
1_20220831 05,1412.0674
1_20220831 06,1533.6951
1_20220831 07,1803.0721
1_20220831 08,2110.3926
1_20220831 09,2621.9878
1_20220831 10,2886.4045
1_20220831 11,3062.0046
1_20220831 12,3064.6533
1_20220831 13,3069.7732
1_20220831 14,3111.3662
1_20220831 15,3103.5977
1_20220831 16,3075.971
1_20220831 17,3139.519
1_20220831 18,2593.767
1_20220831 19,2317.5325
1_20220831 20,2225.2766
1_20220831 21,1832.5155
1_20220831 22,1598.7429
1_20220831 23,1530.9596
2_20220825 00,1106.29
2_20220825 01,1038.2018
2_20220825 02,1050.843
2_20220825 03,1045.1064
2_20220825 04,1039.0625
2_20220825 05,1092.3085
2_20220825 06,1206.9567
2_20220825 07,1287.6608
2_20220825 08,1970.7878
2_20220825 09,2181.3044
2_20220825 10,2212.6753
2_20220825 11,2258.1921
2_20220825 12,2242.981
2_20220825 13,2285.1943
2_20220825 14,2285.1943
2_20220825 15,2007.4216
2_20220825 16,2207.7725
2_20220825 17,2362.9856
2_20220825 18,2172.4644
2_20220825 19,2079.6013
2_20220825 20,1759.5425
2_20220825 21,1412.5898
2_20220825 22,1137.0425
2_20220825 23,1107.9612
2_20220826 00,1065.6473
2_20220826 01,1111.4161
2_20220826 02,1111.4161
2_20220826 03,1097.642
2_20220826 04,1111.4161
2_20220826 05,1069.989
2_20220826 06,1138.8684
2_20220826 07,1224.9617
2_20220826 08,1863.3589
2_20220826 09,2092.6235
2_20220826 10,2292.5317
2_20220826 11,2353.0417
2_20220826 12,2357.9382
2_20220826 13,2344.164
2_20220826 14,2357.9382
2_20220826 15,2357.9382
2_20220826 16,2357.9382
2_20220826 17,2447.8984
2_20220826 18,2332.5981
2_20220826 19,2159.7551
2_20220826 20,1850.7395
2_20220826 21,1516.8711
2_20220826 22,1307.0117
2_20220826 23,1231.5782
2_20220827 00,1181.724
2_20220827 01,1177.4586
2_20220827 02,1152.7924
2_20220827 03,1152.7924
2_20220827 04,1152.7924
2_20220827 05,1104.4172
2_20220827 06,1123.6932
2_20220827 07,1274.8478
2_20220827 08,1823.8226
2_20220827 09,1982.2599
2_20220827 10,2032.2554
2_20220827 11,2032.2554
2_20220827 12,2032.2554
2_20220827 13,2032.2554
2_20220827 14,2146.5806
2_20220827 15,2146.5806
2_20220827 16,2146.5806
2_20220827 17,2171.567
2_20220827 18,2170.1963
2_20220827 19,1976.782
2_20220827 20,1673.904
2_20220827 21,1457.3743
2_20220827 22,1257.4348
2_20220827 23,1228.8049
2_20220828 00,1103.1517
2_20220828 01,1048.8376
2_20220828 02,1065.1995
2_20220828 03,1119.5135
2_20220828 04,1132.1548
2_20220828 05,1168.2401
2_20220828 06,1077.9244
2_20220828 07,1220.5337
2_20220828 08,1808.5834
2_20220828 09,1982.2599
2_20220828 10,2032.2554
2_20220828 11,2008.9005
2_20220828 12,2146.5806
2_20220828 13,2183.2495
