num_date_time,answer
1_20220825 00,1991.376014404297
1_20220825 01,2018.8943969726563
1_20220825 02,1889.6112072753906
1_20220825 03,1893.7872094726563
1_20220825 04,1908.1871899414064
1_20220825 05,2071.7711889648435
1_20220825 06,2388.1391259765624
1_20220825 07,2608.574404296875
1_20220825 08,2954.0688208007814
1_20220825 09,3325.74236328125
1_20220825 10,3937.180778808594
1_20220825 11,4286.231997070313
1_20220825 12,4350.124819335938
1_20220825 13,4327.742431640625
1_20220825 14,4263.079150390625
1_20220825 15,3967.60794921875
1_20220825 16,3831.45603515625
1_20220825 17,3244.838449707031
1_20220825 18,2828.054473876953
1_20220825 19,2627.875222167969
1_20220825 20,2362.099228515625
1_20220825 21,1852.0703881835936
1_20220825 22,1630.2815759277344
1_20220825 23,2249.7695849609377
1_20220826 00,2123.0303979492187
1_20220826 01,2048.8655810546875
1_20220826 02,1907.8391845703125
1_20220826 03,1838.0303991699218
1_20220826 04,1841.035194091797
1_20220826 05,1982.3759973144531
1_20220826 06,2201.6879455566404
1_20220826 07,2302.0319946289064
1_20220826 08,2782.742395019531
1_20220826 09,3218.4863818359377
1_20220826 10,3912.0215698242187
1_20220826 11,4226.316013183594
1_20220826 12,4300.848037109375
1_20220826 13,4296.124865722656
1_20220826 14,4267.615187988281
1_20220826 15,4179.362326660156
1_20220826 16,4102.483208007812
1_20220826 17,3374.75044921875
1_20220826 18,2661.081613769531
1_20220826 19,2566.0224291992185
1_20220826 20,2284.2719775390624
1_20220826 21,1877.6255932617187
1_20220826 22,1508.0879931640625
1_20220826 23,2121.585598144531
1_20220827 00,1939.2479907226561
1_20220827 01,1912.276798095703
1_20220827 02,1867.5095935058594
1_20220827 03,1841.6016015625
1_20220827 04,1771.57439453125
1_20220827 05,1858.8240100097655
1_20220827 06,2107.439951171875
1_20220827 07,2123.121622314453
1_20220827 08,2345.6640112304685
1_20220827 09,2670.9216357421874
1_20220827 10,3234.052822265625
1_20220827 11,3435.9744384765627
1_20220827 12,3441.6720068359373
1_20220827 13,3464.4912158203124
1_20220827 14,3428.116796875
1_20220827 15,3367.665615234375
1_20220827 16,3412.9056225585937
1_20220827 17,3130.2384326171873
1_20220827 18,2707.4352514648435
1_20220827 19,2527.022413330078
1_20220827 20,2238.3744091796875
1_20220827 21,1765.560001220703
1_20220827 22,1421.3567938232422
1_20220827 23,1938.1871783447266
1_20220828 00,1764.2783825683593
1_20220828 01,1697.1335620117188
1_20220828 02,1564.2240124511718
1_20220828 03,1512.6359924316407
1_20220828 04,1511.6663897705077
1_20220828 05,1607.8920025634766
1_20220828 06,1763.486361694336
1_20220828 07,1565.5727868652343
1_20220828 08,1659.8880004882812
1_20220828 09,2171.5632067871093
1_20220828 10,2742.7776391601565
1_20220828 11,3000.215988769531
1_20220828 12,3090.1199755859375
1_20220828 13,3093.628791503906
1_20220828 14,3098.1888012695313
1_20220828 15,3073.4111938476562
1_20220828 16,3223.7663916015626
1_20220828 17,3178.2695825195315
1_20220828 18,2716.104013671875
1_20220828 19,2533.2336108398435
1_20220828 20,2331.5952160644533
