num_date_time,answer
1_20220825 00,1975.099208984375
1_20220825 01,1991.5440002441405
1_20220825 02,1879.800009765625
1_20220825 03,1862.9664050292968
1_20220825 04,1873.60798828125
1_20220825 05,2077.7951794433593
1_20220825 06,2361.7679248046875
1_20220825 07,2694.0912280273437
1_20220825 08,2959.8960205078124
1_20220825 09,3300.4031616210937
1_20220825 10,3968.3183862304686
1_20220825 11,4289.519992675781
1_20220825 12,4338.950415039062
1_20220825 13,4330.876826171875
1_20220825 14,4261.315151367187
1_20220825 15,3937.4687622070314
1_20220825 16,3826.93923828125
1_20220825 17,3285.0432446289065
1_20220825 18,2790.350478515625
1_20220825 19,2605.622412109375
1_20220825 20,2382.076834716797
1_20220825 21,1831.9583935546875
1_20220825 22,1644.0911804199218
1_20220825 23,2201.3279858398437
1_20220826 00,2123.1552111816404
1_20220826 01,2027.3807983398438
1_20220826 02,1868.656785888672
1_20220826 03,1845.580799560547
1_20220826 04,1838.755194091797
1_20220826 05,1969.3055938720704
1_20220826 06,2200.291153564453
1_20220826 07,2351.419197998047
1_20220826 08,2767.9680029296874
1_20220826 09,3224.2223852539064
1_20220826 10,3935.2799829101564
1_20220826 11,4264.084816894531
1_20220826 12,4270.384819335937
1_20220826 13,4359.048061523437
1_20220826 14,4309.202407226562
1_20220826 15,4197.993571777344
1_20220826 16,4108.022436523437
1_20220826 17,3427.7136474609374
1_20220826 18,2673.6432080078125
1_20220826 19,2552.0496240234374
1_20220826 20,2305.9055786132812
1_20220826 21,1887.4655895996093
1_20220826 22,1538.232000732422
1_20220826 23,2048.745583496094
1_20220827 00,1922.2703820800782
1_20220827 01,1911.17759765625
1_20220827 02,1892.4911877441407
1_20220827 03,1863.65759765625
1_20220827 04,1812.9551904296875
1_20220827 05,1920.1248052978515
1_20220827 06,2129.7887536621092
1_20220827 07,2157.364815673828
1_20220827 08,2307.859210205078
1_20220827 09,2690.822440185547
1_20220827 10,3188.6160327148436
1_20220827 11,3320.1696508789064
1_20220827 12,3306.350417480469
1_20220827 13,3316.574423828125
1_20220827 14,3328.4735986328124
1_20220827 15,3325.67041015625
1_20220827 16,3276.393624267578
1_20220827 17,3081.9216296386717
1_20220827 18,2628.8592553710937
1_20220827 19,2469.3455981445313
1_20220827 20,2264.5104162597654
1_20220827 21,1782.7344104003905
1_20220827 22,1450.1951953125
1_20220827 23,1880.3183801269531
1_20220828 00,1785.6335900878905
1_20220828 01,1722.0479705810546
1_20220828 02,1605.3744146728516
1_20220828 03,1553.9951934814453
1_20220828 04,1559.510396118164
1_20220828 05,1672.262396850586
1_20220828 06,1817.8607604980468
1_20220828 07,1593.9983862304687
1_20220828 08,1679.0544006347657
1_20220828 09,2111.4912268066405
1_20220828 10,2659.7760229492187
1_20220828 11,2857.655994873047
1_20220828 12,2944.401583251953
1_20220828 13,3043.699189453125
1_20220828 14,3057.9551953125
1_20220828 15,3027.8351904296874
1_20220828 16,3097.0655908203125
1_20220828 17,3149.5319750976564
1_20220828 18,2684.0880212402344
1_20220828 19,2524.012822265625
1_20220828 20,2374.2048193359374
1_20220828 21,1843.6752087402344
1_20220828 22,1682.8560363769532
1_20220828 23,2289.816036376953
1_20220829 00,2165.097596435547
1_20220829 01,2139.81599609375
1_20220829 02,2024.7792236328125
1_20220829 03,2006.0160131835937
1_20220829 04,2012.0112036132812
1_20220829 05,2118.7536437988283
1_20220829 06,2267.3951708984373
1_20220829 07,2252.990402832031
1_20220829 08,2674.3559985351562
1_20220829 09,3104.795986328125
1_20220829 10,3659.4792333984374
1_20220829 11,3847.8912329101563
1_20220829 12,3834.2808081054686
1_20220829 13,3875.788820800781
1_20220829 14,3852.667214355469
1_20220829 15,3762.859189453125
1_20220829 16,3646.5408349609374
1_20220829 17,3046.447235107422
1_20220829 18,2557.5072619628904
1_20220829 19,2406.9840307617187
1_20220829 20,2257.411217041016
1_20220829 21,1770.9983959960937
1_20220829 22,1519.1616149902343
1_20220829 23,1939.084775390625
1_20220830 00,1954.4112023925782
1_20220830 01,1918.219190673828
1_20220830 02,1805.1456115722656
1_20220830 03,1769.18640625
1_20220830 04,1764.1248010253905
1_20220830 05,1853.5632104492188
1_20220830 06,2070.599970703125
1_20220830 07,2259.170421142578
1_20220830 08,2663.4263720703125
1_20220830 09,3053.503193359375
1_20220830 10,3602.5176245117186
1_20220830 11,3803.9904467773435
1_20220830 12,3810.467998046875
1_20220830 13,3823.0536181640623
1_20220830 14,3742.69923828125
1_20220830 15,3599.863193359375
1_20220830 16,3449.244030761719
1_20220830 17,3002.0328393554687
1_20220830 18,2562.3744506835938
1_20220830 19,2415.830432128906
1_20220830 20,2277.134412841797
1_20220830 21,1798.9343896484374
1_20220830 22,1643.5248071289063
1_20220830 23,2133.4463940429687
1_20220831 00,2069.2080090332033
1_20220831 01,2023.372783203125
1_20220831 02,1900.3056140136719
1_20220831 03,1874.500809326172
1_20220831 04,1876.444794921875
1_20220831 05,1954.5792126464844
1_20220831 06,2218.3967578125
1_20220831 07,2354.4816259765626
1_20220831 08,2706.1584033203126
1_20220831 09,3098.4311645507814
1_20220831 10,3625.5336108398437
1_20220831 11,3907.161604003906
1_20220831 12,4037.8871997070314
1_20220831 13,4114.740007324219
1_20220831 14,4164.307170410157
1_20220831 15,4089.206396484375
1_20220831 16,3986.8272412109377
1_20220831 17,3340.1280346679687
1_20220831 18,2709.23525390625
1_20220831 19,2534.923225097656
1_20220831 20,2360.8608264160157
1_20220831 21,1789.3775952148437
1_20220831 22,1566.441572265625
1_20220831 23,2093.8848095703124
2_20220825 00,1291.2011950683593
2_20220825 01,1291.7195922851563
2_20220825 02,1275.5628125
2_20220825 03,1268.406016845703
2_20220825 04,1262.5883959960938
2_20220825 05,1276.0812097167968
2_20220825 06,1306.332003173828
2_20220825 07,1285.6211889648437
2_20220825 08,1936.4760131835938
2_20220825 09,2155.928382568359
2_20220825 10,2335.190401611328
2_20220825 11,2278.2635949707033
2_20220825 12,2279.31841796875
2_20220825 13,2268.2808227539062
2_20220825 14,2253.8088171386717
2_20220825 15,2216.689230957031
2_20220825 16,2180.6171948242186
2_20220825 17,2147.7707836914065
2_20220825 18,2068.3115966796877
2_20220825 19,1952.0495764160157
2_20220825 20,1841.8284155273439
2_20220825 21,1658.8656158447266
2_20220825 22,978.7500109863281
2_20220825 23,1311.454815673828
2_20220826 00,1281.0503942871094
2_20220826 01,1272.3815881347657
2_20220826 02,1265.0105969238282
2_20220826 03,1245.4895935058594
2_20220826 04,1231.6691925048829
2_20220826 05,1219.9104028320312
2_20220826 06,1214.1972064208985
2_20220826 07,1185.1487774658203
2_20220826 08,1745.6175061035156
2_20220826 09,2037.3587756347656
