iter	Passed	Remaining
0	58	58328
1	97	48826
2	145	48505
3	249	62186
4	288	57382
5	327	54287
6	355	50426
7	383	47547
8	415	45745
9	444	43982
10	472	42465
11	501	41252
12	531	40346
13	562	39591
14	601	39519
15	649	39945
16	695	40198
17	730	39872
18	757	39116
19	783	38385
20	806	37588
21	830	36915
22	852	36210
23	872	35476
24	893	34843
25	914	34254
26	935	33712
27	955	33181
28	976	32709
29	997	32239
30	1018	31851
31	1040	31471
32	1061	31095
33	1084	30821
34	1106	30513
35	1128	30217
36	1149	29921
37	1170	29631
38	1191	29360
39	1214	29152
40	1235	28900
41	1258	28696
42	1279	28465
43	1299	28234
44	1321	28048
45	1342	27833
46	1361	27607
47	1384	27451
48	1407	27311
49	1428	27148
50	1449	26965
51	1470	26810
52	1491	26652
53	1513	26507
54	1532	26336
55	1552	26173
56	1574	26042
57	1596	25923
58	1615	25770
59	1636	25646
60	1657	25509
61	1678	25391
62	1699	25278
63	1723	25200
64	1743	25082
65	1765	24983
66	1787	24890
67	1809	24805
68	1831	24712
69	1853	24628
70	1875	24544
71	1897	24456
72	1915	24322
73	1935	24223
74	1956	24125
75	1976	24035
76	1998	23956
77	2018	23861
78	2039	23775
79	2061	23702
80	2078	23579
81	2100	23517
82	2120	23430
83	2141	23356
84	2164	23295
85	2184	23218
86	2203	23127
87	2225	23060
88	2249	23021
89	2271	22962
90	2294	22916
91	2317	22876
92	2339	22819
93	2359	22740
94	2381	22686
95	2405	22653
96	2430	22625
97	2453	22580
98	2476	22538
99	2497	22478
100	2518	22415
101	2541	22377
102	2563	22326
103	2586	22285
104	2610	22253
105	2630	22189
106	2654	22150
107	2675	22100
108	2698	22058
109	2720	22013
110	2743	21972
111	2765	21926
112	2786	21868
113	2808	21827
114	2830	21784
115	2856	21764
116	2882	21757
117	2910	21758
118	2936	21736
119	2958	21697
120	2980	21654
121	3004	21621
122	3025	21568
123	3048	21534
124	3072	21510
125	3091	21442
126	3111	21389
127	3130	21324
128	3149	21266
129	3169	21208
130	3191	21169
