building_number,min_consumption
1,1085.28
1,1047.36
1,974.88
1,953.76
1,986.4
1,1087.2
1,1314.72
1,1684.8
1,1976.16
1,2289.12
1,2683.2
1,2730.72
1,2665.92
1,2628.0
1,2630.4
1,2548.32
1,2490.72
1,2273.76
1,1972.32
1,1871.52
1,1753.92
1,1454.4
1,1175.52
1,1105.44
1,1161.6
1,1091.52
1,1002.72
1,972.0
1,1015.2
1,1130.4
1,1434.24
1,1835.04
1,2371.44
1,2661.36
1,3210.48
1,3342.96
1,3314.4
1,3366.24
1,3399.84
1,3386.4
1,3251.52
1,2606.4
1,2339.04
1,2245.92
1,1998.72
1,1691.04
1,1338.72
1,1188.0
1,1108.32
1,1062.24
1,997.44
1,964.32
1,1003.2
1,1134.72
1,1348.32
1,1693.92
1,2049.6
1,2269.44
1,2351.04
1,2349.6
1,2255.04
1,2260.8
1,2280.0
1,2217.6
1,2547.36
1,2339.52
1,2032.8
1,1950.24
1,1826.4
1,1531.2
1,1218.72
1,1148.64
1,1034.4
1,933.6
1,871.68
1,850.08
1,888.0
1,997.92
1,1296.0
1,1739.04
1,2380.8
1,2664.96
1,3127.68
1,3149.76
1,3253.44
1,3301.92
1,3206.4
1,3186.72
1,3093.12
1,2410.56
1,2277.6
1,2155.68
1,1976.16
1,1681.44
1,1331.52
1,1232.16
1,1089.12
1,1014.72
1,923.04
1,912.0
1,938.88
1,1038.72
1,1264.32
1,1647.36
1,2148.96
1,2449.44
1,2901.6
1,3025.44
1,3092.64
1,3162.24
1,3177.12
1,3153.6
1,3035.52
1,2726.4
1,2315.04
1,2229.6
1,2069.76
1,1733.76
1,1256.64
1,1039.68
1,1064.64
1,1014.24
1,934.56
1,924.48
1,960.48
1,1080.48
1,1375.2
1,1824.0
1,2353.92
1,2614.08
1,2997.12
1,3127.2
1,3134.4
1,3254.4
1,3156.96
1,3068.16
1,2991.36
1,2449.44
1,2181.6
1,2114.4
1,2001.12
1,1668.0
1,1380.48
1,1216.8
1,1161.6
1,1091.52
1,1002.72
1,972.0
1,1015.2
1,1130.4
1,1434.24
1,1835.04
1,2371.44
1,2661.36
1,3210.48
1,3342.96
1,3314.4
1,3366.24
1,3399.84
1,3386.4
1,3251.52
1,2606.4
1,2339.04
1,2245.92
1,1998.72
1,1691.04
1,1338.72
1,1188.0
1,903.84
1,856.8
1,790.56
1,773.76
1,794.4
1,904.8
1,1054.08
1,1197.6
1,1411.68
1,1814.4
1,2085.6
1,2493.6
1,2582.4
1,2605.44
1,2569.44
1,2540.16
1,2466.72
1,2114.4
1,2149.92
1,2119.2
1,1976.64
1,1679.52
1,1347.36
1,1199.52
1,1085.28
1,1047.36
1,974.88
1,953.76
1,986.4
1,1087.2
1,1314.72
1,1684.8
1,1976.16
1,2289.12
1,2683.2
1,2730.72
1,2665.92
1,2628.0
1,2630.4
1,2548.32
1,2490.72
1,2273.76
1,1972.32
1,1871.52
1,1753.92
1,1454.4
1,1175.52
1,1105.44
1,1089.12
1,1014.72
1,923.04
1,912.0
1,938.88
1,1038.72
1,1264.32
1,1647.36
1,2148.96
1,2449.44
1,2901.6
1,3025.44
1,3092.64
1,3162.24
1,3177.12
1,3153.6
1,3035.52
1,2726.4
1,2315.04
1,2229.6
1,2069.76
1,1733.76
1,1256.64
1,1039.68
1,1108.32
1,1062.24
1,997.44
1,964.32
1,1003.2
1,1134.72
1,1348.32
1,1693.92
1,2049.6
1,2269.44
1,2351.04
1,2349.6
1,2255.04
1,2260.8
1,2280.0
1,2217.6
1,2547.36
1,2339.52
1,2032.8
1,1950.24
1,1826.4
1,1531.2
1,1218.72
1,1148.64
1,1034.4
1,933.6
1,871.68
1,850.08
1,888.0
1,997.92
1,1296.0
1,1739.04
1,2380.8
1,2664.96
1,3127.68
1,3149.76
1,3253.44
1,3301.92
1,3206.4
1,3186.72
1,3093.12
1,2410.56
1,2277.6
1,2155.68
1,1976.16
1,1681.44
1,1331.52
1,1232.16
1,903.84
1,856.8
1,790.56
1,773.76
1,794.4
1,904.8
1,1054.08
1,1197.6
1,1411.68
1,1814.4
1,2085.6
1,2493.6
1,2582.4
1,2605.44
1,2569.44
1,2540.16
1,2466.72
1,2114.4
1,2149.92
1,2119.2
1,1976.64
1,1679.52
1,1347.36
1,1199.52
1,1064.64
1,1014.24
1,934.56
1,924.48
1,960.48
1,1080.48
1,1375.2
1,1824.0
1,2353.92
1,2614.08
1,2997.12
1,3127.2
1,3134.4
1,3254.4
1,3156.96
1,3068.16
1,2991.36
1,2449.44
1,2181.6
1,2114.4
1,2001.12
1,1668.0
1,1380.48
1,1216.8
1,1161.6
1,1091.52
1,1002.72
1,972.0
1,1015.2
1,1130.4
1,1434.24
1,1835.04
1,2371.44
1,2661.36
1,3210.48
1,3342.96
1,3314.4
1,3366.24
1,3399.84
1,3386.4
1,3251.52
1,2606.4
1,2339.04
1,2245.92
1,1998.72
1,1691.04
1,1338.72
1,1188.0
1,1108.32
1,1062.24
1,997.44
1,964.32
1,1003.2
1,1134.72
1,1348.32
1,1693.92
1,2049.6
1,2269.44
1,2351.04
1,2349.6
1,2255.04
1,2260.8
1,2280.0
1,2217.6
1,2547.36
1,2339.52
1,2032.8
1,1950.24
1,1826.4
1,1531.2
1,1218.72
1,1148.64
1,1085.28
1,1047.36
1,974.88
1,953.76
1,986.4
1,1087.2
1,1314.72
1,1684.8
1,1976.16
1,2289.12
1,2683.2
1,2730.72
1,2665.92
1,2628.0
1,2630.4
1,2548.32
1,2490.72
1,2273.76
1,1972.32
1,1871.52
1,1753.92
1,1454.4
1,1175.52
1,1105.44
1,1089.12
1,1014.72
1,923.04
1,912.0
1,938.88
1,1038.72
1,1264.32
1,1647.36
1,2148.96
1,2449.44
1,2901.6
1,3025.44
1,3092.64
1,3162.24
1,3177.12
1,3153.6
1,3035.52
1,2726.4
1,2315.04
1,2229.6
1,2069.76
1,1733.76
1,1256.64
1,1039.68
1,1064.64
1,1014.24
1,934.56
1,924.48
1,960.48
1,1080.48
1,1375.2
1,1824.0
1,2353.92
1,2614.08
1,2997.12
1,3127.2
1,3134.4
1,3254.4
1,3156.96
1,3068.16
1,2991.36
1,2449.44
1,2181.6
1,2114.4
1,2001.12
1,1668.0
1,1380.48
1,1216.8
1,1034.4
1,933.6
1,871.68
1,850.08
1,888.0
1,997.92
1,1296.0
1,1739.04
1,2380.8
1,2664.96
1,3127.68
1,3149.76
1,3253.44
1,3301.92
1,3206.4
1,3186.72
1,3093.12
1,2410.56
1,2277.6
1,2155.68
1,1976.16
1,1681.44
1,1331.52
1,1232.16
1,903.84
1,856.8
1,790.56
1,773.76
1,794.4
1,904.8
1,1054.08
1,1197.6
1,1411.68
1,1814.4
1,2085.6
1,2493.6
1,2582.4
1,2605.44
1,2569.44
1,2540.16
1,2466.72
1,2114.4
1,2149.92
1,2119.2
1,1976.64
1,1679.52
1,1347.36
1,1199.52
1,1085.28
1,1047.36
1,974.88
1,953.76
1,986.4
1,1087.2
1,1314.72
1,1684.8
1,1976.16
1,2289.12
1,2683.2
1,2730.72
1,2665.92
1,2628.0
1,2630.4
1,2548.32
1,2490.72
1,2273.76
1,1972.32
1,1871.52
1,1753.92
1,1454.4
1,1175.52
1,1105.44
1,1161.6
1,1091.52
1,1002.72
1,972.0
1,1015.2
1,1130.4
1,1434.24
1,1835.04
1,2371.44
1,2661.36
1,3210.48
1,3342.96
1,3314.4
1,3366.24
1,3399.84
1,3386.4
1,3251.52
1,2606.4
1,2339.04
1,2245.92
1,1998.72
1,1691.04
1,1338.72
1,1188.0
1,1108.32
1,1062.24
1,997.44
1,964.32
1,1003.2
1,1134.72
1,1348.32
1,1693.92
1,2049.6
1,2269.44
1,2351.04
1,2349.6
1,2255.04
1,2260.8
1,2280.0
1,2217.6
1,2547.36
1,2339.52
1,2032.8
1,1950.24
1,1826.4
1,1531.2
1,1218.72
1,1148.64
1,1034.4
1,933.6
1,871.68
1,850.08
1,888.0
1,997.92
1,1296.0
1,1739.04
1,2380.8
1,2664.96
1,3127.68
1,3149.76
1,3253.44
1,3301.92
1,3206.4
1,3186.72
1,3093.12
1,2410.56
1,2277.6
1,2155.68
1,1976.16
1,1681.44
1,1331.52
1,1232.16
1,1089.12
1,1014.72
1,923.04
1,912.0
1,938.88
1,1038.72
1,1264.32
1,1647.36
1,2148.96
1,2449.44
1,2901.6
1,3025.44
1,3092.64
1,3162.24
1,3177.12
1,3153.6
1,3035.52
1,2726.4
1,2315.04
1,2229.6
1,2069.76
1,1733.76
1,1256.64
1,1039.68
1,1064.64
1,1014.24
1,934.56
1,924.48
1,960.48
1,1080.48
1,1375.2
1,1824.0
1,2353.92
1,2614.08
1,2997.12
1,3127.2
1,3134.4
1,3254.4
1,3156.96
1,3068.16
1,2991.36
1,2449.44
1,2181.6
1,2114.4
1,2001.12
1,1668.0
1,1380.48
1,1216.8
1,1161.6
1,1091.52
1,1002.72
1,972.0
1,1015.2
1,1130.4
1,1434.24
1,1835.04
1,2371.44
1,2661.36
1,3210.48
1,3342.96
1,3314.4
1,3366.24
1,3399.84
1,3386.4
