eta,min_child_weight,max_depth,colsample_bytree,subsample,iteration,alpha
0.3,5,4,0.8,0.8000000000000002,9,1
0.3,6,8,0.8,0.6000000000000001,8,100
0.3,4,7,0.8,0.8000000000000002,18,0
0.3,5,8,0.8,0.8000000000000002,9,75
0.3,2,5,0.8,0.8000000000000002,36,0
0.3,1,5,0.8,0.8000000000000002,14,5
0.3,2,7,0.8,0.8000000000000002,9,7
0.3,6,6,0.8,0.8000000000000002,11,10
0.3,7,3,0.8,0.6000000000000001,11,3
0.3,5,4,0.4,0.4,7,50
0.3,6,7,0.8,0.6000000000000001,13,7
0.3,3,4,0.4,0.8000000000000002,65,0
0.3,5,8,0.8,0.8000000000000002,20,100
0.3,1,6,0.4,0.8000000000000002,6,0
0.3,7,4,0.6000000000000001,0.8000000000000002,10,100
0.3,5,3,0.8,0.8000000000000002,9,3
0.3,5,8,0.8,0.8000000000000002,34,0
0.3,6,4,0.8,0.4,11,3
0.3,1,4,0.8,0.8000000000000002,12,0
0.3,2,5,0.8,0.8000000000000002,25,1
0.3,2,4,0.8,0.6000000000000001,11,3
0.3,6,8,0.8,0.6000000000000001,46,0
0.3,7,7,0.8,0.8000000000000002,34,1
0.3,4,5,0.8,0.8000000000000002,44,0
0.3,7,4,0.8,0.8000000000000002,97,7
0.3,2,5,0.8,0.8000000000000002,13,10
0.3,5,4,0.8,0.6000000000000001,12,3
0.3,1,4,0.8,0.6000000000000001,7,0
0.3,3,4,0.8,0.4,11,10
0.3,5,4,0.8,0.8000000000000002,44,0
0.3,1,8,0.8,0.6000000000000001,9,0
0.3,7,3,0.8,0.4,16,0
0.3,2,4,0.8,0.6000000000000001,22,5
0.3,1,5,0.6000000000000001,0.8000000000000002,17,100
0.3,6,3,0.4,0.8000000000000002,18,75
0.3,3,3,0.6000000000000001,0.6000000000000001,24,0
0.3,5,7,0.8,0.8000000000000002,47,0
0.3,4,5,0.8,0.8000000000000002,11,3
0.3,1,4,0.8,0.8000000000000002,14,7
0.3,5,8,0.8,0.8000000000000002,17,0
0.3,5,4,0.8,0.6000000000000001,57,0
0.3,6,5,0.8,0.8000000000000002,6,10
0.3,4,8,0.8,0.6000000000000001,26,0
0.3,6,4,0.8,0.8000000000000002,8,0
0.3,1,4,0.8,0.8000000000000002,14,5
0.3,4,4,0.8,0.4,10,10
0.3,3,3,0.8,0.4,9,100
0.3,5,4,0.8,0.4,14,10
0.3,7,5,0.8,0.8000000000000002,17,75
0.3,7,3,0.4,0.8000000000000002,11,10
0.3,4,3,0.4,0.8000000000000002,97,0
0.3,7,3,0.8,0.4,12,75
0.3,3,3,0.6000000000000001,0.8000000000000002,98,0
0.3,3,6,0.8,0.8000000000000002,25,0
0.3,7,6,0.8,0.6000000000000001,13,5
0.3,7,4,0.8,0.8000000000000002,14,25
0.3,4,5,0.8,0.8000000000000002,93,0
0.3,3,4,0.8,0.6000000000000001,17,100
0.3,3,5,0.8,0.8000000000000002,9,7
0.3,6,3,0.8,0.4,8,25
0.3,2,4,0.8,0.8000000000000002,64,0
0.3,6,5,0.8,0.4,10,3
0.3,7,3,0.4,0.6000000000000001,97,5
0.3,2,5,0.8,0.6000000000000001,89,0
0.3,2,6,0.8,0.8000000000000002,81,0
0.3,7,5,0.6000000000000001,0.4,20,1
0.3,2,7,0.8,0.8000000000000002,7,10
0.3,1,7,0.8,0.8000000000000002,11,0
0.3,1,8,0.8,0.8000000000000002,90,0
0.3,3,5,0.8,0.6000000000000001,42,0
0.3,5,4,0.8,0.8000000000000002,10,25
0.3,3,3,0.4,0.4,27,75
0.3,2,4,0.8,0.4,10,5
0.3,3,6,0.8,0.8000000000000002,98,0
0.3,6,5,0.8,0.8000000000000002,12,75
0.3,2,3,0.6000000000000001,0.4,11,5
0.3,2,4,0.8,0.8000000000000002,11,0
0.3,3,3,0.8,0.8000000000000002,96,1
0.3,7,4,0.8,0.6000000000000001,12,25
0.3,2,6,0.8,0.8000000000000002,30,0
0.3,3,3,0.8,0.8000000000000002,10,1
0.3,6,4,0.8,0.8000000000000002,9,7
0.3,2,5,0.8,0.6000000000000001,92,0
0.3,7,7,0.8,0.8000000000000002,66,0
0.3,5,8,0.8,0.6000000000000001,30,0
0.3,7,5,0.8,0.4,11,75
0.3,2,8,0.8,0.8000000000000002,14,100
0.3,5,7,0.8,0.6000000000000001,16,0
0.3,4,6,0.8,0.8000000000000002,11,10
0.3,6,6,0.8,0.8000000000000002,15,0
0.3,4,8,0.8,0.8000000000000002,19,0
0.3,7,8,0.8,0.8000000000000002,11,0
0.3,1,4,0.8,0.4,10,0
0.3,6,6,0.8,0.6000000000000001,11,75
0.3,1,5,0.6000000000000001,0.6000000000000001,6,3
0.3,1,7,0.8,0.4,10,1
0.3,6,8,0.8,0.6000000000000001,17,0
0.3,3,3,0.8,0.4,8,0
0.3,2,3,0.8,0.8000000000000002,9,0
0.3,5,3,0.8,0.6000000000000001,11,0
