num_date_time,answer
1_20220825 00,1329.754134
1_20220825 01,1203.657744
1_20220825 02,1141.669847
1_20220825 03,1101.105167
1_20220825 04,1109.062615
1_20220825 05,1216.032608
1_20220825 06,1510.429035
1_20220825 07,2097.02224
1_20220825 08,2593.907077
1_20220825 09,3083.071079
1_20220825 10,3554.684158
1_20220825 11,3769.812939
1_20220825 12,3761.137038
1_20220825 13,3800.085329
1_20220825 14,3801.126399
1_20220825 15,3487.756316
1_20220825 16,3378.032563
1_20220825 17,2906.166008
1_20220825 18,2580.932578
1_20220825 19,2434.296568
1_20220825 20,2332.273135
1_20220825 21,1917.911957
1_20220825 22,1431.217845
1_20220825 23,1341.191878
1_20220826 00,1344.337639
1_20220826 01,1221.474435
1_20220826 02,1124.753014
1_20220826 03,1114.631711
1_20220826 04,1133.332161
1_20220826 05,1277.604545
1_20220826 06,1565.102325
1_20220826 07,2160.213165
1_20220826 08,2651.175646
1_20220826 09,3223.309239
1_20220826 10,4010.427688
1_20220826 11,4063.246633
1_20220826 12,4216.799285
1_20220826 13,4160.743196
1_20220826 14,4157.657712
1_20220826 15,4046.877218
1_20220826 16,3843.414648
1_20220826 17,3299.668718
1_20220826 18,2884.517629
1_20220826 19,2688.359333
1_20220826 20,2517.936246
1_20220826 21,2054.017064
1_20220826 22,1527.832093
1_20220826 23,1537.816944
1_20220827 00,1857.035967
1_20220827 01,1793.093584
1_20220827 02,1603.289307
1_20220827 03,1519.460808
1_20220827 04,1479.598414
1_20220827 05,1523.096381
1_20220827 06,1701.371361
1_20220827 07,1996.318223
1_20220827 08,2349.423799
1_20220827 09,2778.237062
1_20220827 10,3385.532536
1_20220827 11,3581.588534
1_20220827 12,3710.214648
1_20220827 13,3867.166177
1_20220827 14,3915.859522
1_20220827 15,3942.495746
1_20220827 16,3849.345128
1_20220827 17,3510.269532
1_20220827 18,3024.639345
1_20220827 19,2793.7308
1_20220827 20,2507.397992
1_20220827 21,2045.758966
1_20220827 22,1466.955979
1_20220827 23,1577.150264
1_20220828 00,1532.74652
1_20220828 01,1388.253781
1_20220828 02,1264.973008
1_20220828 03,1169.743761
1_20220828 04,1184.331279
1_20220828 05,1280.714964
1_20220828 06,1375.713284
1_20220828 07,1521.005869
1_20220828 08,1783.161081
1_20220828 09,2209.006339
1_20220828 10,2729.878785
1_20220828 11,3095.13483
1_20220828 12,3270.094453
1_20220828 13,3327.723724
1_20220828 14,3368.706649
1_20220828 15,3322.32642
1_20220828 16,3386.014933
1_20220828 17,3211.984613
1_20220828 18,3096.199075
1_20220828 19,2919.494465
1_20220828 20,2706.001096
1_20220828 21,2106.025229
1_20220828 22,1542.654152
1_20220828 23,1845.472333
1_20220829 00,1968.087592
1_20220829 01,1980.767346
1_20220829 02,1913.894059
1_20220829 03,1806.271786
1_20220829 04,1835.000945
1_20220829 05,1951.892203
1_20220829 06,2177.585243
1_20220829 07,2420.95267
1_20220829 08,2679.10366
1_20220829 09,3067.379456
1_20220829 10,3480.614928
1_20220829 11,3756.433834
1_20220829 12,3922.914517
1_20220829 13,4034.7111
1_20220829 14,4134.94201
1_20220829 15,4096.304063
1_20220829 16,3938.707573
1_20220829 17,3359.326164
1_20220829 18,2689.932393
1_20220829 19,2501.173509
1_20220829 20,2317.56491
1_20220829 21,1918.651031
1_20220829 22,1504.32651
1_20220829 23,1887.538897
1_20220830 00,2022.816882
1_20220830 01,1966.733338
1_20220830 02,1823.130993
1_20220830 03,1697.108726
1_20220830 04,1733.829335
1_20220830 05,1801.732831
1_20220830 06,1999.404726
1_20220830 07,2426.94375
1_20220830 08,2630.502143
1_20220830 09,2919.300951
1_20220830 10,3392.892923
1_20220830 11,3467.5609
1_20220830 12,3534.393108
1_20220830 13,3479.95918
1_20220830 14,3570.603459
1_20220830 15,3514.248575
1_20220830 16,3503.454777
1_20220830 17,3051.685061
1_20220830 18,2500.570322
